Eid,Abstract
2-s2.0-85031501650,"Purpose To evaluate the effect of an intervention based on basic Buddhist principles on the spiritual well-being of patients with terminal cancer. Methods This quasi-experimental research study had pre- and post-test control groups. The experimental group received conventional care and an intervention based on basic Buddhist principles for three consecutive days, including seven activities based on precept activities, concentration activities and wisdom activities. The control group received conventional care alone. Results Forty-eight patients participated in this study: 23 in the experimental group and 25 in the control group. Their mean age was 53 (standard deviation 10) years. The spiritual well-being of participants in the experimental group was significantly higher than that of participants in the control group at the second post-test (P < 0.05). Conclusions An intervention based on basic Buddhist principles improved the spiritual well-being of patients with terminal cancer. This result supports the beneficial effects of implementing this type of intervention for patients with terminal cancer. © 2017 Elsevier Ltd"
2-s2.0-85032985724,"Autoantibody-mediated inflammation directed at resident kidney cells mediates lupus nephritis (LN) pathogenesis. This study investigated the role of miRNA in human mesangial cells (HMCs) stimulated with auto anti-dsDNA immunoglobulin (Ig)G antibodies. HMCs were treated with antibodies purified from active LN patients or non-specific IgG controls in the presence of normal serum. Aberrant miRNA was screened using high throughput sequencing. Anti-dsDNA IgG up-regulated 103 miRNAs and down-regulated 30 miRNAs. The miRNAs regulated genes in the cell cycle, catabolic processes, regulation of transcription and apoptosis signalling. miR-10a was highly abundant in HMCs but was specifically downregulated upon anti-dsDNA IgG induction. Interestingly, the expression of miR-10a in kidney biopsies from class III and IV LN patients (n = 26) was downregulated compared with cadaveric donor kidneys (n = 6). Functional studies highlighted the downstream regulator of miR-10a in the chemokine signalling and cell proliferation or apoptosis pathways. Luciferase assay confirmed for the first time that IL8 was a direct target of miR-10a in HMCs. In conclusion, anti-dsDNA IgG Ab down-regulated miR-10a expression in HMCs resulting in the induction of various target genes involved in HMC proliferation and chemokine expression. © 2017 The Author(s)."
2-s2.0-85032897320,"Injury to the external branch of the superior laryngeal nerve (eSLN) can cause a hoarse or weak voice with dysergia of the cricothyroid. The present study provided the topographic information of the eSLN in the Asian and verified anatomical validity of the landmarks previously recruited to localize the eSLN. Thirty specimens were dissected from 16 human embalmed cadavers (12 men and four women; mean age: 80.5 years). The vertical distance between the eSLN and the apical pole of the thyroid gland (AP) was 8.2 ± 4.2 mm. It descended over the AP with <1 cm distance in 51.7%, >1 cm distance in 27.6% and under the AP in 20.7%. The piercing point (PP) of the eSLN to the muscles located 26.0 ± 5.5 mm posterior and 14.7 ± 5.0 mm inferior to the laryngeal prominence. Generally, the PP located superoposterior to the midpoint of the joint between the joint of inferior constrictor and cricothyroid (ICJ). The distance between the PP and the midpoint was 8.7 ± 5.1 mm. We found that 1) the Asian had the eSLN located over the AP with <1 cm distance about half cases, 2) the PP can be a consistent reference for the eSLN identification, 3) the ICJ can be a useful landmark to preserve the eSLN at the PP. © 2017 The Author(s)."
2-s2.0-85031321875,"Massively parallel sequencing (MPS) technology has been recently introduced in forensic field. MiSeq FGx™ forensic genomics system (Illumina, Inc., San Diego) is the designed work flow for forensic DNA work. The system comprised of DNA library preparation kit, MPS instrument and data analysis software. In this study, 30 DNA samples of Thai population were sequenced using MiSeq FGx™ forensic genomics system. Twenty-seven loci autosomal STRs and 94 identity informative SNPs were used to analyzed. The data quality was observed following to these parameters; depth of coverage (DoC), allele coverage ratios (ACRs) and sequence coverage ratios (SCRs). For STR markers, the average DoC ranges were 523–11,534 reads per locus, average ACRs ranges were 0.81–0.95 (excluded D22S1045 with average ACRs of 0.28) and average SCRs ranges were 0.83–0.99. For SNP markers, the average DoC ranges were 46–4012 reads per locus, average ACRs ranges were 0.54–0.97 (excluded rs6955448 and rs338882 with average ACRs of 0.40 and 0.49 respectively). Some of SNP markers such as rs6955448, rs338882 and rs4530059 showed a high number of imbalanced individual's sample. Fourteenth of 30 samples showed low coverage threshold at rs1736442. Intra-STR allele sequence variants were identified in 10 loci from 12 of 30 samples. Finally, the STRs profiling from MiSeq FGx™ forensic genomics system revealed a concordant result with capillary electrophoresis (CE) data (using Investigator® ID plex Plus Kit – QIAGEN and PowerPlex® 16 System – Promega) in Thai population. © 2017 Elsevier B.V."
2-s2.0-85031103516,"Several quinone-based metabolites of anticancer drugs and naturally occurring quinone-containing compounds have been characterized as potent inhibitors toward topoisomerase IIα (TopoIIα), an essential enzyme involved in maintaining genomic integrity during DNA replication and mitotic division. Mansonone G (MG), a naphthoquinone-containing compound extracted from the heartwood of Mansonia gagei, exhibits various biological activities including antitumor potential. In the present study, MG and its semi-synthetic derivatives were selected to study the preferential binding site and dynamics behavior as well as to predict the inhibitory activity against TopoIIα using molecular modeling approaches. The molecular docking results revealed that the entire series of MG preferentially target to the ATPase domain. Among all studied MGs, the ester derivative MG14 containing C-10 length exhibited the highest binding affinity against TopoIIα and greater than that of the ATP-competitive inhibitor salvicine as well as 1,4-benzoquinone. Interestingly, the MG14 binding could induce the closed form of the turn region (residues 147–151) inside ATP-binding pocket, implying that this event might be one of the crucial mechanisms underlying TopoIIα inhibition. The obtained theoretical information is useful as rational guide for further development of new anticancer agents containing naphthoquinone moiety against TopoIIα. © 2017 Elsevier B.V."
2-s2.0-85031722075,"Purpose To determine the eye lens dose of the Interventional Cardiology (IC) personnel using optically stimulated luminescent dosimeter (OSLD) and the prevalence and risk of radiation – associated lens opacities in Thailand. Methods and results 48 IC staff, with age- and sex- matches 37 unexposed controls obtained eye examines. Posterior lens change was graded using a modified Merriam-Focht technique by two independent ophthalmologists. Occupational exposure (mSv) was measured in 42 IC staff, using 2 OSLD badges place at inside lead apron and at collar. Annual eye lens doses (mSv) were also measured using 4 nanoDots OSL placed outside and inside lead glass eyewear. The prevalence of radiation-associated posterior lens opacities was 28.6% (2/7) for IC, 19.5% (8/41) for nurses, and 2.7% (1/37) for controls. The average and range of annual whole body effective dose, Hp(10), equivalent dose at skin of the neck, Hp(0.07) and equivalent dose at eye lens, Hp(3) were 0.80 (0.05–6.79), 5.88 (0.14–35.28), and 5.73 (0.14–33.20) mSv respectively. The annual average and range of eye lens dose using nano Dots OSL showed the outside lead glass eyewear on left and right sides as 8.06 (0.17–32.45), 3.55(0.06–8.04) mSv and inside left and right sides as 3.91(0.05–14.26) and 2.44(0.06–6.24) mSv respectively. Conclusion Eye lens doses measured by OSLD badges and nano Dot dosimeter as Hp(10), Hp(0.07) and Hp(3). The eyes of the IC personnel were examined annually by two ophthalmologists for the prevalence of cataract induced by radiation. © 2017 Associazione Italiana di Fisica Medica"
2-s2.0-85032472545,"Microbes form fundamental bases of every Earth ecosystem. As their key survival strategies, some microbes adapt to broad ranges of environments, while others specialize to certain habitats. While ecological roles and properties of such ""generalists"" and ""specialists"" had been examined in individual ecosystems, general principles that govern their distribution patterns and evolutionary processes have not been characterized. Here, we thoroughly identified microbial generalists and specialists across 61 environments via meta-analysis of community sequencing data sets and reconstructed their evolutionary histories across diverse microbial groups. This revealed that generalist lineages possess 19-fold higher speciation rates and significant persistence advantage over specialists. Yet, we also detected three-fold more frequent generalist-to-specialist transformations than the reverse transformations. These results support a model of microbial evolution in which generalists play key roles in introducing new species and maintaining taxonomic diversity. © 2017 The Author(s)."
2-s2.0-85030714759,"Massively parallel sequencing technology has been demonstrated as a potential tool for genetic studies and recently, for forensic context. ForenSeq™ DNA Signature Prep Kit (Illumina, Inc.) has been designed exclusively for forensic DNA analysis that autosomal STRs, X-STR, Y-STR and identity SNPs can be sequenced simultaneously. These informative genetic data empower the achievement of global DNA database presenting in autosomal STRs and Y-STR. The Y-STRs comprised of 8 core loci, 2 multi-copy loci and other 14 Y-STR loci. Here, we examined 24 Y-STR of 182 Thai male population that originate from Central, Western and Southern regions of Thailand. In this study, the average gene diversity (GD) of this kit is 0.7031. The lowest gene diversity was 0.4187 from DYS391 locus and DYS385a-b showed the highest gene diversity (0.9582). One hundred and seventy-two haplotypes were observed and therefore, these 24 Y-STR markers would be beneficial for forensic investigation, paternity test and genealogy study in Thai population. © 2017 Elsevier B.V."
2-s2.0-85031920806,"Dengue virus infection is a global threat for which no specific treatment has not been established. Previous reports suggested chrysin and flavanone derivatives were potential flaviviral inhibitors. Here, we reported two halogenated chrysins, abbreviated FV13 and FV14, were highly potent against DENV1-4 and ZIKV infectivities with the FV13 EC50 values of 2.30 ± 1.04, 1.47 ± 0.86, 2.32 ± 1.46, 1.78 ± 0.72 and 1.65 ± 0.86 μM; and FV14 EC50 values of 2.30 ± 0.92, 2.19 ± 0.31, 1.02 ± 0.31, 1.29 ± 0.60 and 1.39 ± 0.11 μM, respectively. The CC50s to LLC/MK2 of FV13 and FV14 were 44.28 ± 2.90 μM, 42.51 ± 2.53 μM, respectively. Mechanism of drug action studies suggested multiple targets but maximal efficiency was achieved with early post infection treatment. This is the first report showing a high potency of halogenated chrysins for development as a broad-spectrum anti-flaviviral drug. © 2017 The Author(s)."
2-s2.0-85030473409,"Human papillomavirus 16 is the most prevalent type found in cervical cancer worldwide, accounting for >50% of all cases. Quantitative methylation analysis of human papillomavirus 16 L1 gene within 5′ (CpGs 5600, 5606, 5609, 5615) and 3′ (7136 and 7145) regions to determine potential biomarker for cervical cancer progression was performed in exfoliated cervical cells collected from 101 Thai women of precancerous and cancerous lesions. Intermediate to high methylation levels (>20%) were detected in HPV16 5′L1 regions especially CpG 5600 of all cancerous (100%) and 50% of CIN3 samples, whereas normal/CIN1 samples (80%) showed methylation levels <20%. Our results indicate the potential use of HPV 16 L1 gene methylation at specific site as a biomarker for prognostic cervical cancer screening, however, suitable cutoff should be further evaluated in a larger sample size. © 2017 Elsevier Inc."
2-s2.0-85030234645,"MicroRNAs (miRNAs) are small non-coding RNAs regulated a gene expression which associated to many diseases. As they contribute to diverse biological process and respond to various kinds of cellular stress, their utility as diagnostic biomarkers have recently been explored. miRNAs have been detected in various type of human tissues and were used as novel biomarkers in clinical investigation for example; ischemic stroke, acute myocardial infarction (AMI) and several forms of cancer cells. Recently, circulatory miRNA was proved that It could be a potential biomarker to determine a cause of death. In order to verify the ability of miRNA as a diagnosis tool, 3 candidate miRNAs (miR-133a, miR-208b and miR-499) associated to an early response of cardiac injury were selected. Twenty case-control cohorts using post-mortem blood samples were studied for miRNAs expression and post-mortem stability. The expression level of miR-499 was significantly increased in AMI groups compared to controls. The postmortem blood was in vitro tested during 12–18 h which reveal a persistent of miRNAs in early decomposed environment. © 2017 Elsevier B.V."
2-s2.0-85029673618,"Ethnics determination of bodies is a critical part of forensic identification particularly in missing person identification or disaster victim identification. Several set of SNPs were introduced to forensic communities as a universal ancestry informative markers (AIMs) panel based on available population databases. For deep study in subcontinent, the desired SNP panel should be figured within regional reference populations. This study had figured the best set of AIMs for Thai population from three accessible databases, international HapMap, 1000 Genomes and ALFRED. There were 374 Thai unrelated samples included in the study with east, south and southeast Asia data (258 samples) for references. We introduce the efficient AIM panel to determine Thai ethnicity. The achievement to reduce a size of 24 AIMs panel was clearly stratified Thais out of other east Asia populations by principal component analysis (PCA). The major and minor allele frequencies of entire AIMs were compared between Asia countries and major continents. © 2017 Elsevier B.V."
2-s2.0-85030563516,"Viewed in renal physiology as a refined filtration device, the glomerulus filters large volumes of blood plasma while keeping proteins within blood circulation. Effects of macromolecule size and macromolecule hydrodynamic interaction with the nanostructure of the cellular layers of the glomerular capillary wall on the glomerular size selectivity are investigated through a mathematical simulation based on an ultrastructural model. The epithelial slit, a planar arrangement of fibers connecting the epithelial podocytes, is represented as a row of parallel cylinders with nonuniform spacing between adjacent fibers. The mean and standard deviation of gap half-width between its fibers are based on values recently reported from electron microscopy. The glomerular basement membrane (GBM) is represented as a fibrous medium containing fibers of two different sizes: the size of type IV collagens and that of glycosaminoglycans (GAGs). The endothelial cell layer is modeled as a layer full of fenestrae that are much larger than solute size and filled with GAGs. The calculated total sieving coefficient agrees well with the sieving coefficients of ficolls obtained from in vivo urinalysis in humans, whereas the computed glomerular hydraulic permeability also falls within the range estimated from human glomerular filtration rate (GFR). Our result indicates that the endothelial cell layer and GBM significantly contribute to solute and fluid restriction of the glomerular barrier, whereas, based on the structure of the epithelial slit obtained from electron microscopy, the contribution of the epithelial slit could be smaller than previously believed. © 2017 by ASME."
2-s2.0-85030718693,"ALFPm6, a member of antimicrobial peptide in the antilipopolysaccharide factor (ALF) family from Penaeus monodon, plays important roles in shrimp immunity against pathogens. However, its antimicrobial activity and underlying mechanism have not been reported. The synthetic cyclic ALFPm6#29-52 peptide (cALFPm6#29-52) corresponding to the ALFPm6 LPS-binding domain can agglutinate and exhibited bacterial killing activity toward a Gram-negative bacterium, Escherichia coli 363 and Gram-positive bacteria, Bacillus megaterium, Aerococcus viridans, and Micrococcus luteus, with MIC values of 25-50 μM. Specifically, ALFPm6 and ALFPm3, the most abundant ALF isoforms, are different in terms of gene expression patterns upon pathogen infections. Herein, the regulation of ALFPm3 and ALFPm6 gene expression was studied. The 5′-upstream and promoter sequences were identified and the putative transcription factor (TF)-binding sites were predicted. The narrow down assay indicated that the ALFPm3 promoter and partial promoter of the ALFPm6 active regions were located at nucleotide positions (-814/+302) and (-282/+85), respectively. Mutagenesis of selected TF-binding sites revealed that Rel/NF-κB (-280/-270) of ALFPm3 and C/EBPβ (-88/-78) and Sp1 (-249/-238) sites of ALFPm6 were the activator-binding sites. Knockdown of the PmMyD88 and PmRelish genes in V. harveyi-infected shrimp suggested that the ALFPm3 gene was regulated by Toll and IMD pathways, while the ALFPm6 gene was regulated by the Toll pathway. © 2017 The Author(s)."
2-s2.0-85029208129,"The proposed work aims at designing a classification system for automatic identification of A. muelleri species, grown as a potential cash crop in many Asian countries, from the DNA fingerprints of Amorphophallus genus. Four sets of 48 DNA fingerprints belonging to 37 species of the Amorphophallus genus, developed with the help of four different primers are considered for the experiment, with an objective to identify only the fingerprints of the species of interest. A second experimental setup deals with the automatic classification of species containing high amounts of glucomannan from the same set of DNA fingerprints of the Amorphophallus genus. For each set of 48 DNA fingerprints generated with a specific primer, the DNA fingerprints are preprocessed to extract a 42 dimensional feature vector which is used to generate a k-Nearest Neighbor based classifier based on the Leave One Out Cross Validation protocol. Final classification based on outputs from individual classifiers constructed with respect to the four different primers is performed according to a n-star consensus strategy. The n-star consensus predicts species A. muelleri with cent per cent accuracy while it predicts species containing glucomannan with a more modest accuracy of 81.25%. © 2017 WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim"
2-s2.0-85029569713,"Modern biometric identification methods combine interdisciplinary approaches to enhance person identification and classification accuracy. One popular technique for this purpose is Brain-Computer Interface (BCI). The signal so obtained from BCI will be further processed by the Autoregressive (AR) Model for feature extraction. Many researches in the area find that for more accurate results, the signal must be cleaned before extracting any useful feature information. This study proposes Independent Component Analysis (ICA), k-NN classifier, and AR as the combined techniques for electroencephalogram (EEG) biometrics to achieve the highest personal identification and classification accuracy. However, there is a classification gap between using the combined ICA with the AR model and AR model alone. Therefore, this study takes one step further by modifying the feature extraction of AR and comparing the outcome with the proposed approaches in lieu of prior researches. The experiment based on four relevant locations shows that the combined ICA and AR can achieve higher accuracy than the modified AR. More combinations of channels and subjects are required in future research to explore the significance of channel effects and to enhance the identification accuracy."
2-s2.0-85029765631,"Background Influenza continues to have a substantial socioeconomic and health impact despite a long established vaccination programme and approved antivirals. Preclinical data suggest that combining antivirals might be more effective than administering oseltamivir alone in the treatment of influenza. Methods We did a randomised, double-blind, multicentre phase 2 trial of a combination of oseltamivir, amantadine, and ribavirin versus oseltamivir monotherapy with matching placebo for the treatment of influenza in 50 sites, consisting of academic medical centre clinics, emergency rooms, and private physician offices in the USA, Thailand, Mexico, Argentina, and Australia. Participants who were aged at least 18 years with influenza and were at increased risk of complications were randomly assigned (1:1) by an online computer-generated randomisation system to receive either oseltamivir (75 mg), amantadine (100 mg), and ribavirin (600 mg) combination therapy or oseltamivir monotherapy twice daily for 5 days, given orally, and participants were followed up for 28 days. Blinded treatment kits were used to achieve masking of patients and staff. The primary endpoint was the percentage of participants with virus detectable by PCR in nasopharyngeal swab at day 3, and was assessed in participants who were randomised, had influenza infection confirmed by the central laboratory on a baseline nasopharyngeal sample, and had received at least one dose of study drug. Safety assessment was done in all patients in the intention-to-treat population. This trial is registered with ClinicalTrials.gov, number NCT01227967. Findings Between March 1, 2011, and April 29, 2016, 633 participants were randomly assigned to receive combination antiviral therapy (n=316) or monotherapy (n=317). Seven participants were excluded from analysis: three were not properly randomised, three withdrew from the study, and one was lost to follow-up. The primary analysis included 394 participants, excluding 47 in the pilot phase, 172 without confirmed influenza, and 13 without an endpoint sample. 80 (40·0%) of 200 participants in the combination group had detectable virus at day 3 compared with 97 (50·0%) of 194 (mean difference 10·0, 95% CI 0·2–19·8, p=0·046) in the monotherapy group. The most common adverse events were gastrointestinal-related disorders, primarily nausea (65 [12%] of 556 reported adverse events in the combination group vs 63 [11%] of 585 reported adverse events in the monotherapy group), diarrhoea (56 [10%] of 556 vs 64 [11%] of 585), and vomiting (39 [7%] of 556 vs 23 [4%] of 585). There was no benefit in multiple clinical secondary endpoints, such as median duration of symptoms (4·5 days in the combination group vs 4·0 days in the monotherapy group; p=0·21). One death occurred in the study in an elderly participant in the monotherapy group who died of cardiovascular failure 13 days after randomisation, judged by the site investigator as not related to study intervention. Interpretation Although combination treatment showed a significant decrease in viral shedding at day 3 relative to monotherapy, this difference was not associated with improved clinical benefit. More work is needed to understand why there was no clinical benefit when a difference in virological outcome was identified. Funding National Institute of Allergy and Infectious Diseases, National Institutes of Health, USA. © 2017 Elsevier Ltd"
2-s2.0-85029008946,"Freeze-drying and thermal cross-linking techniques were used to prepare gelatin-bacterial cellulose (GB) composite sponges for potential application as scaffolds in tissue engineering. To avoid the use of toxic and costly cross-linking agents, glucose was used to cross-link the gelatin via the Maillard reaction. The effects of the weight ratio of gelatin to bacterial cellulose (BC) and the cross-linking conditions (temperature and duration) on the GB sponges were examined. An open and highly interconnected porous structure was attained for the GB sponge with a gelatin:BC weight ratio of 25:75 that was cross-linked at 140 °C for 3 h. Its high porosity, good swelling properties, good structural stability in water, non-toxicity and good biocompatibility against Vero cell are promising for its application as a scaffold for tissue engineering. © 2017 Elsevier Ltd"
2-s2.0-85029406786,"Hepatic fibrosis is the net accumulation of matrix tissue components which controlled by pro-fibrolytic enzymes, matrix metalloproteinases (MMPs), and pro-fibrotic cytokine, TGF-β1, and enzymes, tissue inhibitors of MMPs (TIMPs). Vitamin D (VD) supplementation has been shown to reverse these processes in vitro and in vivo. This study sought to determine the effect of VD supplementation on serum fibrotic markers in chronic hepatitis C (CHC) patients. Fifty-four CHC patients with VD deficiency were randomized into two groups, a VD group (n = 29) and a placebo group (n = 29). The serum levels of 25-hydroxy VD, TGF-β1, TIMP-1, MMP2 and MMP9 were measured at baseline and at the end of the 6-week study period. Upon correction of VD levels, TGF-β1 and TIMP-1 levels were decreased, and the MMP2 and MMP9 levels were significantly increased in the VD group. A comparison of the mean changes (delta) in the markers between groups showed that TGF-β1 and TIMP-1 levels were significantly decreased and the MMP2 and MMP9 were significantly higher in the VD group than in the placebo group. By using CHC patients as a model, this study provides additional evidence that VD plays an important role in the reversal of hepatic fibrogenesis. © 2017 The Author(s)."
2-s2.0-85027868730,"Bacillus sp. BC-001 was first reported as a potent thermotolerant and homofermentative strain for an industrial-scale l-lactate production. In a flask culture, this isolate fermented both glucose and sucrose to lactate with high yield (0.96 and 0.87 g/g) and productivity (2.8 and 2.6 g/L h), respectively. The higher lactate production performance was obtained in the simultaneous saccharification and fermentation of liquefied starch (150.1 g/L final titer, 0.98 g/g yield, 3.2 g/L h productivity) and the fed-batch glucose fermentation (139.9 g/L final titer, 0.96 g/g yield, 2.9 g/L h productivity). Significant increase in lactate productivity (5.5–6.1 g/L h) was obtained from the high/heavy-inoculum seed in the stirred tank fermentor. Both calcium bases and monovalent bases were successfully employed for pH control during lactate fermentation by this isolate resulting in a versatile and simple operation. By the two-phase fermentation using the high/heavy-inoculum seed of BC-001, the fermentation reproducibility was acquired toward the pilot-scale fermentors. © 2017, Springer-Verlag GmbH Germany."
2-s2.0-85027694743,"Illegal trade in chemicals and waste has brought severe negative impacts to human health and the environment. Fragmentation of multilateral environmental agreements (MEAs) has challenged implementation due to disconnects and inconsistencies between regimes that causes inefficiencies, overlapping norms, and duplication. Since the late 1990s, there have been proposals to cluster MEAs organizationally and functionally to create synergies between them. This paper evaluates whether the proposition on clustering of MEAs has worked in practice through an empirical case study of the “MEA Regional Enforcement Network (REN)”. MEA REN sought to cluster at the organizational and functional elements of the Basel Convention, the Rotterdam Convention, the Stockholm Convention, and the Montreal Protocol in South and Southeast Asia. Regarding organizational clustering, through co-organizing regional network meetings cross-MEA learning was enhanced and costs were saved, but co-locating regional offices proved more challenging. For the clustering of functional elements, MEA enforcement was ultimately strengthened through several joint initiatives across MEAs. However, not all functions could be clustered as anticipated, including data reporting due to incompatibility between the conventions and overall workloads. The paper concludes with recommendations for future environmental enforcement. © 2017, Springer Science+Business Media B.V."
2-s2.0-85028911471,"Aberrant metabolism in hexosamine biosynthetic pathway (HBP) has been observed in several cancers, affecting cellular signaling and tumor progression. However, the role of O-GlcNAcylation, a post-translational modification through HBP flux, in apoptosis remains unclear. Here, we found that hyper-O-GlcNAcylation in lung carcinoma cells by O-GlcNAcase inhibition renders the cells to apoptosis resistance to cisplatin (CDDP). Profiling of various key regulatory proteins revealed an implication of either p53 or c-Myc in the apoptosis regulation by O-GlcNAcylation, independent of p53 status. Using co-immunoprecipitation and correlation analyses, we found that O-GlcNAcylation of p53 under certain cellular contexts, i.e. high p53 activation, promotes its ubiquitin-mediated proteasomal degradation, resulting in a gain of oncogenic and anti-apoptotic functions. By contrast, O-GlcNAcylation of c-Myc inhibits its ubiquitination and subsequent proteasomal degradation. Gene manipulation studies revealed that O-GlcNAcylation of p53/c-Myc is in part a regulator of CDDP-induced apoptosis. Accordingly, we classified CDDP resistance by hyper-O-GlcNAcylation in lung carcinoma cells as either p53 or c-Myc dependence based on their molecular targets. Together, our findings provide novel mechanisms for the regulation of lung cancer cell apoptosis that could be important in understanding clinical drug resistance and suggest O-GlcNAcylation as a potential target for cancer therapy. © 2017 The Author(s)."
2-s2.0-85028746772,"Tumor necrosis factor (TNF) has a critical role in diverse cellular events including inflammation, apoptosis and necroptosis through different signaling complexes. However, little is known about how the transition from inflammatory signaling to the engagement of death pathways is modulated. Here we report that the cytoplasmic retinoic acid receptor gamma (RARγ) controls receptor-interacting protein kinase 1 (RIP1)-initiated cell death when cellular inhibitor of apoptosis (cIAP) activity is blocked. Through screening a short hairpin RNA library, we found that RARγ was essential for TNF-induced RIP1-initiated apoptosis and necroptosis. Our data suggests that RARγ initiates the formation of death signaling complexes by mediating RIP1 dissociation from TNF receptor 1. We demonstrate that RARγ is released from the nucleus to orchestrate the formation of the cytosolic death complexes. In addition, we demonstrate that RARγ has a similar role in TNF-induced necroptosis in vivo. Thus, our study suggests that nuclear receptor RARγ provides a key checkpoint for the transition from life to death. © 2017 The Author(s)."
2-s2.0-85027170300,"Structures and high-pressure phase transitions in ZnO0.5S0.5 and ZnO0.5Se0.5 have been investigated using density functional theory calculations. The previously proposed structures of ZnO0.5S0.5 and ZnO0.5Se0.5 which are chalcopyrite (I4 ¯ 2 d), rocksalt (Fm3 m), wurtzite (P6 3mc) and CuAu-I (P4 ¯ m2) have been fully investigated. Stabilities of these materials have been systematically studied up to 40 GPa using various approaches. We have confirmed the stability of the chalcopyrite structure up to 30 GPa for which the CuAu-I structure has been previously proposed. However, our calculation revealed that CuAu-I is not a stable structure under 32 GPa and 33 GPa for both ZnO0.5S0.5 and ZnO0.5Se0.5, respectively, which could explain the failure in several attempts to fabricate these materials under such conditions. We have also examined the pressure-dependence of the bandgap and electronic structure up to 30 GPa. We can conclude from our PDOS analysis that the applied pressure does not change the atomic state characters of electronic states near the top of valence and the bottom of conduction bands, but mainly modifies the dominant Zn-3d atomic state of the deep Bloch state at −1 eV below Fermi level. © 2017, The Minerals, Metals & Materials Society."
2-s2.0-85028639282,"Notch signaling regulates diverse biological processes in dental pulp tissue. The present study investigated the response of human dental pulp cells (hDPs) to the indirect immobilized Notch ligand Jagged1 in vitro. The indirect immobilized Jagged1 effectively activated Notch signaling in hDPs as confirmed by the upregulation of HES1 and HEY1 expression. Differential gene expression profiling using an RNA sequencing technique revealed that the indirect immobilized Jagged1 upregulated genes were mainly involved in extracellular matrix organization, disease, and signal transduction. Downregulated genes predominantly participated in the cell cycle, DNA replication, and DNA repair. Indirect immobilized Jagged1 significantly reduced cell proliferation, colony forming unit ability, and the number of cells in S phase. Jagged1 treated hDPs exhibited significantly higher ALP enzymatic activity, osteogenic marker gene expression, and mineralization compared with control. Pretreatment with a γ-secretase inhibitor attenuated the Jagged1-induced ALP activity and mineral deposition. NOTCH2 shRNA reduced the Jagged1-induced osteogenic marker gene expression, ALP enzymatic activity, and mineral deposition. In conclusion, indirect immobilized Jagged1 suppresses cell cycle progression and induces the odonto/osteogenic differentiation of hDPs via the canonical Notch signaling pathway. © 2017 The Author(s)."
2-s2.0-85028617867,"Titanium dioxide nanoparticle (TiO2 NP) discharged into water bodies can affect ecosystems and human health adversely. We studied the properties of residual TiO2 NPs with and without gentle mixing (to simulate a natural environment more closely) and after settling for 12-h periods. Surface complexation, dynamic particle size changes, and TiO2 NP destabilization in synthetic and lake waters were investigated. The accumulation of inert ions (Na+ and Cl-) in the diffuse layer which was not discussed in other studies was supposed to be the main reason that aggregation occurred slowly and continuously. PO4 3- stabilized and destabilized TiO2 NPs at 10 mM and 100 mM, respectively. Destabilization occurred because high ionic strength overwhelmed increased negative charges of TiO2 NPs by complexation with PO4 3-. TiO2 NP destabilization was achieved in approximately 12 h in synthetic and lake waters, and is attributed to the slow diffusion of ions into aggregates. Despite the presence of moderately high concentrations of natural organic matter, which tends to stabilize TiO2 NPs, the addition of 20 mM PO4 3- destabilized the TiO2 NPs in lake water. Smaller aggregate sizes formed compared with those before destabilization, which indicates that stable residual TiO2 NPs could exist in aquatic environments after extended periods. © 2017 The Author(s)."
2-s2.0-85026749282,"A 2-year-old, neutered female domestic shorthaired cat presented with a history of multiple papules and nodules on pinnae, nodules on the nose, and chronic wound at the lateral surface of left radial area for four months. Skin biopsy demonstrated moderate numbers of small, oval-to-round, single-walled yeasts inside the macrophages. In addition, PCR confirmed the sequence of Histoplasma capsulatum. This is the first case report of feline cutaneous histoplasmosis in Thailand. © 2017 The Authors"
2-s2.0-85026659396,"The performance of a new indoline dye having a carboxylated 1,3-idandione unit linked with a hexythienyl ring showed higher conversion efficiency than the analogous dye without the hexyl group. © 2017 Elsevier Ltd"
2-s2.0-85027589981,"Oligomerization of olefins-rich bio-syngas from catalytic conversion of bio-oil or biomass provides an alternative way to produce valuable chemicals and renewable fuels. Here, catalytic oligomerization of olefins-rich bio-syngas (simulated gas) to gasoline-range hydrocarbons was investigated over Ni/ASA catalysts. Wet impregnation method was adopted to prepare Ni/ASA catalysts with Ni contents varying from 1 to 7 wt%. The prepared Ni/ASA were tested by BET, XRD, XPS, NH3-TPD and Py-IR to characterize their texture structures, chemical state and acidity properties. Results indicated that 1 wt% Ni/ASA catalyst exhibited the highest performance in the oligomerization of olefins-rich bio-syngas with ethylene, propylene and butylene conversion of 8.4 C-mol%, 32.6 and 71.5 C-mol%, respectively. And STY of gasoline-range hydrocarbons reached 74.2 g/(kgcata·h) after 12 h time on stream. The chemical state of the nickel on catalyst surface was varied along with different NiSO4 concentration loading. Furthermore, the acidity of catalysts, predominantly Lewis type, was also enhanced with the loading of NiSO4. Compared with parent ASA, the loading of NiSO4 on ASA promoted the olefins conversion and the formation of gasoline-range products with a great degree of isomerization (> 90%). The hydrogen transfer reaction of olefins also be promoted with the increasing of the NiSO4 loading. This unique behavior of Ni/ASA catalysts could be ascribed to their texture and acid sites/nickel cations ratio. A possible reaction pathway supported by the experimental results was addressed. © 2017 Elsevier B.V."
