,Eid,Cite-By_Count,Title
5246,2-s2.0-85026629162,0,Risk assessment of security requirements of banking information systems based on attack patterns
5247,2-s2.0-85026290428,41,Rome foundation-asian working team report: Asian functional gastrointestinal disorder symptom clusters
5248,2-s2.0-85024486955,4,Prevalence of Persistent Renal Dysfunction in Perinatally HIV-infected Thai Adolescents
5249,2-s2.0-85023622769,4,"Week 96 results of the randomized, multicentre Maraviroc Switch (MARCH) study"
5250,2-s2.0-85022328830,14,Usability evaluation on learning management system
5251,2-s2.0-85022221310,1,Comparison of UML sequence diagrams to trace technical specification change
5252,2-s2.0-85022177717,35,An enhanced deep convolutional encoder-decoder network for road segmentation on aerial imagery
5253,2-s2.0-85022176125,1,Knee implant orientation estimation for x-ray images using multiscale dual filter and linear regression model
5254,2-s2.0-85022066424,11,Biphasic Effect of ATP on In Vitro Mineralization of Dental Pulp Cells
5255,2-s2.0-85021752388,2,Design and validation of affective warning pictorials on alcohol container labels
5256,2-s2.0-85021300848,37,Effects of Transcranial Direct Current Stimulation Plus Physical Therapy on Gait in Patients with Parkinson Disease: A Randomized Controlled Trial
5257,2-s2.0-85020480998,16,Pressure transmission area and maximum pressure transmission of different thermoplastic resin denture base materials under impact load
5258,2-s2.0-85020422062,2,Reducing misclassification of true defects in defect classification of electronic board
5259,2-s2.0-85019769900,10,The effect of iloprost on cell proliferation and angiogenesis-related gene expression in human periodontal ligament cells
5260,2-s2.0-85018806893,29,Dynamic Responses of Interspersed Railway Tracks to Moving Train Loads
5261,2-s2.0-85018311743,15,Curable precursors derived from chemical recycling of poly(ethylene terephthalate) and polylactic acid and physical properties of their thermosetting (co)polyesters
5262,2-s2.0-85016114100,9,Effect of harvesting age and performance evaluation on biogasification from Napier grass in separated stages process
5263,2-s2.0-85014229510,1,Iron deficiency anemia interfering the diagnosis of compound heterozygosity for Hb constant spring and Hb Paksé: The first case report
5264,2-s2.0-85013345347,25,Association between leukocyte telomere length and angiogenic cytokines in knee osteoarthritis
5265,2-s2.0-85011708628,7,Anaerobic co-digestion of hydrolysate from alkali pre-treated oil palm empty fruit bunches with biodiesel waste glycerol
5266,2-s2.0-85003955387,64,"Bullying at work: Cognitive appraisal of negative acts, coping, wellbeing, and performance"
5267,2-s2.0-84994797918,11,Three-dimensional interaction diagram for the undrained capacity of inverted T-shape strip footings under general loading
5268,2-s2.0-84907768931,3,Changing patterns of civil-military relations and thailand’s regional outlook
5269,2-s2.0-85077976956,1,Public health and international epidemiology for radiology
5270,2-s2.0-85060936020,1,Flexible Printed Active Antenna for Digital Television Reception
5271,2-s2.0-85052201238,22,Parametric study of hydrogen production via sorption enhanced steam methane reforming in a circulating fluidized bed riser
5272,2-s2.0-85051498032,57,Superhydrophobic coating from fluoroalkylsilane modified natural rubber encapsulated SiO <inf>2</inf> composites for self-driven oil/water separation
5273,2-s2.0-85050678366,82,Electrochemical impedance-based DNA sensor using pyrrolidinyl peptide nucleic acids for tuberculosis detection
5274,2-s2.0-85059846549,16,Evaluation of outsourcing transportation contract using simulation and design of experiment
5275,2-s2.0-85053455291,15,The phenotypic and mutational spectrum of Thai female patients with ornithine transcarbamylase deficiency
5276,2-s2.0-85078621193,0,External beam radiotherapy in the treatment of painful bone metastases
5277,2-s2.0-85061529820,42,Predicting judicial decisions of criminal cases from Thai supreme court using bi-directional gru with attention mechanism
5278,2-s2.0-85058878790,4,PH Variation as a Simple and Selective Pathway for Obtaining Nanoparticle or Nanocapsule Polysaccharides
5279,2-s2.0-85053749794,21,Effect of Zr addition on the microstructure and tribological property of the anodization of Ti-6Al-4V alloy
5280,2-s2.0-85060970184,6,Applying Text Mining for Classifying Disease from Symptoms
5281,2-s2.0-85059849496,25,Detecting Radio AGN Signatures in Red Geysers
5282,2-s2.0-85059562771,3,Organic agriculture education in Thai Universities: National trends and student perceptions
5283,2-s2.0-85059516216,6,"A new species of Ceropegia (Asclepiadoideae, Apocynaceae) from eastern Thailand"
5284,2-s2.0-85059160526,15,Observation of Weakened V-V Dimers in the Monoclinic Metallic Phase of Strained VO2
5285,2-s2.0-85058392278,125,Heterostructured d-Ti <inf>3</inf> C <inf>2</inf> /TiO <inf>2/</inf> g-C <inf>3</inf> N <inf>4</inf> Nanocomposites with Enhanced Visible-Light Photocatalytic Hydrogen Production Activity
5286,2-s2.0-85054885984,36,Performance comparison of different cavitation reactors for biodiesel production via transesterification of palm oil
5287,2-s2.0-85063732788,0,"The dynamic linkage among the size, growth and profitability of listed companies in the ASEAN-4 countries"
5288,2-s2.0-85059484399,1,Different natures of sub-gap states in 135-CIGS/112-CIGS and 112-CIGS/135-CIGS heterostructures investigated by photoluminescence technique
5289,2-s2.0-85059480239,4,Optical properties of CsI:Tl crystals grown using different precursors purities
5290,2-s2.0-85059476683,7,CIGS thin film solar cells with graded-band gap fabricated by CIS/CGS bilayer and CGS/CIS/CGS trilayer systems
5291,2-s2.0-85059474991,0,Machine Learning system mimicking student's choice in Particle Data Analysis laboratory activity
5292,2-s2.0-85059473929,1,Effects of global and local rewiring on SIS epidemic adaptive networks
5293,2-s2.0-85059465253,3,Glucose sensing characterization of non-enzymatic nickel film and nickel foam electrodes in sodium hydroxide solution
5294,2-s2.0-85059463569,2,Shielding the Earth Magnetic Field using Spherical Coils
5295,2-s2.0-85059461222,0,EMF Shielding of One Set of Circular Coils with Slight Distortion
5296,2-s2.0-85059452131,3,Evaluation of Thai students and teacher's attitudes in physics using Colorado Learning Attitudes about Science Survey (CLASS)
5297,2-s2.0-85059450763,0,Cosmic-Ray Muons Detection by a Spark Chamber
5298,2-s2.0-85059450621,0,3D Information Retrieving of Concealing Surface beneath Opaque Resin Layer by Fast-Fourier Low Coherence Interferometer
5299,2-s2.0-85059443311,1,Mass-radius bounds in massive gravity models
5300,2-s2.0-85058918074,29,Identification of Pinocembrin as an Anti-Glycation Agent and α-Glucosidase Inhibitor from Fingerroot (Boesenbergia rotunda): The tentative structure–activity relationship towards Mg-trapping activity
5301,2-s2.0-85059409668,10,Graceful exit for the cosmological constant damping scenario
5302,2-s2.0-85055723883,4,Structural and transport phenomena of urocanate-based proton carrier in sulfonated poly(ether ether ketone) membrane composite
5303,2-s2.0-85054676706,6,Simulation of control characteristics of liquid column vibration absorber using a quasi-elliptic flow path estimation method
5304,2-s2.0-85053840080,1,"Corrigendum to “Effects of salt on the LLE and tie-line data for furfuryl alcohol - n-butanol-water at T = 298.15 K” [J. Mol. Liq. 218 (2016) 50–58] (Effects of salt on the LLE and tie-line data for furfuryl alcohol — n-butanol–water at T=298.15K (2016) 218 (50–58), (S0167732215309028) (10.1016/j.molliq.2016.02.027))"
5305,2-s2.0-85051292687,24,Bacillus sp. strain M10 as a potential biocontrol agent protecting chili pepper and tomato fruits from anthracnose disease caused by Colletotrichum capsici
5306,2-s2.0-85063505074,4,Finding impact factors for rejection of pull requests on GitHub
5307,2-s2.0-85063429603,4,Performance analysis of machine learning techniques in intrusion detection
5308,2-s2.0-85059112614,48,Observation of Medium-Induced Modifications of Jet Fragmentation in Pb-Pb Collisions at sNN =5.02 TeV Using Isolated Photon-Tagged Jets
5309,2-s2.0-85058475370,21,The ideal commensurate value of Sc and the superconducting phase under high pressure
5310,2-s2.0-85058983048,46,A mini review on antidiabetic properties of fermented foods
5311,2-s2.0-85059290811,63,Search for Leptoquarks Coupled to Third-Generation Quarks in Proton-Proton Collisions at s =13 TeV
5312,2-s2.0-85055499333,88,WS<inf>2</inf> and C-TiO<inf>2</inf> Nanorods Acting as Effective Charge Separators on g-C<inf>3</inf>N<inf>4</inf> to Boost Visible-Light Activated Hydrogen Production from Seawater
5313,2-s2.0-85061839078,52,Physics-based motion capture imitation with deep reinforcement learning
5314,2-s2.0-85060496074,1,Design of output feedback nonlinear model predictive control for inverted pendulum on cART
5315,2-s2.0-85058647216,12,Explicit Formula for Conditional Expectations of Product of Polynomial and Exponential Function of Affine Transform of Extended Cox-Ingersoll-Ross Process
5316,2-s2.0-85058622656,0,Two Properties of Pseudo-Polynomials over a Galois Field
5317,2-s2.0-85058320961,32,Basic fibroblast growth factor regulates phosphate/pyrophosphate regulatory genes in stem cells isolated from human exfoliated deciduous teeth
5318,2-s2.0-85062801280,11,Deep learning using risk-reward function for stock market prediction
5319,2-s2.0-85062797130,10,Chest X-ray analysis of tuberculosis by convolutional neural networks with affine transforms
5320,2-s2.0-85062255690,8,Creative industries policy in Thailand: A story of rise and demise
5321,2-s2.0-85066101363,5,Effect of modified Khon dance performance on functional fitness in older Thai persons
5322,2-s2.0-85066099543,3,Social return on investment for community-based alcohol consumption control program during Buddhist Lent
5323,2-s2.0-85066083201,21,"Medication adherence and associated factors among elderly hypertension patients with uncontrolled blood pressure in rural area, Northeast Thailand"
5324,2-s2.0-85066078842,8,The effects of toothpaste amounts and post-brushing rinsing methods on salivary fluoride retention
5325,2-s2.0-85059896348,3,Complete genomic sequences of highly pathogenic H5N1 avian influenza viruses obtained directly from human autopsy specimens
5326,2-s2.0-85058555067,74,Downstream components of the calmodulin signaling pathway in the rice salt stress response revealed by transcriptome profiling and target identification
5327,2-s2.0-85066105607,18,"Deep multispectral painting reproduction via multi-layer, custom-ink printing"
5328,2-s2.0-85060316344,9,Carbonized briquettes as a tool for adding value to waste from rain tree (Samanea saman) and coffee ground/tea waste
5329,2-s2.0-85060315563,7,Periodic-review policy for a 2-Echelon inventory problem with seasonal demand
5330,2-s2.0-85060304153,0,Reference stress approach for fracture assessment of extrados circumferential through-wall crack between elbow and pipe under internal pressure
5331,2-s2.0-85060301990,3,Atmospheric water estimation using GNSS precise point positioning method
5332,2-s2.0-85060284558,10,Development of arbuscular mycorrhizal fungi-organic fertilizer pellets encapsulated with alginate film
5333,2-s2.0-85060284222,7,Cross-sectoral analysis of water usage in Thailand using input–output model
5334,2-s2.0-85060277158,4,Speculation of nano-gap sensor for DNA sequencing technology: A review on synthetic nanopores
5335,2-s2.0-85058329914,1,Peat Endogenous Lignocellulolytic Bacteria for Humic Waste Decomposition
5336,2-s2.0-85060520670,2,Relationships between causal factors affecting future carbon dioxide output from Thailand's transportation sector under the government's sustainability policy: Expanding the SEM-VECM model
5337,2-s2.0-85058332469,2,Mechanochemical-assisted heterogeneous surface modification of parawood microcrystalline cellulose and its effect on the properties of polypropylene composites
5338,2-s2.0-85057626112,35,Sequential Fractionation of Palm Empty Fruit Bunch and Microwave-Assisted Depolymerization of Lignin for Producing Monophenolic Compounds
5339,2-s2.0-85057578970,49,Enhancement of Hydrogen Evolution Reaction Performance of Graphitic Carbon Nitride with Incorporated Nickel Boride
5340,2-s2.0-85152969667,0,Hemostatic efficacy of sheep-derived fibrin glue for liver biopsy in swine
5341,2-s2.0-85152957456,0,"Plasmid profile of Enterococcus faecium and Enterococcus faecalis isolated from pigs, pork and humans in Thai-Laos border provinces"
5342,2-s2.0-85152950212,0,Ophthalmology Snapshot
5343,2-s2.0-85152926723,0,ECG Quiz
5344,2-s2.0-85152923178,1,Computed tomographic contrast enhancement and tumor angiogenesis in canine oral tumors
5345,2-s2.0-85147427223,1,Efficacy of different vaccination programs of recombinant HVT-NDV vaccine against genotype VII NDV Challenge in broiler chickens
5346,2-s2.0-85134033351,1,Emergence of a classical variant of porcine epidemic diarrhea virus novel to Thailand responsible for the milder clinical disease in a herd previously infected with a pandemic variant
5347,2-s2.0-85130690048,1,Comparative ultrasonographic and computed tomographic images of the adrenal glands of healthy cats
5348,2-s2.0-85120882431,3,"A preliminary study on diversity of midgut microbiota in Aedes aegypti (Linnaeus) and Culex quinquefasciatus (Say) collected from Bangkok, Thailand"
5349,2-s2.0-85100201551,8,Concomitant mycotic abdominal aortic aneurysm and lumbar tuberculous spondylitis with cauda equina syndrome: a rare condition — a case report and literature review
5350,2-s2.0-85091699096,2,Predicting the present revisited: The case of Thailand
5351,2-s2.0-85090293808,2,Survival time and prognosis factors in hypertrophic cardiomyopathy cats with congestive heart failure
5352,2-s2.0-85082684208,2,"The potential use of phytoestrogen containing the herb, Pueraria mirifica, for bone healing in osteoporotic monkeys"
5353,2-s2.0-85076352482,2,Dynamic symmetry breaking in sat using augmented clauses with a polynomial-time lexicographic pruning
5354,2-s2.0-85076340852,0,Approximation of positive integer in double-base number system with a single term
5355,2-s2.0-85076335862,3,"Machine learning methods for abnormality detection in hard disk drive assembly process: Bi-LSTM, Wavelet-CNN and SVM"
5356,2-s2.0-85071461260,28,ALMA twenty-six arcmin<sup>2</sup> survey of GOODS-S at one millimeter (ASAGAO): Source catalog and number counts
5357,2-s2.0-85070861352,0,Message from General Chairs
5358,2-s2.0-85070812664,3,Railway network modeling using building block of timed coloured petri nets
5359,2-s2.0-85070806504,8,Refactoring orchestrated web services into microservices using decomposition pattern
5360,2-s2.0-85069328095,16,Skin Barrier Function and Atopic Dermatitis
5361,2-s2.0-85067075989,2,Corundum with spinel corona from the Tan Huongtruc Lau area in Northern Vietnam
5362,2-s2.0-85064709833,4,Effect of food additives on the quality of white shrimp (Litopenaeus vannamei)
5363,2-s2.0-85063690066,7,High infection rate of Zika virus in mosquitoes collected from an area of active Zika virus transmission in eastern Thailand
5364,2-s2.0-85063522895,2,Antimicrobial and weed inhibitory activities of Senna spectabilis extracts against plant pathogens
5365,2-s2.0-85061602467,5,D-minimal expansions of the real field have the zero set property
5366,2-s2.0-85060882963,10,Current progress in production of flavonoids using systems and synthetic biology platforms
5367,2-s2.0-85060856625,3,Mucuna pruriens seed extract promotes neurite outgrowth via ten-4 dependent and independent mechanisms in Neuro2a cells
5368,2-s2.0-85060664134,0,A study into perioperative anaesthetic adverse events in Thailand (PAAd THAI): An analysis of suspected emergence delirium
5369,2-s2.0-85060222612,2,Effect of emg biofeedback to improve hand function in children with cerebral palsy: A randomized controlled trial
5370,2-s2.0-85060162536,2,Lipschitz retractions onto sphere vs spherical cup in a hilbert space
5371,2-s2.0-85059675381,13,Mechanisms of carbapenem resistance in Acinetobacter pittii and Acinetobacter nosocomialis isolates from Thailand
5372,2-s2.0-85059639710,8,Domain rearrangement and denaturation in Ebola virus protein VP40
5373,2-s2.0-85059609200,1,Amyloidosis associated with long-standing enterobacter endocarditis in a dog
5374,2-s2.0-85059566810,3,A New tocopherol derivative and cytotoxicity from the leaves of dalbergia velutina
5375,2-s2.0-85059556193,4,Effecting factors of the mechanical properties of Thai Dendrocalamus gigantues bamboo
5376,2-s2.0-85059533501,0,"Role of acute kidney injury biomarkers to guide renal replacement therapy initiation, what we learn from EARLY-RRT trial and FST trial?"
5377,2-s2.0-85059500714,2,Determining the amphipol distribution within membrane-protein fibre samples using small-angle neutron scattering
5378,2-s2.0-85059477183,39,Angular analysis of the decay B+ →k+μ+μ- in proton-proton collisions at s =8 TeV
5379,2-s2.0-85059460372,45,Search for pair-produced resonances decaying to quark pairs in proton-proton collisions at s =13 TeV
5380,2-s2.0-85059273699,6,Long-term effectiveness of omalizumab treatment in Thai severe asthmatic patients: A real-life experience
5381,2-s2.0-85059259196,9,Randomized comparison of caregivers' ability to use epinephrine autoinjectors and prefilled syringes for anaphylaxis
5382,2-s2.0-85059255766,13,Effects of aerobic exercise and vitamin C supplementation on rhinitis symptoms in allergic rhinitis patients
5383,2-s2.0-85059248986,1,First episode of preschool wheeze requiring hospitalization:a prospective study on the chance of recurrence and associated factors
5384,2-s2.0-85059230299,7,"Differential dendritic cell responses to cell wall mannan of Candida albicans, Candida parapsilosis, and Candida dubliniensis"
5385,2-s2.0-85059213990,68,Common viral infections in kidney transplant recipients
5386,2-s2.0-85059087917,25,Event shape variables measured using multijet final states in proton-proton collisions at √s=13 TeV
5387,2-s2.0-85058935797,18,A nonrelativistic limit for AdS perturbations
5388,2-s2.0-85058926637,32,Melittin induced G1 cell cycle arrest and apoptosis in Chago-K1 human bronchogenic carcinoma cells and inhibited the differentiation of THP-1 cells into tumour- associated macrophages
5389,2-s2.0-85058917460,2,Alteration of urinary neutrophil gelatinase–associated lipocalin as a predictor of tacrolimus-induced chronic renal allograft fibrosis in tacrolimus dose adjustments following kidney transplantation
5390,2-s2.0-85058915984,22,Rapid and sensitive detection of Chlamydia trachomatis sexually transmitted infections in resource-constrained settings in Thailand at the point-of-care
5391,2-s2.0-85058885422,8,The utilization of the surviving sepsis campaign care bundles in the treatment of pediatric patients with severe sepsis or septic shock in a resource-limited environment: A prospective multicenter trial
5392,2-s2.0-85058819617,7,"Real-life clinical pattern, management, and survival in Thai patients with early-stage or metastatic triple-negative breast cancer"
5393,2-s2.0-85058790064,17,A robust intracellular metabolite extraction protocol for human neutrophil metabolic profiling
5394,2-s2.0-85058742898,5,Role of mucoprotective agents in endoscopic submucosal dissection-derived ulcers: A systematic review
5395,2-s2.0-85058716387,169,GOODS-ALMA: 1.1 mm galaxy survey: I. Source catalog and optically dark galaxies
5396,2-s2.0-85058472015,25,Complete genome analysis demonstrates multiple introductions of enterovirus 71 and coxsackievirus A16 recombinant strains into Thailand during the past decade
5397,2-s2.0-85058457964,11,Two-state co-expression network analysis to identify genes related to salt tolerance in Thai rice
5398,2-s2.0-85058453548,155,The [CII] emission as a molecular gas mass tracer in galaxies at low and high redshifts
5399,2-s2.0-85058382112,17,Rice overexpressing OsNUC1-s reveals differential gene expression leading to yield loss reduction after salt stress at the booting stage
5400,2-s2.0-85058362649,11,How might normative and mimetic pressures improve local government service performance reporting?
5401,2-s2.0-85058160421,72,"The new 4th edition World Health Organization classification for thyroid tumors, Asian perspectives"
5402,2-s2.0-85057868138,2,The coexistence of Cushing syndrome and gynecomastia as the manifestations of adrenocortical carcinoma
5403,2-s2.0-85057601344,2,Genetic diversity and relationships among Lyle's flying fox colonies in Thailand
5404,2-s2.0-85057554441,14,Improving Thai word and sentence segmentation using linguistic knowledge
5405,2-s2.0-85057539530,5,Baseline atrial fibrillation is associated with contrast-induced nephropathy after cardiac catheterization in coronary artery disease: Systemic review and meta-analysis
5406,2-s2.0-85057420667,11,Extraction of Trend Keywords and stop words from Thai Facebook pages using character n-Grams
5407,2-s2.0-85057321973,5,Numerical data on the shear stress distribution generated by a rotating rod within a stationary ring over a 35-mm cell culture dish
5408,2-s2.0-85057237051,8,Adjunctive Use of Cidofovir and Intravenous Immunoglobulin to Treat Invasive Adenoviral Disease in Solid Organ Transplant Recipients
5409,2-s2.0-85057147112,23,"Two regulators, PA3898 and PA2100, modulate the pseudomonas aeruginosa multidrug resistance MexAB-OprM and EmrAB efflux pumps and biofilm formation"
5410,2-s2.0-85057083547,29,Low-density lipoprotein cholesterol target attainment in patients with stable or acute coronary heart disease in the Asia-Pacific region: results from the Dyslipidemia International Study II
5411,2-s2.0-85056844710,6,"Data analysis of the U–Pb geochronology and Lu–Hf system in zircon and whole-rock Sr, Sm–Nd and Pb isotopic systems for the granitoids of Thailand"
5412,2-s2.0-85056802291,22,Cell wall mannan of Candida krusei mediates dendritic cell apoptosis and orchestrates Th17 polarization via TLR-2/MyD88-dependent pathway
5413,2-s2.0-85056695606,2,Relations between cardinalities of the finite sequences and the finite subsets of a set
5414,2-s2.0-85056354694,1,AFOMP policy number 6: code of ethics for medical physicists in AFOMP Countries
5415,2-s2.0-85056353082,5,New application of dynamic magnetic resonance imaging for the assessment of deglutitive tongue movement
5416,2-s2.0-85056335704,3,The Effect of a Brief HIV Prevention Program on Risk Reduction Behaviors Among Thai Men Diagnosed With Sexually Transmitted Infections
5417,2-s2.0-85056276634,4,Impact of AlCl3 and FeCl2 Addition on Catalytic Behaviors of TiCl4/MgCl2/THF Catalysts for Ethylene Polymerization and Ethylene/1-Hexene Copolymerization
5418,2-s2.0-85056265944,17,Vonoprazan versus proton-pump inhibitors for gastric endoscopic submucosal dissection-induced ulcers: A systematic review and meta-analysis
5419,2-s2.0-85056261357,15,Cardol triene inhibits dengue infectivity by targeting kl loops and preventing envelope fusion
5420,2-s2.0-85056200000,25,The metal kiln with heat distribution pipes for high quality charcoal and wood vinegar production
5421,2-s2.0-85056162378,48,"Major depression model induced by repeated and intermittent lipopolysaccharide administration: Long-lasting behavioral, neuroimmune and neuroprogressive alterations"
5422,2-s2.0-85055877820,8,"Metal accumulation in the marine bivalve, Marcia optima collected from the coastal area of Phuket Bay, Thailand"
5423,2-s2.0-85055710234,9,Incorporation of <sup>13</sup> C-HCO <inf>3</inf><sup>−</sup> by ammonia-oxidizing archaea and bacteria during ammonia oxidation of sludge from a municipal wastewater treatment plant
5424,2-s2.0-85055624059,3,Effects of varying soil and atmospheric water deficit on water use characteristics of tropical street tree species
5425,2-s2.0-85055561549,9,"The benefits of angiotensin-converting enzyme inhibitors/angiotensin II receptor blockers combined with calcium channel blockers on metabolic, renal, and cardiovascular outcomes in hypertensive patients: a meta-analysis"
5426,2-s2.0-85055491350,24,Comparison between digital image analysis and visual assessment of immunohistochemical HER2 expression in breast cancer
5427,2-s2.0-85055205421,7,Chitosan-based nanoparticles with damnacanthal suppress CRM1 expression
5428,2-s2.0-85055199276,9,Evaluation of Plasmodium vivax isolates in Thailand using polymorphic markers Plasmodium merozoite surface protein (PvMSP) 1 and PvMSP3
5429,2-s2.0-85055080877,18,Detection of host pathways universally inhibited after Plasmodium yoelii infection for immune intervention
5430,2-s2.0-85055049678,12,Classification of unusual insertion of the pectoralis minor muscle
5431,2-s2.0-85055028853,14,Scaling laws for static displacement of linearly elastic cracked beam by energy method
5432,2-s2.0-85054876704,6,Data in support of photosynthetic responses in a chromosome segment substitution line of ‘Khao Dawk Mali 105’ rice at seedling stage
5433,2-s2.0-85054801027,39,"Inflammatory reaction, clinical efficacy, and safety of bacterial cellulose wound dressing containing silk sericin and polyhexamethylene biguanide for wound treatment"
5434,2-s2.0-85054643077,25,Caring for Thai Older Persons With Long-Term Care Needs
5435,2-s2.0-85054621002,82,Facilitated transport of cadmium with montmorillonite KSF colloids under different pH conditions in water-saturated sand columns: Experiment and transport modeling
5436,2-s2.0-85054588423,22,"Adaptive effect of sericin on hepatic mitochondrial conformation through its regulation of apoptosis, autophagy and energy maintenance: a proteomics approach"
5437,2-s2.0-85054584634,89,Discharge Performance of Zinc-Air Flow Batteries Under the Effects of Sodium Dodecyl Sulfate and Pluronic F-127
5438,2-s2.0-85054443060,28,Influence of anisotropic properties on vertical vibrations of circular foundation on saturated elastic layer
5439,2-s2.0-85054308952,28,Generation and characterization of hepatocellular carcinoma cell lines with enhanced cancer stem cell potential
5440,2-s2.0-85054194780,37,Evaluation of different pretreatments of Napier grass for enzymatic saccharification and ethanol production
5441,2-s2.0-85054184001,21,Biofuel production via the pyrolysis of sugarcane (Saccharum officinarum L.) leaves: Characterization of the optimal conditions
5442,2-s2.0-85054140369,11,Is the occiput-wall distance valid and reliable to determine the presence of thoracic hyperkyphosis?
5443,2-s2.0-85053893979,12,Optimization of process parameters using response surface methodology for Pd(II) extraction with quaternary ammonium salt from chloride medium: kinetic and thermodynamics study
5444,2-s2.0-85053832338,15,Loss of Gsα in osteocytes leads to osteopenia due to sclerostin induced suppression of osteoblast activity
5445,2-s2.0-85053831669,3,Intracatheter Antifungal Lock Leading to Detrimental Complications
5446,2-s2.0-85053619106,19,Optimization of exposure parameters in dental cone beam computed tomography using a 3-step approach
5447,2-s2.0-85053495818,6,Distinctive features of low-grade myofibroblastic sarcoma on aspiration cytology: A case report
5448,2-s2.0-85053492921,11,A randomized trial of low-dose gabapentin for post hospitalization relapse prevention in a Thai clinical sample of alcohol dependence
5449,2-s2.0-85053439955,56,Three-dimensional lower bound finite element limit analysis of Hoek-Brown material using semidefinite programming
5450,2-s2.0-85053423390,3,Clinical and functional studies of two novel variants in the LPL gene in subjects with severe hypertriglyceridemia
5451,2-s2.0-85053401902,11,Topical drug delivery to the posterior segment of the eye: The effect of benzalkonium chloride on topical dexamethasone penetration into the eye in vivo
5452,2-s2.0-85053189146,1,"Effect of pressure on the structure stability, electronic structure and band gap engineering in Zn<inf>16</inf>O<inf>1</inf>S<inf>15</inf>"
5453,2-s2.0-85053174978,25,Co-overexpression of native phospholipid-biosynthetic genes plsX and plsC enhances lipid production in Synechocystis sp. PCC 6803
5454,2-s2.0-85053081646,55,Two host gut-derived lactic acid bacteria activate the proPO system and increase resistance to an AHPND-causing strain of Vibrio parahaemolyticus in the shrimp Litopenaeus vannamei
5455,2-s2.0-85053010803,6,Improved Survival of Elderly-fit Patients With Acute Myeloid Leukemia Requiring Intensive Therapy: 3-Year Multicenter Analysis From TALWG
5456,2-s2.0-85052987188,4,Changes of cardiac function in diabetic dogs
5457,2-s2.0-85052985058,9,Quinolone-resistant phenotype of Flavobacterium columnare isolates harbouring point mutations both in gyrA and parC but not in gyrB or parE
5458,2-s2.0-85052852129,23,Mechanistic aspect based on the role of reactive oxidizing species (ROS) in macroscopic level on the glycerol photooxidation over defected and defected-free TiO<inf>2</inf>
5459,2-s2.0-85052757960,12,The crucial role of density functional nonlocality and on-axis CH<inf>3</inf>NH<inf>3</inf> rotation induced I<inf>2</inf> formation in hybrid organic-inorganic CH<inf>3</inf>NH<inf>3</inf>PbI<inf>3</inf> cubic perovskite
5460,2-s2.0-85052749282,87,High tissue eosinophilia as a marker to predict recurrence for eosinophilic chronic rhinosinusitis: a systematic review and meta-analysis
5461,2-s2.0-85052727555,17,Constitutive equations for vertical upward two-phase flow in rod bundle
5462,2-s2.0-85052652006,13,"Serological evidence of duck Tembusu virus infection in free-grazing ducks, Thailand"
5463,2-s2.0-85052635594,4,Evaluation of dielectric cure monitoring for in situ measurement of natural rubber vulcanization
5464,2-s2.0-85052488654,6,A spectroscopic study of indigo dye in aqueous solution: A combined experimental and TD-DFT study
5465,2-s2.0-85052472790,30,"Permian–Triassic back-arc basin development in response to Paleo-Tethys subduction, Sa Kaeo–Chanthaburi area in Southeastern Thailand"
5466,2-s2.0-85052374832,30,Ultrasound evaluation of arterial anastomosis of the forehead
5467,2-s2.0-85052213936,3,Factorizable non-atomic copulas
5468,2-s2.0-85051824569,5,Characterization of N-type and P-type Aluminum Antimonides on Si substrates for room-temperature optoelectronic devices
5469,2-s2.0-85051757660,7,Cortical Bone Loss in a Spontaneous Murine Model of Systemic Lupus Erythematosus
5470,2-s2.0-85051683221,62,Cytotoxicity against cancer cells of chitosan oligosaccharides prepared from chitosan powder degraded by electrical discharge plasma
5471,2-s2.0-85051652467,8,Inhibition of amyloid fibril formation in the variable domain of λ6 light chain mutant Wil caused by the interaction between its unfolded state and epigallocatechin-3-O-gallate
5472,2-s2.0-85051400106,19,Measurement of ballistic impact performance of fiber reinforced polybenzoxazine/polyurethane composites
5473,2-s2.0-85051199297,11,Development of a high throughput yeast-based screening assay for human carbonic anhydrase isozyme II inhibitors
5474,2-s2.0-85051180271,11,Nephrology nurses' perceptions of discussing sexual health issues with patients who have end-stage kidney disease
5475,2-s2.0-85051023165,17,Effects of decongestant addition to intranasal corticosteroid for chronic rhinitis: a systematic review and meta-analysis
5476,2-s2.0-85050850597,32,Simultaneous assessment of various quality attributes and shelf life of packaged bratwurst using hyperspectral imaging
5477,2-s2.0-85050803032,32,Finite element modelling of flexural behaviour of geosynthetic cementitious composite mat (GCCM)
5478,2-s2.0-85050662074,140,Chitosan/alginate nanoparticles as a promising approach for oral delivery of curcumin diglutaric acid for cancer treatment
5479,2-s2.0-85050656313,80,Ethanol as an electrolyte additive for alkaline zinc-air flow batteries
5480,2-s2.0-85050539220,56,Environmental risk factors and nonpharmacological and nonsurgical interventions for obesity: An umbrella review of meta-analyses of cohort studies and randomized controlled trials
5481,2-s2.0-85050468889,85,A colorimetric paper-based analytical device coupled with hollow fiber membrane liquid phase microextraction (HF-LPME) for highly sensitive detection of hexavalent chromium in water samples
5482,2-s2.0-85050458654,14,Detection of Aujeszky's disease virus DNA and antibody in swine oral fluid specimens
5483,2-s2.0-85050132605,25,"Acemannan increased bone surface, bone volume, and bone density in a calvarial defect model in skeletally-mature rats"
