,Eid,Subject_Field
444,2-s2.0-84984683766,"Biochemistry, Genetics and Molecular Biology"
445,2-s2.0-85054891286,"Biochemistry, Genetics and Molecular Biology"
446,2-s2.0-85011620491,"Biochemistry, Genetics and Molecular Biology"
447,2-s2.0-84983740530,"Biochemistry, Genetics and Molecular Biology"
448,2-s2.0-85006966243,"Biochemistry, Genetics and Molecular Biology"
449,2-s2.0-85010046858,"Biochemistry, Genetics and Molecular Biology"
450,2-s2.0-85064329082,"Biochemistry, Genetics and Molecular Biology"
451,2-s2.0-85054236093,"Biochemistry, Genetics and Molecular Biology"
452,2-s2.0-85042285371,"Biochemistry, Genetics and Molecular Biology"
453,2-s2.0-85040840060,"Biochemistry, Genetics and Molecular Biology"
454,2-s2.0-85040003809,"Biochemistry, Genetics and Molecular Biology"
455,2-s2.0-85038633668,"Biochemistry, Genetics and Molecular Biology"
456,2-s2.0-85034818686,"Biochemistry, Genetics and Molecular Biology"
457,2-s2.0-85034761711,"Biochemistry, Genetics and Molecular Biology"
458,2-s2.0-85033389491,"Biochemistry, Genetics and Molecular Biology"
459,2-s2.0-85032934701,"Biochemistry, Genetics and Molecular Biology"
460,2-s2.0-85032192407,"Biochemistry, Genetics and Molecular Biology"
461,2-s2.0-85031318909,"Biochemistry, Genetics and Molecular Biology"
462,2-s2.0-85030840345,"Biochemistry, Genetics and Molecular Biology"
463,2-s2.0-85029800415,"Biochemistry, Genetics and Molecular Biology"
464,2-s2.0-85029435627,"Biochemistry, Genetics and Molecular Biology"
465,2-s2.0-85029431668,"Biochemistry, Genetics and Molecular Biology"
466,2-s2.0-85029429732,"Biochemistry, Genetics and Molecular Biology"
467,2-s2.0-85029428350,"Biochemistry, Genetics and Molecular Biology"
468,2-s2.0-85029419890,"Biochemistry, Genetics and Molecular Biology"
469,2-s2.0-85028300656,"Biochemistry, Genetics and Molecular Biology"
470,2-s2.0-85027383687,"Biochemistry, Genetics and Molecular Biology"
471,2-s2.0-85026889629,"Biochemistry, Genetics and Molecular Biology"
472,2-s2.0-85026778125,"Biochemistry, Genetics and Molecular Biology"
473,2-s2.0-85021974211,"Biochemistry, Genetics and Molecular Biology"
474,2-s2.0-85021876794,"Biochemistry, Genetics and Molecular Biology"
475,2-s2.0-85021857508,"Biochemistry, Genetics and Molecular Biology"
476,2-s2.0-85021665626,"Biochemistry, Genetics and Molecular Biology"
477,2-s2.0-85021140274,"Biochemistry, Genetics and Molecular Biology"
478,2-s2.0-85020477185,"Biochemistry, Genetics and Molecular Biology"
479,2-s2.0-85018693492,"Biochemistry, Genetics and Molecular Biology"
480,2-s2.0-85018677745,"Biochemistry, Genetics and Molecular Biology"
481,2-s2.0-85018475053,"Biochemistry, Genetics and Molecular Biology"
482,2-s2.0-85018424222,"Biochemistry, Genetics and Molecular Biology"
483,2-s2.0-85017489547,"Biochemistry, Genetics and Molecular Biology"
484,2-s2.0-85017126360,"Biochemistry, Genetics and Molecular Biology"
485,2-s2.0-85015816594,"Biochemistry, Genetics and Molecular Biology"
486,2-s2.0-85015776493,"Biochemistry, Genetics and Molecular Biology"
487,2-s2.0-85014616927,"Biochemistry, Genetics and Molecular Biology"
488,2-s2.0-85014310276,"Biochemistry, Genetics and Molecular Biology"
489,2-s2.0-85013644927,"Biochemistry, Genetics and Molecular Biology"
490,2-s2.0-85013167659,"Biochemistry, Genetics and Molecular Biology"
491,2-s2.0-85012154111,"Biochemistry, Genetics and Molecular Biology"
492,2-s2.0-85011966199,"Biochemistry, Genetics and Molecular Biology"
493,2-s2.0-85010748367,"Biochemistry, Genetics and Molecular Biology"
494,2-s2.0-85010727500,"Biochemistry, Genetics and Molecular Biology"
495,2-s2.0-85009731586,"Biochemistry, Genetics and Molecular Biology"
496,2-s2.0-85009678682,"Biochemistry, Genetics and Molecular Biology"
497,2-s2.0-85006823610,"Biochemistry, Genetics and Molecular Biology"
498,2-s2.0-85006289191,"Biochemistry, Genetics and Molecular Biology"
499,2-s2.0-85002293110,"Biochemistry, Genetics and Molecular Biology"
500,2-s2.0-84995767720,"Biochemistry, Genetics and Molecular Biology"
501,2-s2.0-84992738311,"Biochemistry, Genetics and Molecular Biology"
502,2-s2.0-84986269178,"Biochemistry, Genetics and Molecular Biology"
503,2-s2.0-84983567827,"Biochemistry, Genetics and Molecular Biology"
504,2-s2.0-84983462817,"Biochemistry, Genetics and Molecular Biology"
505,2-s2.0-84979256587,"Biochemistry, Genetics and Molecular Biology"
506,2-s2.0-85020307475,"Business, Management and Accounting"
507,2-s2.0-85014742131,"Business, Management and Accounting"
508,2-s2.0-85042699524,"Business, Management and Accounting"
509,2-s2.0-84961216137,"Business, Management and Accounting"
510,2-s2.0-85028055860,"Business, Management and Accounting"
511,2-s2.0-85072768814,"Business, Management and Accounting"
512,2-s2.0-84948765858,"Business, Management and Accounting"
513,2-s2.0-85042352286,"Business, Management and Accounting"
514,2-s2.0-85038252750,"Business, Management and Accounting"
515,2-s2.0-85019480651,"Business, Management and Accounting"
516,2-s2.0-85027876244,"Business, Management and Accounting"
517,2-s2.0-85027840318,"Business, Management and Accounting"
518,2-s2.0-85045282402,"Business, Management and Accounting"
519,2-s2.0-85045278169,"Business, Management and Accounting"
520,2-s2.0-85021452420,"Business, Management and Accounting"
521,2-s2.0-85021448704,"Business, Management and Accounting"
522,2-s2.0-85021446794,"Business, Management and Accounting"
523,2-s2.0-85021418688,"Business, Management and Accounting"
524,2-s2.0-85021418321,"Business, Management and Accounting"
525,2-s2.0-85036589103,"Business, Management and Accounting"
526,2-s2.0-84937053705,"Business, Management and Accounting"
527,2-s2.0-85020060685,"Business, Management and Accounting"
528,2-s2.0-85014885327,"Business, Management and Accounting"
529,2-s2.0-84930716880,"Business, Management and Accounting"
530,2-s2.0-85014848973,"Business, Management and Accounting"
531,2-s2.0-85014813255,"Business, Management and Accounting"
532,2-s2.0-85027495308,"Business, Management and Accounting"
533,2-s2.0-85014521308,"Business, Management and Accounting"
534,2-s2.0-84929430245,"Business, Management and Accounting"
535,2-s2.0-84959461157,"Business, Management and Accounting"
536,2-s2.0-85028270382,"Business, Management and Accounting"
537,2-s2.0-84994716119,"Business, Management and Accounting"
538,2-s2.0-85016196912,"Business, Management and Accounting"
539,2-s2.0-84978782684,"Business, Management and Accounting"
540,2-s2.0-85140132050,"Business, Management and Accounting"
541,2-s2.0-85088763118,"Business, Management and Accounting"
542,2-s2.0-85080810617,"Business, Management and Accounting"
543,2-s2.0-85076068542,"Business, Management and Accounting"
544,2-s2.0-85052461732,"Business, Management and Accounting"
545,2-s2.0-85050280899,"Business, Management and Accounting"
546,2-s2.0-85049927932,"Business, Management and Accounting"
547,2-s2.0-85040314314,"Business, Management and Accounting"
548,2-s2.0-85040198561,"Business, Management and Accounting"
549,2-s2.0-85040172041,"Business, Management and Accounting"
550,2-s2.0-85040171410,"Business, Management and Accounting"
551,2-s2.0-85040167007,"Business, Management and Accounting"
552,2-s2.0-85039917973,"Business, Management and Accounting"
553,2-s2.0-85039917099,"Business, Management and Accounting"
554,2-s2.0-85038963235,"Business, Management and Accounting"
555,2-s2.0-85032689537,"Business, Management and Accounting"
556,2-s2.0-85031701902,"Business, Management and Accounting"
557,2-s2.0-85030087578,"Business, Management and Accounting"
558,2-s2.0-85029286477,"Business, Management and Accounting"
559,2-s2.0-85028957536,"Business, Management and Accounting"
560,2-s2.0-85028544528,"Business, Management and Accounting"
561,2-s2.0-85026749639,"Business, Management and Accounting"
562,2-s2.0-85022063783,"Business, Management and Accounting"
563,2-s2.0-85021993201,"Business, Management and Accounting"
564,2-s2.0-85021381710,"Business, Management and Accounting"
565,2-s2.0-85020750583,"Business, Management and Accounting"
566,2-s2.0-85020456756,"Business, Management and Accounting"
567,2-s2.0-85019188408,"Business, Management and Accounting"
568,2-s2.0-85019002592,"Business, Management and Accounting"
569,2-s2.0-85018990284,"Business, Management and Accounting"
570,2-s2.0-85018989743,"Business, Management and Accounting"
571,2-s2.0-85016469604,"Business, Management and Accounting"
572,2-s2.0-85014438440,"Business, Management and Accounting"
573,2-s2.0-85014193693,"Business, Management and Accounting"
574,2-s2.0-85010303976,"Business, Management and Accounting"
575,2-s2.0-85007071638,"Business, Management and Accounting"
576,2-s2.0-0343899114,"Business, Management and Accounting"
577,2-s2.0-85028376438,Chemical Engineering
578,2-s2.0-85037035609,Chemical Engineering
579,2-s2.0-85035045789,Chemical Engineering
580,2-s2.0-85033681749,Chemical Engineering
581,2-s2.0-85033572607,Chemical Engineering
582,2-s2.0-85029208129,Chemical Engineering
583,2-s2.0-85027868730,Chemical Engineering
584,2-s2.0-85027589981,Chemical Engineering
585,2-s2.0-85026659396,Chemical Engineering
586,2-s2.0-85019629867,Chemical Engineering
587,2-s2.0-85018891443,Chemical Engineering
588,2-s2.0-85018866825,Chemical Engineering
589,2-s2.0-85034589273,Chemical Engineering
590,2-s2.0-85034062829,Chemical Engineering
591,2-s2.0-85033553291,Chemical Engineering
592,2-s2.0-85032026998,Chemical Engineering
593,2-s2.0-85031327856,Chemical Engineering
594,2-s2.0-85027434894,Chemical Engineering
595,2-s2.0-85018936868,Chemical Engineering
596,2-s2.0-85032635825,Chemical Engineering
597,2-s2.0-85026237542,Chemical Engineering
598,2-s2.0-85020689011,Chemical Engineering
599,2-s2.0-85017191502,Chemical Engineering
600,2-s2.0-85015830542,Chemical Engineering
601,2-s2.0-85014078485,Chemical Engineering
602,2-s2.0-85062482405,Chemical Engineering
603,2-s2.0-85042116274,Chemical Engineering
604,2-s2.0-85041615672,Chemical Engineering
605,2-s2.0-85041411745,Chemical Engineering
606,2-s2.0-85041409622,Chemical Engineering
607,2-s2.0-85041400091,Chemical Engineering
608,2-s2.0-85041400044,Chemical Engineering
609,2-s2.0-85041392170,Chemical Engineering
610,2-s2.0-85041379262,Chemical Engineering
611,2-s2.0-85032260463,Chemical Engineering
612,2-s2.0-85031294654,Chemical Engineering
613,2-s2.0-85028545878,Chemical Engineering
614,2-s2.0-85030112873,Chemical Engineering
615,2-s2.0-85029674170,Chemical Engineering
616,2-s2.0-85018703824,Chemical Engineering
617,2-s2.0-85025155884,Chemical Engineering
618,2-s2.0-85022055488,Chemical Engineering
619,2-s2.0-85021452303,Chemical Engineering
620,2-s2.0-85020038125,Chemical Engineering
621,2-s2.0-85018529316,Chemical Engineering
622,2-s2.0-84989221967,Chemical Engineering
623,2-s2.0-85027888210,Chemical Engineering
624,2-s2.0-85027358250,Chemical Engineering
625,2-s2.0-85027833617,Chemical Engineering
626,2-s2.0-85027708650,Chemical Engineering
627,2-s2.0-85021197129,Chemical Engineering
628,2-s2.0-85020875298,Chemical Engineering
629,2-s2.0-85019391328,Chemical Engineering
630,2-s2.0-85014036033,Chemical Engineering
631,2-s2.0-85028931785,Chemical Engineering
632,2-s2.0-85026672458,Chemical Engineering
633,2-s2.0-85018318868,Chemical Engineering
634,2-s2.0-85019200065,Chemical Engineering
635,2-s2.0-85021419886,Chemical Engineering
636,2-s2.0-85019121309,Chemical Engineering
637,2-s2.0-85017569167,Chemical Engineering
638,2-s2.0-85010739260,Chemical Engineering
639,2-s2.0-84924787455,Chemical Engineering
640,2-s2.0-85021281194,Chemical Engineering
641,2-s2.0-85020446982,Chemical Engineering
642,2-s2.0-85017132684,Chemical Engineering
643,2-s2.0-85015312296,Chemical Engineering
644,2-s2.0-85013626257,Chemical Engineering
645,2-s2.0-85020692254,Chemical Engineering
646,2-s2.0-85014736453,Chemical Engineering
647,2-s2.0-85020026842,Chemical Engineering
648,2-s2.0-85019895293,Chemical Engineering
649,2-s2.0-85009759061,Chemical Engineering
650,2-s2.0-84930716880,Chemical Engineering
651,2-s2.0-85018565544,Chemical Engineering
652,2-s2.0-84924131601,Chemical Engineering
653,2-s2.0-85014116371,Chemical Engineering
654,2-s2.0-85016402277,Chemical Engineering
655,2-s2.0-85008173317,Chemical Engineering
656,2-s2.0-85006482275,Chemical Engineering
657,2-s2.0-85000502400,Chemical Engineering
658,2-s2.0-85005992142,Chemical Engineering
659,2-s2.0-85002549355,Chemical Engineering
660,2-s2.0-85000359968,Chemical Engineering
661,2-s2.0-85002179227,Chemical Engineering
662,2-s2.0-85011883202,Chemical Engineering
663,2-s2.0-85039713078,Chemical Engineering
664,2-s2.0-85031937488,Chemical Engineering
665,2-s2.0-85011623222,Chemical Engineering
666,2-s2.0-84996619356,Chemical Engineering
667,2-s2.0-84984683766,Chemical Engineering
668,2-s2.0-85011620491,Chemical Engineering
669,2-s2.0-84998679720,Chemical Engineering
670,2-s2.0-84992146624,Chemical Engineering
671,2-s2.0-85009999737,Chemical Engineering
672,2-s2.0-85018346645,Chemical Engineering
673,2-s2.0-84988728305,Chemical Engineering
674,2-s2.0-85006341916,Chemical Engineering
675,2-s2.0-85073551609,Chemical Engineering
676,2-s2.0-85073497004,Chemical Engineering
677,2-s2.0-85050927418,Chemical Engineering
678,2-s2.0-85037058313,Chemical Engineering
679,2-s2.0-85034636939,Chemical Engineering
680,2-s2.0-85034581318,Chemical Engineering
681,2-s2.0-85033229177,Chemical Engineering
682,2-s2.0-85032972173,Chemical Engineering
683,2-s2.0-85029755175,Chemical Engineering
684,2-s2.0-85029609842,Chemical Engineering
685,2-s2.0-85029579165,Chemical Engineering
686,2-s2.0-85029435627,Chemical Engineering
687,2-s2.0-85029431668,Chemical Engineering
688,2-s2.0-85029429732,Chemical Engineering
689,2-s2.0-85029428350,Chemical Engineering
690,2-s2.0-85029419890,Chemical Engineering
691,2-s2.0-85028700005,Chemical Engineering
692,2-s2.0-85028639850,Chemical Engineering
693,2-s2.0-85028244351,Chemical Engineering
694,2-s2.0-85027948963,Chemical Engineering
695,2-s2.0-85027227411,Chemical Engineering
696,2-s2.0-85026778969,Chemical Engineering
697,2-s2.0-85026415804,Chemical Engineering
698,2-s2.0-85026354006,Chemical Engineering
699,2-s2.0-85022344922,Chemical Engineering
700,2-s2.0-85021989093,Chemical Engineering
701,2-s2.0-85021978053,Chemical Engineering
702,2-s2.0-85021693165,Chemical Engineering
703,2-s2.0-85021691511,Chemical Engineering
704,2-s2.0-85021658559,Chemical Engineering
705,2-s2.0-85021656677,Chemical Engineering
706,2-s2.0-85021652528,Chemical Engineering
707,2-s2.0-85021634430,Chemical Engineering
708,2-s2.0-85020477185,Chemical Engineering
709,2-s2.0-85020252669,Chemical Engineering
710,2-s2.0-85019867411,Chemical Engineering
711,2-s2.0-85019172222,Chemical Engineering
712,2-s2.0-85018981657,Chemical Engineering
713,2-s2.0-85018552144,Chemical Engineering
714,2-s2.0-85018502005,Chemical Engineering
715,2-s2.0-85017427651,Chemical Engineering
716,2-s2.0-85017126360,Chemical Engineering
717,2-s2.0-85016795827,Chemical Engineering
718,2-s2.0-85016473894,Chemical Engineering
719,2-s2.0-85015852305,Chemical Engineering
720,2-s2.0-85015698932,Chemical Engineering
721,2-s2.0-85014863057,Chemical Engineering
722,2-s2.0-85014656143,Chemical Engineering
723,2-s2.0-85014616927,Chemical Engineering
724,2-s2.0-85014373255,Chemical Engineering
725,2-s2.0-85014145052,Chemical Engineering
726,2-s2.0-85011693174,Chemical Engineering
727,2-s2.0-85011660664,Chemical Engineering
728,2-s2.0-85011406176,Chemical Engineering
729,2-s2.0-85010850455,Chemical Engineering
730,2-s2.0-85010029581,Chemical Engineering
731,2-s2.0-85009851928,Chemical Engineering
732,2-s2.0-85007573014,Chemical Engineering
733,2-s2.0-85007321859,Chemical Engineering
734,2-s2.0-85007299040,Chemical Engineering
735,2-s2.0-85007143697,Chemical Engineering
736,2-s2.0-85007040250,Chemical Engineering
737,2-s2.0-85006507557,Chemical Engineering
738,2-s2.0-84992738311,Chemical Engineering
739,2-s2.0-85038434704,Chemistry
740,2-s2.0-85033555515,Chemistry
741,2-s2.0-85032271239,Chemistry
742,2-s2.0-85028376438,Chemistry
743,2-s2.0-85021181600,Chemistry
744,2-s2.0-85044846217,Chemistry
745,2-s2.0-85037035609,Chemistry
746,2-s2.0-85033681749,Chemistry
747,2-s2.0-85033572607,Chemistry
748,2-s2.0-85032472545,Chemistry
749,2-s2.0-85031791462,Chemistry
750,2-s2.0-85031103516,Chemistry
751,2-s2.0-85029008946,Chemistry
752,2-s2.0-85028746772,Chemistry
753,2-s2.0-85027152700,Chemistry
754,2-s2.0-85025595727,Chemistry
755,2-s2.0-85024501714,Chemistry
756,2-s2.0-85020273313,Chemistry
757,2-s2.0-85012901711,Chemistry
758,2-s2.0-84953775863,Chemistry
759,2-s2.0-85036467920,Chemistry
760,2-s2.0-85036544496,Chemistry
761,2-s2.0-85029581975,Chemistry
762,2-s2.0-85035032076,Chemistry
763,2-s2.0-85025460682,Chemistry
764,2-s2.0-85033791814,Chemistry
765,2-s2.0-85021831021,Chemistry
766,2-s2.0-85034084236,Chemistry
767,2-s2.0-85030756076,Chemistry
768,2-s2.0-85033553291,Chemistry
769,2-s2.0-85037350381,Chemistry
770,2-s2.0-85034066338,Chemistry
771,2-s2.0-85033781470,Chemistry
772,2-s2.0-85030719670,Chemistry
773,2-s2.0-85030154266,Chemistry
774,2-s2.0-85021165709,Chemistry
775,2-s2.0-85016748432,Chemistry
776,2-s2.0-85010189136,Chemistry
777,2-s2.0-85032635825,Chemistry
778,2-s2.0-85033371852,Chemistry
779,2-s2.0-85026237542,Chemistry
780,2-s2.0-85015830542,Chemistry
781,2-s2.0-85014078485,Chemistry
782,2-s2.0-85030708852,Chemistry
783,2-s2.0-85062482405,Chemistry
784,2-s2.0-85031294654,Chemistry
785,2-s2.0-85030722090,Chemistry
786,2-s2.0-85030689809,Chemistry
787,2-s2.0-85030679017,Chemistry
788,2-s2.0-85030670918,Chemistry
789,2-s2.0-85028545878,Chemistry
790,2-s2.0-85020300667,Chemistry
791,2-s2.0-85022178592,Chemistry
792,2-s2.0-85027871412,Chemistry
793,2-s2.0-85029674170,Chemistry
794,2-s2.0-85019599303,Chemistry
795,2-s2.0-85019577700,Chemistry
796,2-s2.0-85029381575,Chemistry
797,2-s2.0-85026288601,Chemistry
798,2-s2.0-85019133374,Chemistry
799,2-s2.0-85023769071,Chemistry
800,2-s2.0-85026795255,Chemistry
801,2-s2.0-85025155884,Chemistry
802,2-s2.0-85025096571,Chemistry
803,2-s2.0-85022055488,Chemistry
804,2-s2.0-85021452303,Chemistry
805,2-s2.0-85020038125,Chemistry
806,2-s2.0-84989221967,Chemistry
807,2-s2.0-85027347374,Chemistry
808,2-s2.0-85027051349,Chemistry
809,2-s2.0-85018441483,Chemistry
810,2-s2.0-85026865580,Chemistry
811,2-s2.0-85021197129,Chemistry
812,2-s2.0-85019391328,Chemistry
813,2-s2.0-85019260706,Chemistry
814,2-s2.0-85014036033,Chemistry
815,2-s2.0-85028931785,Chemistry
816,2-s2.0-85026672458,Chemistry
817,2-s2.0-85025686173,Chemistry
818,2-s2.0-85025448738,Chemistry
819,2-s2.0-85018624812,Chemistry
820,2-s2.0-85010737434,Chemistry
821,2-s2.0-85019878941,Chemistry
822,2-s2.0-85018318868,Chemistry
823,2-s2.0-85019200065,Chemistry
824,2-s2.0-85023773642,Chemistry
825,2-s2.0-85021419886,Chemistry
826,2-s2.0-85020079230,Chemistry
827,2-s2.0-85019662687,Chemistry
828,2-s2.0-85019121309,Chemistry
829,2-s2.0-85016508942,Chemistry
830,2-s2.0-85015840748,Chemistry
831,2-s2.0-85015633120,Chemistry
832,2-s2.0-85015079231,Chemistry
833,2-s2.0-85010739260,Chemistry
834,2-s2.0-84924787455,Chemistry
835,2-s2.0-85011968954,Chemistry
836,2-s2.0-85009945358,Chemistry
837,2-s2.0-85020446982,Chemistry
838,2-s2.0-85028259570,Chemistry
839,2-s2.0-85020640329,Chemistry
840,2-s2.0-85017132684,Chemistry
841,2-s2.0-85019738408,Chemistry
842,2-s2.0-85020692254,Chemistry
843,2-s2.0-85020026842,Chemistry
844,2-s2.0-85020552980,Chemistry
845,2-s2.0-85020652243,Chemistry
846,2-s2.0-85014995898,Chemistry
847,2-s2.0-85009827453,Chemistry
848,2-s2.0-85010952378,Chemistry
849,2-s2.0-85008319824,Chemistry
850,2-s2.0-85040634191,Chemistry
851,2-s2.0-85040631055,Chemistry
852,2-s2.0-85018306253,Chemistry
853,2-s2.0-85013287776,Chemistry
854,2-s2.0-85006817947,Chemistry
855,2-s2.0-84930716880,Chemistry
856,2-s2.0-85018565544,Chemistry
857,2-s2.0-85017663859,Chemistry
858,2-s2.0-85018572511,Chemistry
859,2-s2.0-85019699633,Chemistry
860,2-s2.0-85018517852,Chemistry
861,2-s2.0-85017249129,Chemistry
862,2-s2.0-85014343235,Chemistry
863,2-s2.0-85011874591,Chemistry
864,2-s2.0-85009181368,Chemistry
865,2-s2.0-85008703071,Chemistry
866,2-s2.0-84982987616,Chemistry
867,2-s2.0-84930747037,Chemistry
868,2-s2.0-85016402277,Chemistry
869,2-s2.0-85017133066,Chemistry
870,2-s2.0-85013411064,Chemistry
871,2-s2.0-85012297132,Chemistry
872,2-s2.0-85003422048,Chemistry
873,2-s2.0-85016791059,Chemistry
874,2-s2.0-85015659338,Chemistry
875,2-s2.0-85010874962,Chemistry
876,2-s2.0-85009820845,Chemistry
877,2-s2.0-85008512774,Chemistry
878,2-s2.0-85008451523,Chemistry
879,2-s2.0-85008173317,Chemistry
880,2-s2.0-85006482275,Chemistry
881,2-s2.0-85005963657,Chemistry
882,2-s2.0-85000502400,Chemistry
883,2-s2.0-84994417728,Chemistry
884,2-s2.0-84994311417,Chemistry
885,2-s2.0-84986274537,Chemistry
886,2-s2.0-84978160556,Chemistry
887,2-s2.0-84976878514,Chemistry
888,2-s2.0-85014074101,Chemistry
889,2-s2.0-85002549355,Chemistry
890,2-s2.0-85000359968,Chemistry
891,2-s2.0-85013892035,Chemistry
892,2-s2.0-85002179227,Chemistry
893,2-s2.0-84992646535,Chemistry
894,2-s2.0-84992435633,Chemistry
895,2-s2.0-84990036896,Chemistry
896,2-s2.0-85013480808,Chemistry
897,2-s2.0-85011883202,Chemistry
898,2-s2.0-85032386091,Chemistry
899,2-s2.0-85032358098,Chemistry
900,2-s2.0-85032340019,Chemistry
901,2-s2.0-85032336584,Chemistry
902,2-s2.0-85032334341,Chemistry
903,2-s2.0-85032333221,Chemistry
904,2-s2.0-85011623222,Chemistry
905,2-s2.0-85006381853,Chemistry
906,2-s2.0-84996619356,Chemistry
907,2-s2.0-84992395867,Chemistry
908,2-s2.0-84979790113,Chemistry
909,2-s2.0-85011620491,Chemistry
910,2-s2.0-85009999737,Chemistry
911,2-s2.0-85000450726,Chemistry
912,2-s2.0-84988728305,Chemistry
913,2-s2.0-84983740530,Chemistry
914,2-s2.0-85006341916,Chemistry
915,2-s2.0-85038633668,Chemistry
916,2-s2.0-85037058313,Chemistry
917,2-s2.0-85034636939,Chemistry
918,2-s2.0-85034217773,Chemistry
919,2-s2.0-85033238283,Chemistry
920,2-s2.0-85033229177,Chemistry
921,2-s2.0-85032972173,Chemistry
922,2-s2.0-85032723050,Chemistry
923,2-s2.0-85029800415,Chemistry
924,2-s2.0-85029755175,Chemistry
925,2-s2.0-85029609842,Chemistry
926,2-s2.0-85029579165,Chemistry
927,2-s2.0-85029188368,Chemistry
928,2-s2.0-85028745916,Chemistry
929,2-s2.0-85028700005,Chemistry
930,2-s2.0-85028639850,Chemistry
931,2-s2.0-85028300656,Chemistry
932,2-s2.0-85028244351,Chemistry
933,2-s2.0-85027948963,Chemistry
934,2-s2.0-85027562107,Chemistry
935,2-s2.0-85027408277,Chemistry
936,2-s2.0-85027227411,Chemistry
937,2-s2.0-85026354006,Chemistry
938,2-s2.0-85022344922,Chemistry
939,2-s2.0-85022343243,Chemistry
940,2-s2.0-85021989093,Chemistry
941,2-s2.0-85021978053,Chemistry
942,2-s2.0-85021652528,Chemistry
943,2-s2.0-85021053936,Chemistry
944,2-s2.0-85020644237,Chemistry
945,2-s2.0-85020435350,Chemistry
946,2-s2.0-85020252669,Chemistry
947,2-s2.0-85019729551,Chemistry
948,2-s2.0-85018981657,Chemistry
949,2-s2.0-85018502005,Chemistry
950,2-s2.0-85018475053,Chemistry
951,2-s2.0-85018424222,Chemistry
952,2-s2.0-85017427651,Chemistry
953,2-s2.0-85017126360,Chemistry
954,2-s2.0-85016473894,Chemistry
955,2-s2.0-85015852305,Chemistry
956,2-s2.0-85015816594,Chemistry
957,2-s2.0-85015776493,Chemistry
958,2-s2.0-85015698932,Chemistry
959,2-s2.0-85015441925,Chemistry
960,2-s2.0-85015077238,Chemistry
961,2-s2.0-85014566149,Chemistry
962,2-s2.0-85014373255,Chemistry
963,2-s2.0-85014310276,Chemistry
964,2-s2.0-85013392518,Chemistry
965,2-s2.0-85011693174,Chemistry
966,2-s2.0-85011660664,Chemistry
967,2-s2.0-85011406176,Chemistry
968,2-s2.0-85011286637,Chemistry
969,2-s2.0-85010748367,Chemistry
970,2-s2.0-85010727500,Chemistry
971,2-s2.0-85010635562,Chemistry
972,2-s2.0-85010376008,Chemistry
973,2-s2.0-85010029581,Chemistry
974,2-s2.0-85009508678,Chemistry
975,2-s2.0-85008951524,Chemistry
976,2-s2.0-85007040250,Chemistry
977,2-s2.0-85006507557,Chemistry
978,2-s2.0-84983567827,Chemistry
979,2-s2.0-85049840335,Computer Science
980,2-s2.0-85045532588,Computer Science
981,2-s2.0-85045521722,Computer Science
982,2-s2.0-85045514754,Computer Science
983,2-s2.0-85046543076,Computer Science
984,2-s2.0-85046426252,Computer Science
985,2-s2.0-85046402196,Computer Science
986,2-s2.0-85046362125,Computer Science
987,2-s2.0-85046338534,Computer Science
988,2-s2.0-85044241288,Computer Science
989,2-s2.0-85044203198,Computer Science
990,2-s2.0-85044481652,Computer Science
991,2-s2.0-85047226657,Computer Science
992,2-s2.0-85043322587,Computer Science
993,2-s2.0-85039078015,Computer Science
994,2-s2.0-85037035609,Computer Science
995,2-s2.0-85029569713,Computer Science
996,2-s2.0-85021632147,Computer Science
997,2-s2.0-85043461215,Computer Science
998,2-s2.0-85043496148,Computer Science
999,2-s2.0-85045295973,Computer Science
1000,2-s2.0-85043505931,Computer Science
1001,2-s2.0-85041378490,Computer Science
1002,2-s2.0-85040369426,Computer Science
1003,2-s2.0-85040557689,Computer Science
1004,2-s2.0-85044210331,Computer Science
1005,2-s2.0-85044196836,Computer Science
1006,2-s2.0-85044161578,Computer Science
1007,2-s2.0-85039923643,Computer Science
1008,2-s2.0-85039922598,Computer Science
1009,2-s2.0-85039921734,Computer Science
1010,2-s2.0-85039921239,Computer Science
1011,2-s2.0-85039919369,Computer Science
1012,2-s2.0-85039919103,Computer Science
1013,2-s2.0-85039912237,Computer Science
1014,2-s2.0-85039911313,Computer Science
1015,2-s2.0-85039911169,Computer Science
1016,2-s2.0-85039909065,Computer Science
1017,2-s2.0-85039909013,Computer Science
1018,2-s2.0-85039903773,Computer Science
1019,2-s2.0-85039902174,Computer Science
1020,2-s2.0-85039901429,Computer Science
1021,2-s2.0-85039900459,Computer Science
1022,2-s2.0-85039898461,Computer Science
1023,2-s2.0-85039897497,Computer Science
1024,2-s2.0-85039897234,Computer Science
1025,2-s2.0-85039697395,Computer Science
1026,2-s2.0-85026820399,Computer Science
1027,2-s2.0-85011876423,Computer Science
1028,2-s2.0-85039917746,Computer Science
1029,2-s2.0-85039916558,Computer Science
1030,2-s2.0-85039915996,Computer Science
1031,2-s2.0-85039909564,Computer Science
1032,2-s2.0-85041615672,Computer Science
1033,2-s2.0-85041411745,Computer Science
1034,2-s2.0-85041409622,Computer Science
1035,2-s2.0-85041400091,Computer Science
1036,2-s2.0-85041400044,Computer Science
1037,2-s2.0-85041392170,Computer Science
1038,2-s2.0-85041379262,Computer Science
1039,2-s2.0-85032222781,Computer Science
1040,2-s2.0-85032188432,Computer Science
1041,2-s2.0-85032175991,Computer Science
