,funding_agency_name,Country
1973,Sasol North America,United States
1974,Rutgers University,United States
1975,Chulalongkorn University Fund and Ratchadapiseksomphot Endowment Fund,Thailand
1976,Royal Thai Government 2014,Thailand
1977,Chulalongkorn University and Medical Research Council,Thailand and United Kingdom
1978,Sekiguchi of Tokyo Institute of Technology,Japan
1981,Mayo Foundation for Medical Education & Research and the Rochester Epidemiology Project,United States
1983,Swiss Confederation,Switzerland
1988,Thailand Research Funding,Thailand
1991,"Skin and Allergy Research Unit, Chulalongkorn University",Thailand
1992,"Betagro Public Co., Ltd.",Thailand
1993,HRH Princess Sirindhorn Herb Garden,Thailand
1994,Ratchadaphisek-somphot Endowment Fund 2014 of Chulalongkorn University,Thailand
1995,Queen Sirikit Botanic garden,Thailand
1996,"Department of Gastroenterology and Hepatology, Singapore General Hospital",Singapore
1997,Samsung Medical Centre,South Korea
1998,"Faculty of Medicine and Graduate School, Chulalongkorn University",Thailand
1999,University of Western Australia for Cross,Australia
2000,Prince Mahidol Award Foundation,Thailand
2001,JSPS Grant-in-Aid for Scientific Research,Japan
2003,Payap University,Thailand
2007,Ratchadapiseksompotch Funds,Thailand
2008,Department of Science and Technology-Philippine Council for Health Research and Development,Philippines
2009,Marine Science Institute in the University of the Philippines Diliman,Philippines
2011,St. Luke’s College of Medicine,Philippines
2015,Scientific Grant Agency VEGA,Slovakia
2017,Thai Government Fund,Thailand
2020,Freeman Hospital Microbiology Department,United Kingdom
2022,Center of Excellence in Clinical Virology of Chulalongkorn University,Thailand
2024,Ratchadaphiseksomphot Endowment Fund of hepatic fibrosis,Thailand
2025,"Center of Excellence for Pediatric Infectious Diseases and Vaccines, Faculty of Medicine, Chulalongkorn University",Thailand
2028,"Ratchadapiseksomphot Fund , Faculty of Medicine, Chulalongkorn University, Thailand",Thailand
2029,Helmholtz-Gemeinschaft Deutscher Forschungszen-tren,Germany
2034,"Jain University, Bangalore, India",India
2036,"Thailand Research Fund , Thailand",Thailand
2037,"Center of Excellence in Clinical Virol ogy, Chulalongkorn University",Thailand
2043,government of France,France
2045,Environmental Research and Technology Development Fund,Japan
2046,"Ministry of the Environment , Japan",Japan
2047,Boehringer-Ingelheim,Germany
2048,ViiV Health Care/GlaxoSmithKline,United Kingdom
2049,Asia Pacific International University,Thailand
2050,Royal Thai,Thailand
2051,"Chemical Approaches for Food Applications Research Group, Chulalongkorn University",Thailand
2053,Ratchadaphiseksomphot Endowment Fun,Thailand
2054,Thai Traditional Medical Knowledge Fund,Thailand
2059,Spanish National HIV Paediatric Network,Spain
2060,US NIAID,United States
2061,North Dakota Water Resources Research Institute,United States
2062,"Chulalongkorn University Office of International Affairs Scholarship for Short-term Research , Thailand",Thailand
2063,"Chulalongkorn University Office of International Affairs Scholarship for Short-term Research, Thailand",Thailand
2065,Novartis Biosciences S.A,Switzerland
2066,CECI,Canada
2067,CISM/UCL,Belgium
2068,Consortium des Equipements de Calcul Intensif en Fédération Wallonie Bruxelles,Belgium
2069,DTRA BTRP,United States
2071,University of Texas South-western Medical Center,United States
2073,GITAM,India
2074,Gandhi Institute of Technology,India
2075,Japanese Government,Japan
2076,MON-BUKAGAKUSHO,Japan
2077,MONBUKAGAKUSHO,Japan
2078,"National Medical Research Council, Singapore",Singapore
2079,University of Malaya Parkinson's Disease and Movement Disorders Research Program Fund,Malaysia
2080,"University of Toronto, ON, Canada)",Canada
2082,Phranakhon Rajabhat University Development Fund,Thailand
2083,90thAnniversary Chulalongkorn University Fund,Thailand
2084,Chulalongkorn University and Thai Traditional Medical Service Centre,Thailand
2085,Department for Thai Traditional and Alternative Medicine of the Ministry of Public Health,Thailand
2086,"Department of Thai Traditional and Alternative Medicine, Ministry of Public Health",Thailand
2087,Ratchada-phiseksomphot Endowment Fund,Thailand
2088,SukhothaiThammatirat Open University,Thailand
2090,Office of Research Services,United States
2091,Queen Saovabha Memorial Institute,Thailand
2092,Center for Intercultural and Indigenous Research,Chile
2093,Centre for Social Conflict and Cohesion Studies,Chile
2095,NU-PPC Plasma Chemical Technology Laboratory at Chulalongkorn University,Thailand
2096,Surapon Foods Public Co. Ltd.,Thailand
2097,"Surapon Foods Public Co., Ltd.",Thailand
2098,Jongkolneenithi Foundation,Thailand
2099,Commission on Higher Education and Thailand Research Fund,Thailand
2100,"Commission on Higher Education, Thailand Research Fund",Thailand
2101,California Academy of Science,United States
2102,Chulalongkorn University Museum of Natural History,Thailand
2103,DU-DST,India
2104,Ministry of Environment and Forestry,Indonesia
2105,State Forest Departments in India,India
2106,University Grant Commission,India
2107,University of Delhi Research and Development,India
2108,Thailand Research Science and Innovation,Thailand
2109,Atlanta Botanical Garden,United States
2110,Project of Platform Construction for Plant Resources of Sichuan Province,China
2112,Chulalongkorn University Ratchadaphiseksomphot Endowment Fund for,Thailand
2114,"American Society of Clinical Oncology, Society for Immunotherapy of Cancer",United States
2115,Fate Therapeutics,United States
2116,National Institutes of Health National Cancer Institute,United States
2117,"Shaanxi Innovation Capability Support Plan, China",China
2118,"Shaanxi Key Research and Development Plan, China",China
2119,North Dakota Water Research Institute,United States
2121,Energy Regulatory Commission,Philippines
2124,K aohsiung Medical University Research Center,Taiwan
2125,Kaohsiung Medical University Research Center,Taiwan
2127,Knight Cancer Institute,United States
2128,Oregon Health & Science University Medical Research Foundation,United States
2129,Stupski Foundation,United States
2130,University of Washington Institute of Translational Health Sciences,United States
2131,Kanchanapisek Research Fund,Thailand
2132,"International Network for Lupus Research, Thailand",Thailand
2133,"TRF, Thailand",Thailand
2134,90thAnniversary Chulalongkorn University,Thailand
2136,ICOS-Sweden,Sweden
2137,Knute and Alice Wallenberg Foundation,Sweden
2138,Swedish Infrastructure for Ecosystem Science,Sweden
2139,Swedish Integrated Carbon Observation System,Sweden
2140,"National Metal and Materials Technology Center, Thailand",Thailand
2146,"Chulalongkorn University , Thailand",Thailand
2147,Bumrungrad Hospital,Thailand
2148,CVON,Netherlands
2149,Canadian Heart Rhythm Society,Canada
2150,Chulalongkorn Small Animal Teaching Hospital,Thailand
2153,Mahanakorn Animal Teaching Hospital,Thailand
2155,CEA-DSM,France
2156,Munich Institute for Astro,Germany
2157,"UM, Malaysia",Malaysia
2158,CDC Thailand Office,Thailand
2159,Department of Medical Sciences,Thailand
2160,"Department of Medical Technology, Chiang Mai University",Thailand
2162,"Hatyai Hospital, Songkla province",Thailand
2164,Thailand Science Research and Innovation Fund,Thailand
2165,Bureau of Waterworks Tokyo Metropolitan Government,Japan
2166,Chulalongkorn University-ASEAN,Thailand
2167,Kasikorn Business Technology Group,Thailand
2168,Key Research Platforms and Research Projects of Universities in Guangdong Province,China
2169,Shenzhen Development & Reform Commission Foundation for Novel Nano-Material Sciences,China
2170,Thailand Science Research and Innovation,Thailand
2171,Shanghai International Collaboration Research Project,China
2172,Shanghai Key Basic Research Project,China
2173,College of Agriculture and Life Science,United States
2176,"American Institute for Indonesian Studies, Wenner Gren Foundation",United States
2178,Forest Department of Himachal Pradesh,India
2179,Forestry Department of Peninsular Malaysia,Malaysia
2181,Indonesian Ministry of Research and Technology,Indonesia
2182,Malaysian Primatological Society,Malaysia
2183,National Parks of Peninsular Malaysia,Malaysia
2184,PERHILITAN,Malaysia
2185,RISTEK,Indonesia
2187,Mubadala Petroleum (Thailand) Limited,Thailand
2188,Royal Initiative of Her Royal Highness Princess Maha Chakri Sirindhorn and the Naval Special Warfare Command,Thailand
2189,Royal Thai Navy for,Thailand
2190,Tianjin Municipal Science and Technology Foundation,China
2192,Joint Graduate School of Energy and Environment and Pisanu Toochinda,Thailand
2194,Sub-Department of Animal Health of Dong Thap Province,Vietnam
2196,British Council-Newton Fund,United Kingdom
2200,"Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University",Thailand
2202,"Siam Refractory Industry Co., Ltd.",Thailand
2204,Research and Development Institute Pibulsongkram Rajabhat University,Thailand
2205,Royal Initiation of Her Royal Highness Princess Maha Chakri Sirindhorn,Thailand
2206,CU Ratchadaphiseksomphot Endowment Fund,Thailand
2209,Bayer Pharma,Germany
2210,Blood Cancer UK,United Kingdom
2211,Bristol-Myers-Squibb,United States
2212,Böehringer-Ingelheim,Germany
2214,GRAIL,United States
2215,Gabrielle’s Angels Foundation,The United States
2216,Janssen Pharmaceutical,Belgium
2217,MIUR-PRIN,Italy
2218,NeoGenomics,United States
2219,Nippon Shinyaku,Japan
2220,Novartis Pharmaceutical,Switzerland
2221,Onconova,United States
2222,Sanofi K.K. and Celltrion,Japan and South Korea
2223,Sanofi KK,Japan
2224,SymBio Pharmaceutical,Japan
2226,University of Toronto Department of Psychiatry,Canada
2227,"Thailand Research Fund, Bangkok, Thailand",Thailand
2228,"Center of Excellence for Innovation and Endoscopy in Gastrointestinal Oncology, Faculty of Medicine, Chu-lalongkorn University",Thailand
2229,Faculty of Engineering and Center of Laboratory Equipment of Mahasarakham University,Thailand
2230,NIHR Clinical Research Network Portfolio,United Kingdom
2231,National Institute for Health Research University College London Hospitals Biomedical Research Centre,United Kingdom
2232,IMCAS,France
2233,"Institute of Microbiology, Chinese Academy of Science",China
2235,Ban Sop Li School in Lampang Province,Thailand
2236,Forest Industry Organization of Thailand,Thailand
2237,SCG Chemicals Co. Ltd.,Thailand
2238,Canadian Foundation for Innovation,Canada
2241,Bansomdejchaopraya Rajabhat University,Thailand
2243,Thailand Government,Thailand
2246,Vietnam Ministry of Education and Training,Vietnam
2247,Foundation of Korea Logistics Industry Promotion,South Korea
2248,Ban Ton Rieng Sub-District Hospital,Thailand
2249,"Department of Electrical Engineering, Faculty of Engineering, Universitas Sumatera Utara",Indonesia
2250,CEEPUS network,Austria
2251,Crown Property Bureau of Thailand,Thailand
2252,"Department of Chemical Engineering, Faculty of Engineering, Chulalongkorn University",Thailand
2253,Office of the National Metal and Materials Technology Center,Thailand
2254,Naturhistorisches Museum Basel,Switzerland
2255,Swedish Taxonomy Initiative,Sweden
2259,CIOMS,Switzerland
2260,Council for International Organizations of Medical Sciences,Switzerland
2261,University of Kufa,Iraq
2271,"Ministry of Higher Education, Science, Research and Innovation and Mekong Health Science Research Institute Khon Kaen University",Thailand
2272,The Science achievement scholarship of Thailand,Thailand
2273,Qingjiang Excellent Young Talents of JXUST,China
2275,NIH/ORIP,United States
2278,"Ministry of Higher Education, Science, Research, and Innovation, Thailand",Thailand
2279,ThaiSC,Thailand
2280,Thailand Development and Promotion of Science and Technology Talents,Thailand
2281,"Institute of Molecular Biosciences, Mahidol University",Thailand
2282,Cross-Ministerial Strategic Innovation Promotion Program,Japan
2283,Pfizer (Thailand) Ltd,Thailand
2284,Pfizer (Thailand) Ltd.,Thailand
2286,Shanghai Electric Group Co. Ltd.,China
2287,"Shanghai Electric Group Co. Ltd., Shanghai, China",China
2289,Veterinary Pathogen Bank,United Kingdom
2292,"Sirindhorn College of Public Health, Trang and Praboromarajchanok Institute",Thailand
2293,Chulalongkorn Academic Ad-vancement Fund,Thailand
2294,Thailand Science Research and In-novation,Thailand
2299,SCG Chemical Co. Ltd.,Thailand
2300,"SCG Chemical Co., Ltd.",Thailand
2301,Digital Economy Promotion Agency,Thailand
2304,Center for Protein Research,Denmark
2305,Aditya Birla Chemicals (Thailand) Ltd.,Thailand
2306,"Thailand) Co., Ltd.",Thailand
2311,Open Research Fund Program of Shaanxi Key Laboratory of Non-Traditional Machining,China
2312,Shaanxi Key Research and development Plan,China
2313,Beijing Outstanding Young Scientist Program,China
2314,Thai Super Computer Center,Thailand
2315,KU Research and Development Institute,South Korea
2316,Amano Enzyme Inc,Japan
2317,MDPI,Switzerland
2318,"Ratchadapisek sompotch endowment fund, Faculty of Medicine, Chulalongkorn University",Thailand
2319,Military Health Outcomes Program,United States
2320,US National Science Foundation,The United States
2322,S?o Paulo Research Foundation,Brazil
2323,National Research Council for Thammasat University,Thailand
2324,Nakhonratchasima Meteorological Station,Thailand
2325,Environment Research and Technology Development Fund,Japan
2326,Daiichi Sankyo Pharma,Japan
2327,"Emalex Biosciences, Inc",United States
2328,Intec Pharma Ltd,Israel
2334,"Kura Oncology, Incyte",United States
2338,"IXOM Watercare, Inc.",United States
2339,Korean government,South Korea
2341,Cooperative Research Programs of the Wildlife Research Center,United States
2342,Japan Science and Technology Agency Core Research for Evolutional Science and Technology,Japan
2343,National Geographic Foundation for Science and Exploration,United States
2345,Faculty of Medicine Vajira Hospital Facilitating Research Fund,Thailand
2346,"dental research fund of Faculty of Dentistry, Chulalongkorn University",Thailand
2348,Bangkok Biomaterial Center,Thailand
2349,"Bangkok Biomaterial Center, Siriraj hospital",Thailand
2351,"Department of Anatomy, Faculty of Medicine, Chulalongkorn University",Thailand
2353,"Mubadala Petroleum (Thailand) Limited, and Conservation Diver",Thailand
2355,UN-ESCO Japanese Funds-in-Trust,Japan
2356,UNESCO Japanese Funds-in-Trust,Japan
2359,Ramathibodi Hospital Cancer Center,Thailand
2361,Ministry of Natural Resources and Environmental Conservation Forest Department,Myanmar
2362,ChulaMRC,Thailand
2364,Thailand's Education Hub,Thailand
2365,Thailand's Education Hub for ASEAN Countries,Thailand
2368,Petrus and Augusta Hedlund Foundation,Sweden
2369,Ratchadaphiseksomphot Endowment Fund 2017,Thailand
2370,Michigan State University High Performance Computing Center,United States
2372,Ratchadapisak Sompot Fund,Thailand
2373,Huawei technology,China
2375,"Fogarty International Center, as part of the International Epidemiology Databases to Evaluate AIDS",United States
2376,Dental Innovation Foundation,United States
2377,Maharat Nakhon Ratchasima Hospital,Thailand
2378,"Center of Excellence for Marine Biotechnology, Chulalongkorn University",Thailand
2380,"Department of Research, Faculty of Medicine Siriraj Hospital, Mahidol University",Thailand
2381,Alzheimer’s Association,United States
2382,Brain and Behaviour Foundation,Australia
2383,CNPQ-1B,Brazil
2384,Canadian Institute of Health Research,Canada
2385,Medical Research Futures Fund,Australia
2386,Pakistan Institute of Living and Learning,Pakistan
2387,University of São Paulo Medical School,Brazil
2388,of?Universiti Sains Malaysia,Malaysia
2390,Nephrology Society of Thailand,Thailand
2391,Pathumthani Thailand,Thailand
2392,Thailand Research Fund to National Metal and Materials Technology Center,Thailand
2393,Ministry of Public Health and Ratchadapiseksompotch Fund,Thailand
2394,Charoen Pokphand Foods PCL,Thailand
2395,Chulalongkorn Research Laboratory,Thailand
2397,Chaminade University,United States
2399,Centre interdisciplinaire de nanoscience de Marseille,France
2403,JST SICORP,Japan
2404,Forestry Department of Indonesia,Indonesia
2405,MIPA-UB,Indonesia
2406,Ministry of Research and Technology of the Republic of Indonesia,Indonesia
2408,Britannia Pharmaceuticals Limited,United Kingdom
2410,Stada Thailand Pharmaceuticals Limited,Thailand
2411,Thailand Science,Thailand
2412,Chaiyaphum Hospital,Thailand
2413,Chaophaya Abhaiphubejhr Hospital,Thailand
2414,Mukdahan Hospital,Thailand
2415,Nakhon Pathom Hospital,Thailand
2416,Rachadaphiseksompot Endorsement Fund,Thailand
2417,Sunpasitthiprasong Hospital,Thailand
2419,Sathyabama Institute of Science and Technology,India
2420,Plastic Institute of Thailand,Thailand
2423,Ratchadapisek Sompoch Endowment Fund Chulalongkorn University,Thailand
2427,Ratchadapisek Sompoch Endowment Fund RA,Thailand
2429,FAO-ROK National Project Coordinator,South Korea
2430,Chulalongkornik University,Thailand
2432,University of Malaya-University of Liverpool,Malaysia
2433,Ratchadapisek Sompoch Endow,Thailand
2434,Chilean Centro de Excelencia en Astrofísica y Tecnologías Afines,Chile
2435,ERC-StG,European Union
2438,Institute of Bioinformatics and System Biology,India
2439,Austrian Foundation for Advancement of Science,Austria
2440,Phuket Provincial Health Office,Thailand
2442,NIMHANS,India
2443,100th Anniversary Chulalongkorn University for Doctoral Scholarship,Thailand
2447,Centro de Excelencia Severo Ochoa Program,Spain
2448,MINECO-FEDER,Spain
2452,Princess Alexandra Hospital,Australia
2453,University of Queensland Faculty of Medicine and Translational Research Institute,Australia
2454,GIST Research Institute,South Korea
2455,Nakhon Ratchasima province,Thailand
2458,Chulalongkorn Academic Advancement into Its 2nd Century Project and Thailand Research Fund,Thailand
2460,"Mahidol University, Thailand Research Fund",Thailand
2462,International Research Network-The Thailand Research Fund,Thailand
2463,International Research Network‐The Thailand Research Fund,Thailand
2465,Sirnindhorn International Institute of Technology,Thailand
2466,"Thammasat University, Thailand and Asian Institute of Technology",Thailand
2468,Beuth University of Applied Sciences and Brawijaya University,Germany and Indonesia
2472,MIMS Philippines,Philippines
2473,Collaborative Research Centre 956,Germany
2474,90th Year Chulalongkorn University,Thailand
2475,"Department of Microbiology, Chulalongkorn University",Thailand
2476,PTT Polymer Marketing Co. Ltd.,Thailand
2477,Department of Entomology and Plant Pathology,United States
2478,"Faculty of Agriculture, Chiang Mai University",Thailand
2480,Chulalongkorn University Laboratory Animal Center,Thailand
2481,Ratchadapisek-sompotch Fund,Thailand
2482,"Children's Hospital, Singapore",Singapore
2483,Juntendo University Urayasu Hospital,Japan
2486,Showa University Hospital,Japan
2488,Tomoyuki Ichida at Shonan Kamakura General Hospital,Japan
2491,Yan Zhang and Yan Xu at Nanjing Drum Tower Hospital,China
2492,Yasuyuki Fujita at Kyushu University Hospital,Japan
2494,BBraun,Germany
2495,ATCC Manassas Virginia,United States
2497,"Special Program in Tropical Diseases , Medicines for Malaria Venture",Switzerland
2498,"UNICEF/World Bank/World Health Organization/Special Program in Tropical Diseases, Medicines for Malaria Venture",United States
2500,University of the Thai Chamber of Commerce,Thailand
2502,Graduate School of Thaksin University,Thailand
2503,Thaksin University Research Fund,Thailand
2504,Xi'an Technological University,China
2505,Inland Fisheries Research and Development Institute,Cambodia
2506,"Department of Botany, Faculty of Science, Chulalongkorn University",Thailand
2508,"National Research Institute of Aquaculture, Fisheries Research Agency",Japan
2509,CHE-TRF,Switzerland
2515,Ban Pao Pattana Health Promoting Hospital,Thailand
2516,National key technologies Research & Development program,China
2517,Merck Animal Health Co. Ltd,United States
2518,Feed the Future Bangladesh Aquaculture and Nutrition Activity,Bangladesh
2519,Cole Eye Institute,United States
2520,Institute for Families,United States
2521,National Eye Institute’s National Advisory Eye Council,United States
2522,Scheie Eye Institute,United States
2523,Wright Foundation,United States
2526,British Association of Critical Care Nurses,United Kingdom
2528,Italian Society of Nephrology,Italy
2530,Cobram Estate Pty. Ltd,Australia
2531,European Commission Horizon 2020,Belgium
2532,First Bank of Toyama Scholarship Foundation,Japan
2533,Inflammation Research Foundation,United States
2534,Lundbeck Merck,Denmark
2536,Meat and Livestock Board,Australia
2539,Niigata Medical Association,Japan
2540,Nutrition Research Australia,Australia
2541,Ortho-McNeil Janssen,United States
2542,Otsuka Pharmaceutical Factory,Japan
2543,"Royal DSM Nutritional Products, LLC",Netherlands
2544,SanofiAventis,France
2545,Simons Autism Foundation,United States
2546,Toyama Occupational Health Promotion Center,Japan
2547,100th Chulalongkorn University,Thailand
2548,CPM-NSTDA,Thailand
2550,Charoen Pokphand Foods Public Co. Ltd.,Thailand
2551,Chulalongkorn University on the Frontier Research Energy Cluster,Thailand
2552,Ratchadaphiseksomphote Endowment Fund,Thailand
2553,Berlin Pharmaceutical Co.Ltd,Germany
2555,Chulalongkorn University Ratchadapisek Sompotch Fund,Thailand
2557,"National Research University, Kasetsart University",Thailand
2558,Ratchdapisek Sompoch Endowment Fund,Thailand
2559,"Shaanxi Natural Science Basic Research, China Project",China
2560,Dunaway Family Fund,United States
2563,King Bhumibol Adulyadej,Thailand
2564,Thailand and Thailand Research Fund,Thailand
2566,"Commission on Higher Education, Thailand",Thailand
2567,National Center of Excellence for Environmental and Hazardous Waste Management,United States
2568,"Pollution Control Department, Thailand, and Bangkok Metropolitan Administration",Thailand
2569,Department of Laboratory Medicine at the University of Washington,United States
2570,GSK Biologicals SA,Belgium
2571,GSK Biologicals and Sanoﬁ Pasteur,Belgium
2572,Novartis Vaccines,Switzerland
2575,Division of Research Administration,United States
2576,Naresuan University of Thailand,Thailand
2577,"National Research Council of Thailand and Health Systems Research Institute, Thailand",Thailand
2580,Guiyang University,China
2581,Graduate School Khon Kaen University,Thailand
2585,Department of Land Development of Thailand,Thailand
2586,Australian Embassy Bangkok,Thailand
2588,Chulalongkorn University Special Task Force for Activation Research,Thailand
2591,"Faculty of Environmental Management, Prince of Songkla University",Thailand
2593,PSU Scientific Equipment Center,Philippines
2594,Government of Thailand,Thailand
2595,CINECA,Italy
2596,Dracula Technologies,France
2597,French Fond Unique Interministériel,France
2599,PROVING-IL,Israel
2600,"Graduate School of Energy Systems, Prince of Songkla University",Thailand
2602,Anandamahidol Foundation,Thailand
2603,Ministry of Health in Thailand,Thailand
2606,Royal Society of Chemistry Research Fund,United Kingdom
2607,Defense Science and Technology Department,Australia
2609,Medical University-Plovdiv,Bulgaria
2610,"Medical Genomics Cluster, Chulalongkorn Academic Advancement",Thailand
2611,Faculty of Science and Ratchadaphiseksomphot Endowment Fund of Chulalongkorn University,Thailand
2612,NSF EAR-1763287,The United States
2613,Research Grant for New Scholar Ratchadaphiseksomphot Endowment Fund Chulalongkorn University,Thailand
2614,"Faculty of Environment and Resource Studies, Mahidol University",Thailand
2615,Chulalongkorn University?s Ratchadaphiseksomphot Endowment Fund,Thailand
2616,Chulalongkorn Medical Oncology Research Fund,Thailand
2617,Chulalongkorn University supporting fund for thesis,Thailand
2619,The Kidney Foundation of Thailand,Thailand
2620,Thailand National Research Fund and Center of Excellence in Applied Thai Traditional Research,Thailand
2621,Buengkan District Health Office,Thailand
2622,Buengkan Hospital,Thailand
2625,Biodiversity-Based Economy Development Office,Philippines
2626,"European Union, and Abbott",European Union: Belgium  \nAbbott: United States
2627,GSK Biologicals,Belgium
2628,National Vaccine Institute Thailand,Thailand
2629,Thrasher Fund,United States
2631,UGC BSR,India
2634,"National University of Laos, University of Brawijaya","Laos, Indonesia"
2635,"Faculty of Economics, Chulalongkorn University",Thailand
2637,"Thailand Center of Excellence, Thailand",Thailand
2639,"Ministry of Higher Education, Science Research and Innovation",Thailand
2641,"Western Human Nutrition Research Center, Agricultural Research Service",United States
2643,Xinjiang Uygur Autonomous Region Key Laboratory,China
2644,"Faculty of Engineering, Prince of Songkla University",Thailand
2646,SCG Chemical Co. Ltd,Thailand
2647,"Faculty of Science, Kasetsart University",Thailand
2648,"National Center for Genetic Engineering and Biotechnology, Department of Zoology, Faculty of Science, Kasetsart University",Thailand
2650,"Omics Center for Agriculture, Bioresources, Food, and Health, Kasetsart University",Thailand
2651,Ratchadapisek Research Funds,Thailand
2652,Iceland GeoSurvey,Iceland
2653,Icelandic Center of Research,Iceland
2655,Secondary Century Fund,United States
2656,Anandamahidol foundation,Thailand
2657,"University of Malaya, Malaysia",Malaysia
2659,Flemish Scientific Research Board,Belgium
2660,Interuniversity Attraction Poles program,Belgium
2662,JASRI,Japan
2663,Japan Petroleum Institute,Japan
2664,Associazione Italiana contro le Leucemie-linfomi e mieloma Milano e Provincia Organizzazione Non Lucrativa di Utilità Sociale,Italy
2665,Copenhagen University,Denmark
2670,SIIT,Thailand
2671,Ratchadapisek Somphot Endowment Fund,Thailand
2673,90th Year Chulalongkorn Fund,Thailand
2674,SASIN School of Management,Thailand
2676,Ratchadapiseksomphot Endowment Funds,Thailand
2677,Ratchadaphisek Sompoch Endowment Fund,Thailand
2678,Seneca Foundation-Regional Agency for Science and Technology,Italy
2679,"Spanish Ministry of Economy, Industry, and Competitiveness",Spain
2680,"Department of Chemistry, Faculty of Science, Srinakharinwirot University",Thailand
2682,AIL Milano e Provincia ONLUS,Italy
2685,"Center of Excellence on Petrochemical and Materials Technology, Thailand",Thailand
2687,"RE Power Service Co., Ltd.",Thailand
2689,"Center of Excellence on Petrochemical and Materials Technology, Bangkok",Thailand
2690,"SCG Chemicals, Co. Ltd.",Thailand
2691,Siam Photon Laboratory,Thailand
2692,Thailand International Cooperation Agency,Thailand
2693,"Faculty of Pharmaceutical Sciences, University of Iceland",Iceland
2696,Guangdong Province Universities and Colleges Pearl River Scholar,China
2697,Schwartz Foundation,United States
2698,Sydney University,Australia
2699,"King Mongkut’s Institute of Technology Ladkrabang, Thailand",Thailand
2700,Udonthani Rajabhat University,Thailand
2701,Space Medical Experiment Project of China Manned Space Program,China
2702,"Institute of Tropical Medicine, Nagasaki University",Japan
2703,Japanese Society of Promotion Sciences,Japan
2706,Chulalongkorn University Dusadi Phipat scholarship and Ratchadaphiseksomphot Endowment Fund,Thailand
2707,Ratchadaphisek somphot Endowment Fund,Thailand
2708,Anniversary Chulalongkorn University Fund for Doctoral Scholarship,Thailand
2712,Research Network Nanotec,Germany
2713,Research Foundation – Flanders,Belgium
2714,Key Program of Science and Technology of Zhejiang Province,China
2717,"Ministry of Agriculture, Livestock and Irrigation",Myanmar
2720,Ministry of Science and Technology of China,China
2721,NRF-2014M3A6A7060583,South Korea
2722,Natural Gas and Biofuels Agency,Brazil
2724,WEFO,United Kingdom
2727,Chulabhorn International College of Medicine,Thailand
2728,NSTDA-University-Industry,Thailand
2729,NSTDA-University-Industry Research Collaboration,Thailand
2730,GlaxoSmithKline Biologicals,Belgium
2731,Brazilian National Institute of Science and Technology on Neuroimmunomodulation,Brazil
2732,FOCEM,Argentina
2734,Research Excellence Program—Aggeu Magalhães Institute,Brazil
2735,National Comprehensive Cancer Center,Japan
2736,"Department of Mathematics and Computer Science, Faculty of Science, Chulalongkorn University",Thailand
2740,"Dental Association of Thailand and Medical genomics cluster, Chulalongkorn University",Thailand
2741,"International School of Engineering, Chulalongkorn University",Thailand
2742,"Walking and Moving Center, Faculty of Medicine,ChulalongkornUniversity",Thailand
2744,"Special Research Fund for the Faculty of Dentistry, Chulalongkorn University",Thailand
2751,European Union Marie-Curie,Belgium
2752,Gates Cambridge Scholarship,United Kingdom
2753,European Union's research and innovation programme Horizon 2020,Belgium
2754,European Union’s research and innovation programme Horizon 2020,Belgium
2756,Lilly Diabetes Alliance,United States
2757,Stichting Klavertje2,Netherlands
2758,Stichting Ushersyndroom,The Netherlands
2759,Stichting Wetenschappelijk Onderzoek Doof-Blindheid,Netherlands
2764,Environmental Analysis Center of GIST,South Korea
2765,Thailand Research Fundviathe International Research Network,Thailand
2766,Thailand Research Fundviathe Research,Thailand
2767,Rachadapisek Sompod Endowment Foundation,Thailand
2768,"Faculty of Science , Chulalongkorn University",Thailand
2769,"Division of Gastroenterology, Faculty of Medicine, Chulalongkorn UniversityWe",Thailand
2771,LSU-SVM,United States
2772,International Research Network-the Thailand Research Fund,Thailand
2773,International Research Network‐the Thailand Research Fund,Thailand
2774,AM-Pharma,Netherlands
2776,Baxter SpA,Italy
2777,BioMerieux,France
2778,CytoSorbents,United States
2779,Cytosorbents,United States
2780,Medibeacon Inc.,United States
2785,Chulabhorn Hospital,Thailand
2787,"Department of Microbiology, Faculty of Science, Chulalongkorn University",Thailand
2792,ICAR-Extramural,India
2794,NationalNanotechnology Center,Thailand
2795,Chulalongkorn Univesity,Thailand
2797,NRPU-HEC 6470,Pakistan
2798,Thailand Excellence Center for Tissue Engineering and Stem Cells,Thailand
2799,"Department of Chemical and Process Engineering, University of Canterbury",New Zealand
2800,Akebia Therapeutics,United States
2801,BioPorto,Denmark
2803,LaJolla Pharma,United States
2804,National University Hospital Singapore,Singapore
2805,NxStage,United States
2806,Otsuka,Japan
2807,Quark Pharmaceuticals,United States
2808,RenalSense,Canada
2809,Vifor Fresenius Medical Care Renal Pharma,Switzerland
2810,"Ministry of Higher Education, Science, research and innovation",Thailand
2817,NIGPAS,China
2820,CSIRO Mineral Resources,Australia
2822,CNRS-TRF,France
2825,Natural History Museum Basel,Switzerland
2831,Zoologische Staatssammlung München,Germany
2832,Foundation NIH,United States
2833,"eResearch T echnologies, Inc",United States
2834,China's 1000 Young Talents Program,China
2835,China’s 1000 Young Talents Program,China
2836,Shanghai International Cooperation and Exchange Project,China
2840,Ratchadapiseksompote Fund,Thailand
