source,target,weight
Chile,Ecuador,74
Singapore,United Arab Emirates,74
Togo,United States,74
Spain,Yemen,74
Colombia,Peru,74
Brazil,Uganda,73
Cameroon,United Kingdom,73
Malawi,United Kingdom,73
Morocco,Slovakia,73
Bangladesh,South Africa,73
Bahrain,United Kingdom,73
Brazil,Mozambique,73
Switzerland,Tunisia,73
Ecuador,South Africa,73
Mexico,Peru,72
Azerbaijan,Germany,72
Netherlands,Uganda,72
Austria,Philippines,72
Germany,Kazakhstan,72
Cambodia,Indonesia,72
United States,Zimbabwe,71
North Macedonia,Poland,71
Brazil,Lebanon,71
Hungary,Nigeria,71
Netherlands,North Macedonia,71
China,Jordan,71
Iraq,Nigeria,71
Romania,Singapore,71
Jordan,Thailand,71
Finland,Slovenia,70
Greece,Philippines,70
Denmark,Nigeria,70
France,North Macedonia,70
Argentina,Nigeria,70
Ecuador,Sweden,70
Ghana,Thailand,69
Czech Republic,Indonesia,69
Canada,Ghana,69
Belgium,United Arab Emirates,69
Brazil,Viet Nam,69
Brazil,Macau,69
Italy,North Macedonia,69
Cyprus,Sweden,69
Oman,United Kingdom,69
Ireland,Slovenia,68
Germany,Lebanon,68
Benin,United Kingdom,68
New Zealand,Nigeria,68
Canada,Democratic Republic Congo,68
India,Senegal,68
Peru,Singapore,68
Democratic Republic Congo,India,68
Peru,Slovakia,68
France,Uganda,67
Israel,Ukraine,67
Cameroon,India,67
Argentina,Bulgaria,67
Hong Kong,United Arab Emirates,67
Australia,Democratic Republic Congo,67
Spain,State of Libya,67
Panama,United States,67
Ghana,Switzerland,66
Hong Kong,Morocco,66
Hungary,Slovenia,66
Kenya,Poland,66
Denmark,United Arab Emirates,66
Australia,Sudan,66
Ghana,Spain,66
Malaysia,Morocco,66
Egypt,Indonesia,66
Colombia,Slovenia,66
Israel,United Arab Emirates,66
India,Kazakhstan,66
Bulgaria,Denmark,66
State of Libya,United States,66
Nepal,Spain,66
India,Zambia,65
Kenya,South Africa,65
Hong Kong,Viet Nam,65
Italy,Viet Nam,65
Cyprus,Norway,65
Ireland,Nigeria,65
Philippines,Sweden,65
Switzerland,Uruguay,65
Kyrgyzstan,United States,65
Georgia,South Africa,65
Paraguay,United Kingdom,65
Spain,Viet Nam,65
Australia,Ghana,64
Palestine,Russian Federation,64
Austria,Bangladesh,64
Colombia,Hong Kong,64
Bangladesh,Hong Kong,64
Indonesia,New Zealand,64
China,North Macedonia,64
Iceland,South Korea,64
India,North Macedonia,64
Algeria,Canada,64
Luxembourg,Taiwan,63
Dominican Republic,India,63
Belarus,Romania,63
Bangladesh,Mexico,63
Malaysia,Slovenia,63
Denmark,Philippines,63
Lebanon,Poland,63
Indonesia,Peru,63
Canada,Kazakhstan,63
Armenia,Canada,63
Belgium,Philippines,63
Israel,Philippines,63
Mauritania,United States,63
Costa Rica,Spain,63
Romania,Slovenia,63
Argentina,Morocco,63
Saudi Arabia,Singapore,63
Bolivia,United Kingdom,63
Argentina,Saudi Arabia,62
Indonesia,Iraq,62
Malaysia,Nepal,62
Australia,Cameroon,62
Kenya,Norway,62
Philippines,Serbia,62
Saudi Arabia,South Africa,62
Chile,Saudi Arabia,62
Cameroon,Canada,62
Canada,Lebanon,62
Nigeria,Philippines,62
United Kingdom,Zambia,62
Bulgaria,Singapore,62
Uganda,Uganda,62
Kazakhstan,Thailand,62
Switzerland,Viet Nam,62
Philippines,Romania,62
Austria,Macau,61
Cote d'Ivoire,United States,61
Bangladesh,Czech Republic,61
Spain,Sudan,61
Egypt,Nigeria,61
Chile,Kenya,61
Austria,Palestine,61
Australia,Nepal,60
Palestine,Portugal,60
Costa Rica,Turkey,60
Japan,Kazakhstan,60
Israel,Peru,60
Iraq,South Africa,60
Japan,Nepal,60
Brazil,Ghana,60
Slovenia,South Africa,60
Estonia,Estonia,60
Iran,Peru,59
Argentina,Ukraine,59
Indonesia,Israel,59
Argentina,United Arab Emirates,59
Malta,South Korea,59
Norway,Peru,59
Philippines,Slovenia,59
Tunisia,Turkey,59
Finland,Morocco,59
Azerbaijan,Japan,58
Bulgaria,Nigeria,58
Netherlands,Palestine,58
Macau,Netherlands,58
Slovenia,Slovenia,58
Azerbaijan,Canada,58
Costa Rica,India,58
Argentina,Ecuador,58
India,Rwanda,57
Egypt,Slovakia,57
Canada,Costa Rica,57
Australia,Malta,57
China,Kazakhstan,57
United Kingdom,Yemen,57
Albania,United Kingdom,57
Turkey,Uganda,57
India,Paraguay,57
Jamaica,United Kingdom,57
Poland,Tunisia,57
North Macedonia,Spain,57
Kenya,Mexico,57
Singapore,Sri Lanka,57
State of Libya,United Kingdom,57
Bolivia,Spain,57
Laos,United States,57
Denmark,Indonesia,57
Macau,Switzerland,57
Canada,Sudan,57
Argentina,Indonesia,57
Azerbaijan,Spain,56
Nigeria,Slovenia,56
Bulgaria,Hong Kong,56
Morocco,New Zealand,56
Indonesia,Serbia,56
Central African Republic,United States,56
Lebanon,South Korea,56
Myanmar,Myanmar,56
Taiwan,Tunisia,56
India,Jordan,56
Belgium,Nigeria,56
Germany,Jordan,55
Cambodia,China,55
Palestine,Sweden,55
Bangladesh,Sweden,55
Algeria,Switzerland,55
Kazakhstan,Turkey,55
Egypt,Slovenia,55
France,Lebanon,55
Ecuador,Israel,55
Finland,United Arab Emirates,55
Argentina,Philippines,55
Ecuador,Norway,55
Honduras,Spain,54
Japan,Puerto Rico,54
Switzerland,Tanzania,54
Lithuania,Netherlands,54
Algeria,Italy,54
Tanzania,United Kingdom,54
Australia,Cambodia,54
Iraq,Pakistan,54
Czech Republic,United Arab Emirates,54
Georgia,Sweden,54
Cyprus,Israel,54
Canada,Ethiopia,54
India,Tanzania,54
Canada,Malawi,54
Algeria,Spain,54
North Macedonia,Portugal,54
Indonesia,Slovakia,54
Bangladesh,Colombia,54
Lebanon,Russian Federation,54
Kenya,Kenya,54
India,Malta,53
Thailand,Tunisia,53
Russian Federation,Viet Nam,53
Canada,Senegal,53
Argentina,Bangladesh,53
Indonesia,Romania,53
Malaysia,Peru,53
Netherlands,Viet Nam,53
Kazakhstan,Poland,53
Bangladesh,Denmark,53
Macau,Sweden,53
Macau,Poland,53
Brazil,Ethiopia,53
Indonesia,Norway,53
China,Ghana,53
South Africa,Viet Nam,53
Ireland,Philippines,53
Algeria,Thailand,52
Hong Kong,Nigeria,52
Sudan,Thailand,52
Kenya,Portugal,52
Hong Kong,Macau,52
Brazil,Iraq,52
Czech Republic,Peru,52
Iran,Palestine,52
Netherlands,Tunisia,52
Benin,Spain,52
Bangladesh,Israel,52
Algeria,China,52
Ecuador,Slovakia,52
Chile,Estonia,52
Australia,Iceland,52
Iraq,Turkey,52
Morocco,Nigeria,52
Bulgaria,Slovenia,51
Morocco,Pakistan,51
Kenya,Russian Federation,51
Colombia,Indonesia,51
India,Mongolia,51
Bangladesh,Egypt,51
Austria,Peru,51
Bosnia and Herzegovina,United Kingdom,51
Denmark,Saudi Arabia,51
United Kingdom,Venezuela,51
Benin,India,51
Egypt,United Arab Emirates,50
Nigeria,Saudi Arabia,50
Chile,Palestine,50
South Africa,Sri Lanka,50
Slovakia,Ukraine,50
Kazakhstan,Spain,50
Mozambique,Thailand,50
Bangladesh,Greece,50
Armenia,Chile,50
Iran,Iraq,50
Austria,Luxembourg,50
Honduras,United States,50
Denmark,Peru,50
Azerbaijan,Russian Federation,50
Chile,North Macedonia,50
Croatia,Peru,50
Costa Rica,Italy,50
Belgium,Indonesia,50
Chile,Georgia,50
Macau,Portugal,50
Kenya,Sweden,50
Mongolia,United Kingdom,50
India,Jamaica,50
Algeria,Malaysia,49
Rwanda,United Kingdom,49
Azerbaijan,China,49
Bangladesh,Belgium,49
Taiwan,Uruguay,49
Canada,Nepal,49
Bolivia,Brazil,49
Bangladesh,Serbia,49
New Zealand,Slovenia,49
Albania,Spain,49
New Zealand,Philippines,49
Pakistan,Uganda,49
Bangladesh,Slovakia,49
Nigeria,Ukraine,48
Belgium,Uganda,48
Nigeria,Uganda,48
Pakistan,Viet Nam,48
Denmark,Ukraine,48
Iran,Tunisia,48
Japan,North Macedonia,48
Brazil,North Macedonia,48
Kenya,Slovakia,48
North Macedonia,Switzerland,48
Armenia,Romania,48
China,Democratic Republic Congo,48
Greece,Palestine,48
Croatia,Indonesia,48
India,Sudan,48
Costa Rica,France,48
Algeria,Germany,48
Cyprus,Slovakia,47
Pakistan,Slovenia,47
Turkey,Uruguay,47
Lithuania,Romania,47
Hungary,Philippines,47
Ethiopia,Greece,47
Colombia,Kenya,47
China,Mozambique,47
Belarus,South Africa,47
Chile,Lithuania,47
Bangladesh,Ireland,47
Senegal,Thailand,47
Iran,Uganda,47
Cyprus,Denmark,47
Cameroon,China,47
Mexico,Palestine,47
Latvia,Romania,46
Georgia,Morocco,46
India,Malawi,46
Ghana,Turkey,46
Ghana,South Africa,46
Chile,Viet Nam,46
Croatia,United Arab Emirates,46
Argentina,Kenya,46
Germany,Sudan,46
Singapore,Ukraine,46
Morocco,Slovenia,46
Costa Rica,Mexico,46
Cuba,United Kingdom,46
Belgium,Palestine,46
China,Senegal,46
Peru,South Korea,46
Bulgaria,Morocco,46
Estonia,Romania,45
Malaysia,Tunisia,45
Jordan,Turkey,45
Australia,Ethiopia,45
China,Costa Rica,45
Peru,Serbia,45
Portugal,Tunisia,45
Finland,Nigeria,45
India,Venezuela,45
Bangladesh,Romania,45
Sri Lanka,Sweden,45
Greece,Paraguay,45
Costa Rica,Poland,45
Costa Rica,Netherlands,45
India,Mali,45
Bolivia,India,45
Lithuania,Sweden,45
Hungary,United Arab Emirates,45
Syrian Arab Republic,United Kingdom,45
Hong Kong,Palestine,45
Denmark,Palestine,44
Denmark,Morocco,44
Nepal,Nepal,44
Greece,Yemen,44
Peru,Philippines,44
Albania,India,44
Azerbaijan,Brazil,44
Australia,Oman,44
Norway,Palestine,44
Hungary,Indonesia,44
Chile,Sri Lanka,44
Macau,Norway,44
Morocco,Philippines,44
Brazil,Nepal,44
Greece,State of Libya,44
Israel,Saudi Arabia,44
Greece,Tunisia,44
Mozambique,Mozambique,44
Iraq,Russian Federation,44
Luxembourg,Switzerland,44
Bulgaria,Philippines,43
Namibia,United States,43
Myanmar,United Kingdom,43
Indonesia,Uganda,43
Brazil,Kazakhstan,43
Ecuador,Nigeria,43
Hong Kong,Sri Lanka,43
France,Jordan,43
Turkey,Viet Nam,43
Serbia,United Arab Emirates,43
Kazakhstan,Netherlands,43
Sudan,Switzerland,43
Norway,Ukraine,43
Thailand,Uruguay,43
Hungary,Peru,43
Indonesia,Ireland,43
Slovakia,United Arab Emirates,43
Democratic Republic Congo,Spain,43
Bolivia,Canada,43
Ghana,Nigeria,43
Latvia,Netherlands,43
South Korea,Uganda,42
Somalia,United States,42
Brazil,Luxembourg,42
North Macedonia,Slovakia,42
Hong Kong,Saudi Arabia,42
Netherlands,Uruguay,42
Bangladesh,Croatia,42
Finland,Indonesia,42
Congo,United States,42
Qatar,Romania,42
Romania,United Arab Emirates,42
Niger,United States,42
Burkina Faso,United Kingdom,42
Georgia,Netherlands,42
Ethiopia,South Africa,42
Denmark,Macau,42
Guinea-Bissau,United States,42
Iran,Kazakhstan,42
Australia,Malawi,42
Mozambique,United Kingdom,42
Indonesia,Nepal,42
Seychelles,United States,42
Ireland,Morocco,42
Lithuania,South Africa,42
Cameroon,Thailand,42
Canada,Oman,42
Lebanon,Netherlands,42
Ethiopia,France,42
Estonia,Hong Kong,42
Peru,Peru,42
Iraq,Taiwan,41
Kazakhstan,Switzerland,41
Israel,Kenya,41
Indonesia,Saudi Arabia,41
Haiti,India,41
Azerbaijan,France,41
North Macedonia,Norway,41
Georgia,Israel,41
North Macedonia,Russian Federation,41
Belarus,Sweden,41
Bolivia,Colombia,41
Brazil,Costa Rica,41
Germany,Ghana,41
Brazil,Jordan,41
Lebanon,Malaysia,41
Peru,Romania,41
Iran,North Macedonia,41
Japan,Myanmar,41
New Zealand,Peru,41
Morocco,Singapore,41
Mozambique,Spain,41
Macau,Mexico,41
Algeria,Philippines,40
Kenya,Malaysia,40
Iran,Lebanon,40
Austria,Iceland,40
Iran,Kenya,40
Denmark,Kenya,40
Iceland,Iceland,40
Belgium,Macau,40
Senegal,Spain,40
Cyprus,Hong Kong,40
India,Mauritania,40
Sweden,Viet Nam,40
Indonesia,Ukraine,40
Nepal,South Korea,40
Cape Verde,United Kingdom,40
Iraq,Poland,40
Croatia,North Macedonia,40
Nepal,Turkey,40
Belize,United Kingdom,40
Ecuador,Morocco,40
Jordan,Spain,40
Democratic Republic Congo,Thailand,40
Bolivia,China,40
Panama,United Kingdom,40
Kenya,Peru,39
Afghanistan,India,39
Georgia,Hong Kong,39
Latvia,Slovakia,39
Canada,Puerto Rico,39
Armenia,South Africa,39
Ghana,Italy,39
Lebanon,Switzerland,39
Malaysia,Myanmar,39
Latvia,South Africa,39
Argentina,Cyprus,39
Ireland,United Arab Emirates,39
Macau,Singapore,39
Kenya,Philippines,39
Senegal,South Africa,39
Italy,Jordan,39
Iceland,Netherlands,39
Philippines,Sri Lanka,39
Poland,Uganda,39
Armenia,Sweden,39
Sierra Leone,United States,39
Morocco,Ukraine,39
Iran,Macau,39
Mozambique,South Africa,39
Argentina,Estonia,38
Malawi,South Africa,38
Ecuador,Hong Kong,38
Estonia,Israel,38
Malawi,Thailand,38
Ghana,Netherlands,38
Estonia,South Africa,38
Macau,Russian Federation,38
Panama,Spain,38
Colombia,Uruguay,38
Burkina Faso,India,38
Chile,Senegal,38
South Africa,Uruguay,38
Democratic Republic Congo,Nigeria,38
Cambodia,Japan,38
Iceland,Poland,38
Brazil,Iceland,38
Latvia,Sweden,38
Lebanon,Mexico,38
Iceland,Switzerland,38
Iceland,Iran,38
Cambodia,Cambodia,38
Luxembourg,Netherlands,38
Honduras,India,38
Bangladesh,Peru,38
Kenya,Pakistan,38
Denmark,Uganda,38
Egypt,Lebanon,38
Algeria,Australia,38
Luxembourg,Poland,38
Hong Kong,Ukraine,38
Japan,Uganda,37
Poland,Uruguay,37
Chile,Macau,37
Iraq,Switzerland,37
Portugal,Uganda,37
Egypt,Philippines,37
Bangladesh,Hungary,37
Chile,Uganda,37
Lebanon,Saudi Arabia,37
Bangladesh,Slovenia,37
Ireland,Peru,37
Denmark,Ecuador,37
Ethiopia,Turkey,37
El Salvador,United States,37
Democratic Republic Congo,South Africa,37
Russian Federation,Uruguay,37
Sweden,Tunisia,37
Australia,Bolivia,37
Iran,Viet Nam,37
North Macedonia,Philippines,37
Indonesia,Sri Lanka,37
Iran,Uruguay,37
Brazil,Yemen,37
Azerbaijan,South Korea,37
Costa Rica,Thailand,37
Nigeria,Senegal,36
Germany,Senegal,36
Greece,Uruguay,36
Denmark,Tunisia,36
Mauritius,United Kingdom,36
Canada,Zambia,36
Bolivia,Thailand,36
Pakistan,Senegal,36
Cuba,India,36
Iceland,Taiwan,36
Austria,Tunisia,36
Iceland,Norway,36
Democratic Republic Congo,Italy,36
Canada,Uzbekistan,36
Argentina,Uruguay,36
Azerbaijan,Switzerland,36
Iraq,Peru,36
Hungary,Palestine,36
Senegal,Switzerland,36
France,Kazakhstan,36
Morocco,Sri Lanka,36
Belgium,Tunisia,36
Indonesia,Slovenia,36
Cyprus,South Africa,36
Mexico,Viet Nam,36
Greece,Viet Nam,36
Germany,Nepal,36
North Macedonia,Thailand,36
Thailand,Zimbabwe,36
Palestine,Romania,36
Norway,Tunisia,36
South Africa,United Arab Emirates,36
Luxembourg,Sweden,36
Singapore,Tunisia,36
Bhutan,Thailand,35
India,Nicaragua,35
India,Oman,35
Israel,Palestine,35
Kazakhstan,Russian Federation,35
India,Yemen,35
Democratic Republic Congo,Germany,35
Czech Republic,Kenya,35
North Macedonia,Serbia,35
Gabon,United States,35
Canada,Mongolia,35
Puerto Rico,Romania,35
Peru,Taiwan,35
Argentina,Viet Nam,35
Indonesia,Myanmar,35
Nepal,Pakistan,35
Niger,Spain,35
Indonesia,Morocco,35
Japan,Jordan,35
Peru,Ukraine,35
Malta,Taiwan,35
Malaysia,Uganda,35
Kazakhstan,New Zealand,35
Belgium,Lebanon,35
Jordan,Netherlands,35
Cyprus,Nigeria,34
Japan,Montenegro,34
New Zealand,United Arab Emirates,34
Bulgaria,Indonesia,34
Denmark,Luxembourg,34
Canada,Rwanda,34
Egypt,Peru,34
Brazil,Senegal,34
Greece,Kenya,34
Australia,Senegal,34
Sweden,Uganda,34
Canada,Dominican Republic,34
Laos,United Kingdom,34
Austria,Kenya,34
Moldova,United States,34
Senegal,Turkey,34
Israel,Sri Lanka,34
Bahrain,Spain,34
Kazakhstan,Portugal,34
Nigeria,North Macedonia,34
Brazil,Malta,34
Argentina,Sri Lanka,34
Costa Rica,Portugal,34
Ethiopia,Switzerland,34
Bangladesh,Saudi Arabia,34
Bangladesh,Ecuador,34
Saudi Arabia,Slovakia,33
Belarus,Israel,33
Kazakhstan,Romania,33
Bangladesh,New Zealand,33
Colombia,Viet Nam,33
Chile,Iraq,33
Chad,United States,33
Honduras,Thailand,33
Guatemala,India,33
Bolivia,Turkey,33
Kenya,Nigeria,33
Austria,North Macedonia,33
Finland,Peru,33
Burundi,United States,33
Democratic Republic Congo,Indonesia,33
India,Kyrgyzstan,33
China,Myanmar,33
Trinidad and Tobago,United States,33
Peru,Saudi Arabia,33
Cyprus,Slovenia,33
Thailand,Zambia,33
Portugal,Uruguay,33
Argentina,Georgia,33
Mozambique,Turkey,33
Ghana,Sweden,33
Colombia,United Arab Emirates,33
Czech Republic,Lebanon,33
Jordan,Poland,33
Algeria,South Africa,33
Jordan,Russian Federation,33
Kazakhstan,South Korea,33
Ghana,Malaysia,33
Madagascar,United States,33
Argentina,Macau,33
Armenia,Indonesia,33
Papua New Guinea,United States,33
Spain,Zambia,33
Argentina,Ghana,33
Myanmar,Singapore,33
Jordan,Switzerland,33
Philippines,Saudi Arabia,33
Bulgaria,Peru,32
Ecuador,Philippines,32
Iraq,Malaysia,32
Mozambique,Nigeria,32
Iceland,Sweden,32
Egypt,Ghana,32
Luxembourg,Portugal,32
Costa Rica,Iran,32
Belarus,Netherlands,32
South Africa,Tunisia,32
Slovenia,Ukraine,32
Colombia,Lebanon,32
Rwanda,Spain,32
Finland,Philippines,32
Hong Kong,Tunisia,32
China,Ethiopia,32
Bahrain,Canada,32
Canada,Mozambique,32
Bahrain,India,32
Bangladesh,Finland,32
Guatemala,United Kingdom,32
Croatia,Lebanon,32
Algeria,Netherlands,32
Czech Republic,Palestine,32
Kazakhstan,Nigeria,32
Greece,Uganda,32
Mexico,North Macedonia,32
Latvia,Nigeria,32
Nigeria,Viet Nam,32
Czech Republic,Iraq,32
Brazil,Sudan,32
Colombia,North Macedonia,32
India,Togo,32
Denmark,North Macedonia,32
Greece,Macau,32
Kazakhstan,Sweden,32
Indonesia,Jordan,31
North Macedonia,Slovenia,31
Panama,Thailand,31
Ethiopia,Nigeria,31
Argentina,Palestine,31
Cote d'Ivoire,Switzerland,31
Canada,Montenegro,31
Bangladesh,Morocco,31
Ghana,Japan,31
Ecuador,Indonesia,31
Bolivia,Japan,31
Belarus,Morocco,31
Bangladesh,Nepal,31
Israel,Latvia,31
Montenegro,Romania,31
Austria,Iraq,31
Pakistan,Tunisia,31
Algeria,France,31
Cyprus,Morocco,31
Belgium,Kenya,31
Greece,North Macedonia,31
Cyprus,Philippines,31
Russian Federation,Tunisia,31
Denmark,Estonia,31
Morocco,Peru,31
Oman,Spain,31
Egypt,Iraq,31
Canada,Jamaica,31
Iraq,Mexico,31
Peru,Slovenia,31
China,Sudan,31
Lithuania,Norway,30
Canada,Venezuela,30
Cambodia,Singapore,30
Chile,Tunisia,30
Macau,Turkey,30
Kenya,Singapore,30
China,Tanzania,30
Costa Rica,Norway,30
Kenya,Taiwan,30
Estonia,Nigeria,30
Afghanistan,United Kingdom,30
Bolivia,Greece,30
Dominican Republic,Turkey,30
Austria,Kazakhstan,30
Tanzania,Thailand,30
Algeria,Turkey,30
Saudi Arabia,United Arab Emirates,30
Myanmar,Philippines,30
Estonia,Slovakia,30
Cyprus,Singapore,30
Iceland,Saudi Arabia,30
Australia,Mozambique,30
Greece,Nepal,30
Israel,Macau,30
Qatar,Sweden,30
Brazil,Democratic Republic Congo,30
Brazil,Paraguay,30
Palestine,Thailand,30
Japan,Sudan,30
South Africa,Tanzania,30
Netherlands,Senegal,30
Cuba,Spain,30
Bangladesh,Iraq,30
Iraq,Serbia,30
Ghana,Indonesia,30
Czech Republic,North Macedonia,30
Greece,Sudan,30
Japan,Senegal,30
India,State of Libya,30
Hong Kong,Latvia,30
Hong Kong,Luxembourg,30
Croatia,Kenya,30
Iran,Nepal,30
Algeria,Brazil,30
Australia,Azerbaijan,29
Romania,Saudi Arabia,29
Albania,Canada,29
Algeria,South Korea,29
Israel,Lithuania,29
Greece,Lebanon,29
Nepal,Singapore,29
Nepal,Saudi Arabia,29
Finland,Macau,29
Togo,United Kingdom,29
Ecuador,Slovenia,29
Mongolia,Thailand,29
Ecuador,Peru,29
Jamaica,Switzerland,29
Chile,Ghana,29
Palestine,Singapore,29
Algeria,Sweden,29
Kenya,Romania,29
North Macedonia,Sweden,29
Saudi Arabia,Slovenia,29
Costa Rica,Switzerland,29
Brunei Darussalam,Spain,29
Fiji,Spain,29
Philippines,Ukraine,29
France,Ghana,29
Botswana,India,29
Mongolia,South Korea,29
Dominican Republic,Thailand,29
Ghana,Kenya,29
Hong Kong,Peru,29
Argentina,Uganda,29
Italy,Oman,29
North Macedonia,Pakistan,29
Jordan,Singapore,29
Malawi,Spain,29
Mozambique,Pakistan,29
Ghana,Pakistan,29
Bosnia and Herzegovina,Canada,29
Australia,Dominican Republic,29
Russian Federation,Uganda,29
Liberia,Spain,29
Romania,Uganda,29
South Africa,Zimbabwe,29
Egypt,Tunisia,29
Jordan,Malaysia,29
South Africa,Sudan,29
Mongolia,Spain,28
Romania,Tunisia,28
Bolivia,Germany,28
Spain,Venezuela,28
Ecuador,Singapore,28
China,Mongolia,28
Armenia,Armenia,28
Australia,Tanzania,28
Dominican Republic,Poland,28
Dominican Republic,Switzerland,28
Lebanon,Philippines,28
India,Panama,28
Swaziland,United States,28
Argentina,Tunisia,28
North Macedonia,Romania,28
North Macedonia,Singapore,28
Ecuador,Kenya,28
Germany,Oman,28
Bolivia,South Africa,28
Aruba,United States,28
Switzerland,Zambia,28
Bolivia,Chile,28
Luxembourg,Norway,28
Ethiopia,Germany,28
Armenia,Slovakia,28
Peru,Uganda,28
Jordan,South Korea,28
Jordan,South Africa,28
Ethiopia,Malaysia,28
Canada,Syrian Arab Republic,28
Bangladesh,Uganda,28
Jordan,Pakistan,28
Angola,United States,28
Iraq,Netherlands,28
Myanmar,Viet Nam,28
Belgium,Iraq,28
Paraguay,Thailand,28
Belgium,Peru,28
Ukraine,Viet Nam,28
Kenya,New Zealand,28
Czech Republic,Kazakhstan,28
Georgia,Norway,28
Hungary,Lebanon,28
Iraq,Sweden,28
Slovenia,United Arab Emirates,28
Kenya,Serbia,28
Pakistan,Uruguay,28
Timor Leste,United States,28
China,Paraguay,28
France,Sudan,28
Chile,Jordan,28
Bahrain,Thailand,27
Algeria,Pakistan,27
Bahrain,Italy,27
Lebanon,Pakistan,27
Argentina,Iraq,27
Colombia,Ghana,27
Nigeria,Tunisia,27
Bangladesh,Kenya,27
Ghana,Mexico,27
China,Zambia,27
Argentina,Latvia,27
Iraq,Israel,27
Austria,Lebanon,27
Austria,Uruguay,27
Pakistan,Palestine,27
Egypt,Palestine,27
Colombia,Mozambique,27
Azerbaijan,Mexico,27
Paraguay,South Africa,27
Belgium,Viet Nam,27
Malta,Poland,27
Ghana,Saudi Arabia,27
Ghana,Norway,27
Paraguay,Turkey,27
Azerbaijan,Portugal,27
Lebanon,Serbia,27
Azerbaijan,South Africa,27
Egypt,Kenya,27
Cameroon,Spain,27
Ethiopia,Indonesia,27
Jamaica,Spain,27
Lebanon,Portugal,27
Indonesia,Senegal,27
Iran,Jordan,27
Singapore,Uganda,27
Armenia,Bangladesh,27
Brazil,Malawi,27
Brazil,Tanzania,27
Netherlands,Sri Lanka,27
Malaysia,Sudan,27
Costa Rica,Malaysia,27
Japan,Lebanon,27
Brunei Darussalam,Thailand,27
Mexico,Tunisia,27
Mexico,Uganda,27
Iceland,Turkey,27
Lithuania,Singapore,27
Burkina Faso,Spain,27
Algeria,Iran,27
Haiti,Switzerland,26
Costa Rica,Japan,26
Colombia,Costa Rica,26
Azerbaijan,Egypt,26
Kenya,Slovenia,26
Bhutan,Bhutan,26
Iraq,Singapore,26
Indonesia,Mozambique,26
Hong Kong,Lithuania,26
Italy,Senegal,26
Austria,Viet Nam,26
Bolivia,Nigeria,26
Bolivia,Pakistan,26
Finland,Palestine,26
Iceland,Portugal,26
Honduras,Poland,26
Netherlands,Qatar,26
Egypt,Uganda,26
Belarus,Belarus,26
Armenia,Netherlands,26
Belarus,Chile,26
Chile,Costa Rica,26
Ethiopia,Russian Federation,26
Jordan,Saudi Arabia,26
Bulgaria,United Arab Emirates,26
Georgia,Slovakia,26
Mexico,Uruguay,26
France,Paraguay,26
Malta,Netherlands,26
Qatar,South Africa,26
Algeria,Poland,26
Israel,Tunisia,26
Hong Kong,Nepal,26
Costa Rica,Russian Federation,26
Niger,United Kingdom,26
Israel,North Macedonia,26
Poland,Viet Nam,26
Nicaragua,United Kingdom,26
Singapore,Uruguay,26
Indonesia,United Arab Emirates,26
Malaysia,North Macedonia,26
Democratic Republic Congo,Switzerland,26
Australia,Zambia,26
India,Syrian Arab Republic,26
Iraq,Portugal,26
Nigeria,Tanzania,26
Nigeria,Paraguay,26
Australia,Jamaica,25
China,Dominican Republic,25
Australia,Rwanda,25
Cuba,Malaysia,25
Indonesia,Kenya,25
Azerbaijan,Greece,25
Lithuania,Nigeria,25
Egypt,Ethiopia,25
Azerbaijan,Sweden,25
Cambodia,Philippines,25
Armenia,Israel,25
Democratic Republic Congo,Turkey,25
Egypt,Viet Nam,25
Gabon,India,25
Jordan,Mexico,25
Benin,Canada,25
Belgium,Ghana,25
Palestine,South Africa,25
Nigeria,Sudan,25
Lebanon,Nigeria,25
Saudi Arabia,Viet Nam,25
Hungary,Kenya,25
Armenia,Hong Kong,25
Argentina,Lithuania,25
Ghana,Singapore,25
Malaysia,Paraguay,25
Australia,Paraguay,25
United Kingdom,Zimbabwe,25
Cameroon,South Africa,25
Bahrain,South Korea,25
Jamaica,Thailand,25
Argentina,Costa Rica,25
Bangladesh,Bulgaria,25
Colombia,Senegal,25
Ghana,Iran,25
Algeria,Singapore,25
North Macedonia,South Africa,25
Sweden,Uruguay,25
Democratic Republic Congo,Pakistan,25
Kazakhstan,Pakistan,25
Chile,Uruguay,25
Denmark,Uruguay,25
Bolivia,Malaysia,25
China,Rwanda,25
Dominican Republic,Italy,25
Bangladesh,Sri Lanka,25
Brazil,State of Libya,25
Ireland,Kenya,25
Haiti,United Kingdom,25
Ethiopia,Pakistan,24
Estonia,Singapore,24
Ghana,Peru,24
Belgium,Luxembourg,24
Azerbaijan,Poland,24
Philippines,United Arab Emirates,24
Belgium,North Macedonia,24
Nepal,Nigeria,24
Hungary,Kazakhstan,24
Canada,Tanzania,24
Ghana,Russian Federation,24
Argentina,Ethiopia,24
Iran,Luxembourg,24
Malta,Sweden,24
Hong Kong,Iraq,24
Jordan,Taiwan,24
Liberia,United States,24
Uganda,Ukraine,24
Dominican Republic,Germany,24
Ethiopia,Mexico,24
Colombia,Jordan,24
Peru,Viet Nam,24
Ethiopia,Portugal,24
Indonesia,Latvia,24
Jordan,Portugal,24
Argentina,Bolivia,24
Jordan,Nigeria,24
Cameroon,Nigeria,24
Myanmar,South Korea,24
France,Nepal,24
Turkey,Yemen,24
Denmark,Iraq,24
