Eid,Funding Count,Cite-By Count,Has Funding,Has Cite-By
2-s2.0-85065424126,2,8,1,1
2-s2.0-85065823039,5,12,1,1
2-s2.0-85055317027,0,63,0,1
2-s2.0-85074189829,9,4,1,1
2-s2.0-85072650983,0,0,0,0
2-s2.0-85076090578,0,3,0,1
2-s2.0-85074176243,9,8,1,1
2-s2.0-85093660739,0,1,0,1
2-s2.0-85060891652,6,7,1,1
2-s2.0-85058022024,5,19,1,1
2-s2.0-85071830222,5,11,1,1
2-s2.0-85060775236,4,8,1,1
2-s2.0-85059231804,2,5,1,1
2-s2.0-85065888561,0,0,0,0
2-s2.0-85054367105,1,4,1,1
2-s2.0-85063203722,6,6,1,1
2-s2.0-85134035104,0,0,0,0
2-s2.0-85070732380,3,0,1,0
2-s2.0-85075204167,0,1,0,1
2-s2.0-85061267681,1,4,1,1
2-s2.0-85068184061,3,35,1,1
2-s2.0-85078017389,0,5,0,1
2-s2.0-85064394773,103,82,1,1
2-s2.0-85068678554,2,2,1,1
2-s2.0-85070232264,5,3,1,1
2-s2.0-85074885417,3,3,1,1
2-s2.0-85072401467,0,3,0,1
2-s2.0-85082516789,5,0,1,0
2-s2.0-85064877794,0,2,0,1
2-s2.0-85066395588,0,7,0,1
2-s2.0-85096713258,0,2,0,1
2-s2.0-85064183454,6,67,1,1
2-s2.0-85059585447,5,1,1,1
2-s2.0-85061249305,6,23,1,1
2-s2.0-85071173852,3,9,1,1
2-s2.0-85065400082,0,22,0,1
2-s2.0-85067209635,6,14,1,1
2-s2.0-85054885422,2,38,1,1
2-s2.0-85081640923,2,12,1,1
2-s2.0-85072195759,4,12,1,1
2-s2.0-85072155713,5,3,1,1
2-s2.0-85062644157,101,51,1,1
2-s2.0-85072761516,19,10,1,1
2-s2.0-85087289984,1,2,1,1
2-s2.0-85067022920,2,16,1,1
2-s2.0-85064480879,16,5,1,1
2-s2.0-85057772904,5,7,1,1
2-s2.0-85068779831,101,51,1,1
2-s2.0-85068782621,0,1,0,1
2-s2.0-85066261684,103,15,1,1
2-s2.0-85067807649,0,0,0,0
2-s2.0-85061964206,7,15,1,1
2-s2.0-85079119941,0,5,0,1
2-s2.0-85064398210,80,48,1,1
2-s2.0-85071655007,2,47,1,1
2-s2.0-85064889205,5,2,1,1
2-s2.0-85063612029,0,7,0,1
2-s2.0-85078139291,0,2,0,1
2-s2.0-85060612458,2,10,1,1
2-s2.0-85070836015,0,0,0,0
2-s2.0-85074765849,7,2,1,1
2-s2.0-85038024373,3,5,1,1
2-s2.0-85074543605,1,0,1,0
2-s2.0-85076512113,1,10,1,1
2-s2.0-85073610428,4,3,1,1
2-s2.0-85063432098,5,11,1,1
2-s2.0-85067259818,2,6,1,1
2-s2.0-85071492943,5,3,1,1
2-s2.0-85062321467,11,3,1,1
2-s2.0-85057621821,0,20,0,1
2-s2.0-85065779745,0,1,0,1
2-s2.0-85068122411,5,11,1,1
2-s2.0-85084632494,5,9,1,1
2-s2.0-85076849567,5,35,1,1
2-s2.0-85073703491,4,10,1,1
2-s2.0-85076735148,0,5,0,1
2-s2.0-85079846505,0,0,0,0
2-s2.0-85054342718,4,14,1,1
2-s2.0-85062102028,0,8,0,1
2-s2.0-85064985698,10,6,1,1
2-s2.0-85071337789,5,15,1,1
2-s2.0-85077320995,2,20,1,1
2-s2.0-85069631731,2,11,1,1
2-s2.0-85067853943,0,3,0,1
2-s2.0-85051071312,0,2,0,1
2-s2.0-85103076539,4,5,1,1
2-s2.0-85070067749,2,2,1,1
2-s2.0-85077035528,0,2,0,1
2-s2.0-85075343986,3,11,1,1
2-s2.0-85074141559,0,5,0,1
2-s2.0-85059552033,0,23,0,1
2-s2.0-85064138325,5,1,1,1
2-s2.0-85067811443,0,2,0,1
2-s2.0-85074242903,0,22,0,1
2-s2.0-85070975532,2,2,1,1
2-s2.0-85067672334,0,1,0,1
2-s2.0-85061892798,103,23,1,1
2-s2.0-85077395426,99,15,1,1
2-s2.0-85075330748,0,18,0,1
2-s2.0-85068402553,0,4,0,1
2-s2.0-85067413691,2,19,1,1
2-s2.0-85078267009,0,0,0,0
2-s2.0-85073287936,2,52,1,1
2-s2.0-85071672927,11,1,1,1
2-s2.0-85069699539,0,43,0,1
2-s2.0-85083946642,1,1,1,1
2-s2.0-85055395763,0,0,0,0
2-s2.0-85067212514,5,10,1,1
2-s2.0-85147473439,0,6,0,1
2-s2.0-85066432223,7,7,1,1
2-s2.0-85049320878,0,0,0,0
2-s2.0-85065079526,5,8,1,1
2-s2.0-85060943807,2,5,1,1
2-s2.0-85067540847,5,24,1,1
2-s2.0-85074667265,5,9,1,1
2-s2.0-85073948478,52,31,1,1
2-s2.0-85069974967,5,14,1,1
2-s2.0-85077817274,2,0,1,0
2-s2.0-85063060643,0,0,0,0
2-s2.0-85065507001,0,9,0,1
2-s2.0-85067859084,2,3,1,1
2-s2.0-85060336452,5,7,1,1
2-s2.0-85078293182,0,3,0,1
2-s2.0-85066824153,0,3,0,1
2-s2.0-85063615771,5,10,1,1
2-s2.0-85056163899,5,5,1,1
2-s2.0-85085472212,5,14,1,1
2-s2.0-85065861114,1,1,1,1
2-s2.0-85071435295,3,2,1,1
2-s2.0-85079452584,0,0,0,0
2-s2.0-85081682164,0,0,0,0
2-s2.0-85069908392,4,4,1,1
2-s2.0-85055912001,3,62,1,1
2-s2.0-85069942029,0,16,0,1
2-s2.0-85064000888,3,11,1,1
2-s2.0-85072010649,5,0,1,0
2-s2.0-85064522654,3,0,1,0
2-s2.0-85061275882,8,14,1,1
2-s2.0-85079882811,0,1,0,1
2-s2.0-85057310610,4,5,1,1
2-s2.0-85072674103,3,21,1,1
2-s2.0-85076499856,0,0,0,0
2-s2.0-85068611788,0,4,0,1
2-s2.0-85077249848,0,0,0,0
2-s2.0-85070257756,0,0,0,0
2-s2.0-85070208414,7,22,1,1
2-s2.0-85094813093,0,1,0,1
2-s2.0-85073117460,0,94,0,1
2-s2.0-85070831943,2,1,1,1
2-s2.0-85045765941,5,53,1,1
2-s2.0-85021627517,8,7,1,1
2-s2.0-85062474773,5,59,1,1
2-s2.0-85061485252,5,22,1,1
2-s2.0-85074718229,6,13,1,1
2-s2.0-85057610599,0,9,0,1
2-s2.0-85060779863,75,57,1,1
2-s2.0-85073625215,0,40,0,1
2-s2.0-85065043359,4,13,1,1
2-s2.0-85064569340,0,0,0,0
2-s2.0-85073102386,3,22,1,1
2-s2.0-85055029499,5,25,1,1
2-s2.0-85073259336,6,2,1,1
2-s2.0-85065924078,1,22,1,1
2-s2.0-85063280998,4,46,1,1
2-s2.0-85067202102,0,6,0,1
2-s2.0-85074912650,0,3,0,1
2-s2.0-85069293544,5,11,1,1
2-s2.0-85062528852,2,35,1,1
2-s2.0-85165214033,0,0,0,0
2-s2.0-85062904772,0,10,0,1
2-s2.0-85073008960,98,27,1,1
2-s2.0-85074045701,0,16,0,1
2-s2.0-85076229169,4,1,1,1
2-s2.0-85070887862,6,83,1,1
2-s2.0-85055718889,0,17,0,1
2-s2.0-85065517512,0,1,0,1
2-s2.0-85059905088,5,4,1,1
2-s2.0-85065074990,0,7,0,1
2-s2.0-85059071037,0,0,0,0
2-s2.0-85065326785,5,2,1,1
2-s2.0-85073330994,2,35,1,1
2-s2.0-85062224724,4,0,1,0
2-s2.0-85066625830,0,1,0,1
2-s2.0-85072810668,0,0,0,0
2-s2.0-85052368654,3,10,1,1
2-s2.0-85107870330,5,3,1,1
2-s2.0-85072048011,18,2,1,1
2-s2.0-85070840281,2,7,1,1
2-s2.0-85068498995,2,1,1,1
2-s2.0-85057539983,4,27,1,1
2-s2.0-85060235820,5,32,1,1
2-s2.0-85084333484,2,4,1,1
2-s2.0-85073463109,5,1,1,1
2-s2.0-85068002153,5,0,1,0
2-s2.0-85105802358,0,4,0,1
2-s2.0-85077955244,0,0,0,0
2-s2.0-85060516034,6,9,1,1
2-s2.0-85056879182,4,7,1,1
2-s2.0-85072370780,0,3,0,1
2-s2.0-85075960356,12,23,1,1
2-s2.0-85062235082,2,1,1,1
2-s2.0-85072717016,5,34,1,1
2-s2.0-85065437003,2,30,1,1
2-s2.0-85070715450,3,16,1,1
2-s2.0-85075066218,2,14,1,1
2-s2.0-85054500998,0,9,0,1
2-s2.0-85069907304,6,41,1,1
2-s2.0-85071390008,5,2,1,1
2-s2.0-85064521348,2,3,1,1
2-s2.0-85065657338,5,8,1,1
2-s2.0-85061010158,6,39,1,1
2-s2.0-85073520081,0,8,0,1
2-s2.0-85065826961,6,4,1,1
2-s2.0-85065189084,5,8,1,1
2-s2.0-85073471813,5,6,1,1
2-s2.0-85077265470,0,1,0,1
2-s2.0-85074831202,0,0,0,0
2-s2.0-85070218368,3,15,1,1
2-s2.0-85060865748,103,21,1,1
2-s2.0-85076538010,6,6,1,1
2-s2.0-85062897997,2,7,1,1
2-s2.0-85063483153,5,4,1,1
2-s2.0-85061958954,0,11,0,1
2-s2.0-85064231999,4,2,1,1
2-s2.0-85073896188,5,2,1,1
2-s2.0-85062100230,0,3,0,1
2-s2.0-85070330801,3,1,1,1
2-s2.0-85056386047,4,58,1,1
2-s2.0-85065157949,4,3,1,1
2-s2.0-85067253509,3,113,1,1
2-s2.0-85086689610,0,1,0,1
2-s2.0-85056243477,4,37,1,1
2-s2.0-85072365396,2,13,1,1
2-s2.0-85072107293,0,2,0,1
2-s2.0-85123040672,0,0,0,0
2-s2.0-85063529604,103,35,1,1
2-s2.0-85107208968,2,2,1,1
2-s2.0-85062372596,0,2,0,1
2-s2.0-85070819712,0,0,0,0
2-s2.0-85078201825,0,1,0,1
2-s2.0-85029707412,2,15,1,1
2-s2.0-85071252374,3,0,1,0
2-s2.0-85064588155,5,23,1,1
2-s2.0-85072164426,0,0,0,0
2-s2.0-85063476749,0,1,0,1
2-s2.0-85068441398,2,3,1,1
2-s2.0-85058838636,5,2,1,1
2-s2.0-85066952889,4,11,1,1
2-s2.0-85064011109,0,2,0,1
2-s2.0-85069219917,2,0,1,0
2-s2.0-85076443678,0,0,0,0
2-s2.0-85074618774,4,1,1,1
2-s2.0-85066617400,0,25,0,1
2-s2.0-85057791875,0,0,0,0
2-s2.0-85068693256,5,98,1,1
2-s2.0-85072268571,5,1,1,1
2-s2.0-85087796951,6,0,1,0
2-s2.0-85062186210,6,4,1,1
2-s2.0-85072108992,12,91,1,1
2-s2.0-85063755952,2,42,1,1
2-s2.0-85063251559,5,0,1,0
2-s2.0-85067662500,0,1,0,1
2-s2.0-85078436211,0,7,0,1
2-s2.0-85066485305,3,34,1,1
2-s2.0-85063761458,2,39,1,1
2-s2.0-85066081928,3,3,1,1
2-s2.0-85075630712,0,0,0,0
2-s2.0-85074850336,2,2,1,1
2-s2.0-85075749134,0,0,0,0
2-s2.0-85082515751,0,2,0,1
2-s2.0-85056002139,4,21,1,1
2-s2.0-85072404664,1,3,1,1
2-s2.0-85053770402,2,5,1,1
2-s2.0-85074947604,0,0,0,0
2-s2.0-85085127487,0,0,0,0
2-s2.0-85059567964,0,0,0,0
2-s2.0-85064695154,0,4,0,1
2-s2.0-85061995213,3,4,1,1
2-s2.0-85071495576,0,6,0,1
2-s2.0-85128436888,0,0,0,0
2-s2.0-85071029353,2,23,1,1
2-s2.0-85075520597,5,11,1,1
2-s2.0-85070674821,1,0,1,0
2-s2.0-85069618021,0,30,0,1
2-s2.0-85061741555,2,23,1,1
2-s2.0-85064843344,2,20,1,1
2-s2.0-85069180565,2,17,1,1
2-s2.0-85054338848,0,10,0,1
2-s2.0-85068725245,2,2,1,1
2-s2.0-85078061726,0,2,0,1
2-s2.0-85050459634,2,52,1,1
2-s2.0-85067022720,6,73,1,1
2-s2.0-85068743053,5,7,1,1
2-s2.0-85072607963,0,55,0,1
2-s2.0-85075465498,2,24,1,1
2-s2.0-85074277455,95,15,1,1
2-s2.0-85072628048,0,22,0,1
2-s2.0-85065745297,4,16,1,1
2-s2.0-85066091299,4,7,1,1
2-s2.0-85065160658,4,23,1,1
2-s2.0-85071748726,5,19,1,1
2-s2.0-85060188313,0,14,0,1
2-s2.0-85065660177,4,2,1,1
2-s2.0-85059342964,2,7,1,1
2-s2.0-85085663916,0,2,0,1
2-s2.0-85090415111,2,1,1,1
2-s2.0-85052470702,0,21,0,1
2-s2.0-85053770847,2,7,1,1
2-s2.0-85061527393,8,2,1,1
2-s2.0-85071070564,4,6,1,1
2-s2.0-85075880033,0,3,0,1
2-s2.0-85116338855,2,0,1,0
2-s2.0-85068835476,3,3,1,1
2-s2.0-85066852583,0,2,0,1
2-s2.0-85066020607,2,8,1,1
2-s2.0-85061233117,0,0,0,0
2-s2.0-85077639150,0,1,0,1
2-s2.0-85064179770,2,93,1,1
2-s2.0-85042087917,5,2,1,1
2-s2.0-85063999587,0,1,0,1
2-s2.0-85067566195,2,25,1,1
2-s2.0-85065097067,0,0,0,0
2-s2.0-85074675406,5,3,1,1
2-s2.0-85071773911,3,16,1,1
2-s2.0-85058552080,5,13,1,1
2-s2.0-85061297966,0,9,0,1
2-s2.0-85076952339,5,28,1,1
2-s2.0-85074724262,1,1,1,1
2-s2.0-85074292585,7,9,1,1
2-s2.0-85076061048,0,1,0,1
2-s2.0-85068666866,0,4,0,1
2-s2.0-85066068438,4,9,1,1
2-s2.0-85034986184,2,15,1,1
2-s2.0-85075278106,3,4,1,1
2-s2.0-85061831704,3,12,1,1
2-s2.0-85063760803,6,1,1,1
2-s2.0-85090400878,2,0,1,0
2-s2.0-85072755936,6,28,1,1
2-s2.0-85071913626,0,3,0,1
2-s2.0-85067633409,0,16,0,1
2-s2.0-85072974417,7,0,1,0
2-s2.0-85058812442,0,4,0,1
2-s2.0-85061343622,2,50,1,1
2-s2.0-85067133708,3,4,1,1
2-s2.0-85079886563,0,0,0,0
2-s2.0-85067633077,5,4,1,1
2-s2.0-85075950590,3,4,1,1
2-s2.0-85069751432,7,8,1,1
2-s2.0-85073530376,5,5,1,1
2-s2.0-85052095885,3,9,1,1
2-s2.0-85070697589,7,11,1,1
2-s2.0-85063199992,6,6,1,1
2-s2.0-85065533444,1,3,1,1
2-s2.0-85069680020,4,27,1,1
2-s2.0-85060913403,100,21,1,1
2-s2.0-85060467882,0,0,0,0
2-s2.0-85076578743,0,1,0,1
2-s2.0-85058816224,4,1,1,1
2-s2.0-85074868738,2,94,1,1
2-s2.0-85056569852,0,17,0,1
2-s2.0-85101932207,0,0,0,0
2-s2.0-85074625387,2,27,1,1
2-s2.0-85069855226,0,1,0,1
2-s2.0-85076708497,0,2,0,1
2-s2.0-85108181403,0,4,0,1
2-s2.0-85073744951,5,30,1,1
2-s2.0-85076797147,5,0,1,0
2-s2.0-85070745231,5,2,1,1
2-s2.0-85017162564,5,16,1,1
2-s2.0-85064211362,0,186,0,1
2-s2.0-85039710300,10,15,1,1
2-s2.0-85065104198,6,2,1,1
2-s2.0-85072766903,6,10,1,1
2-s2.0-85062206780,0,2,0,1
2-s2.0-85064241865,0,5,0,1
2-s2.0-85074076384,4,0,1,0
2-s2.0-85067127006,2,2,1,1
2-s2.0-85076699514,2,6,1,1
2-s2.0-85073987456,7,9,1,1
2-s2.0-85075084922,4,2,1,1
2-s2.0-85069555093,14,8,1,1
2-s2.0-85063008614,2,0,1,0
2-s2.0-85064123792,80,84,1,1
2-s2.0-85072229317,0,8,0,1
2-s2.0-85064079494,5,8,1,1
2-s2.0-85041115195,3,5,1,1
2-s2.0-85081735947,5,6,1,1
2-s2.0-85068443822,9,18,1,1
2-s2.0-85064047467,3,2,1,1
2-s2.0-85077110204,1,1,1,1
2-s2.0-85071675895,2,4,1,1
2-s2.0-85065845041,9,15,1,1
2-s2.0-85055680825,2,7,1,1
2-s2.0-85066434744,3,45,1,1
2-s2.0-85067334593,0,1,0,1
2-s2.0-85073831223,2,2,1,1
2-s2.0-85071310970,3,4,1,1
2-s2.0-85058414354,5,36,1,1
2-s2.0-85068862375,2,24,1,1
2-s2.0-85084436088,0,0,0,0
2-s2.0-85066031691,2,1,1,1
2-s2.0-85074167747,0,0,0,0
2-s2.0-85054364012,0,30,0,1
2-s2.0-85053782938,2,25,1,1
2-s2.0-85107424871,0,1,0,1
2-s2.0-85062688767,3,1,1,1
2-s2.0-85065057716,2,3,1,1
2-s2.0-85077219094,6,0,1,0
2-s2.0-85071615855,0,0,0,0
2-s2.0-85062961040,5,0,1,0
2-s2.0-85075658133,6,16,1,1
2-s2.0-85074346751,5,13,1,1
2-s2.0-85062823804,5,0,1,0
2-s2.0-85064175216,4,21,1,1
2-s2.0-85072059100,4,3,1,1
2-s2.0-85078316897,0,0,0,0
2-s2.0-85064216236,10,1,1,1
2-s2.0-85071991941,2,27,1,1
2-s2.0-85081260482,0,2,0,1
2-s2.0-85066420098,10,23,1,1
2-s2.0-85070745081,2,5,1,1
2-s2.0-85060946893,5,77,1,1
2-s2.0-85073526056,4,3,1,1
2-s2.0-85026756142,0,0,0,0
2-s2.0-85068256407,2,100,1,1
2-s2.0-85065794879,3,1,1,1
2-s2.0-85063612049,3,29,1,1
2-s2.0-85069716719,0,4,0,1
2-s2.0-85054552972,4,10,1,1
2-s2.0-85073515338,6,1,1,1
2-s2.0-85100019910,0,1,0,1
2-s2.0-85077968624,0,4,0,1
2-s2.0-85137679542,0,0,0,0
2-s2.0-85059909055,2,2,1,1
2-s2.0-85073182781,8,14,1,1
2-s2.0-85076300739,4,1,1,1
2-s2.0-85044369798,5,0,1,0
2-s2.0-85064619892,0,2,0,1
2-s2.0-85061085232,103,125,1,1
2-s2.0-85069663308,78,11,1,1
2-s2.0-85077964431,0,2,0,1
2-s2.0-85044754724,5,4,1,1
2-s2.0-85069052537,3,17,1,1
2-s2.0-85074195658,2,10,1,1
2-s2.0-85078860934,0,2,0,1
2-s2.0-85060008388,5,58,1,1
2-s2.0-85073253569,5,0,1,0
2-s2.0-85048935205,4,27,1,1
2-s2.0-85123040275,0,0,0,0
2-s2.0-85063265740,0,9,0,1
2-s2.0-85069865507,3,2,1,1
2-s2.0-85071702622,0,21,0,1
2-s2.0-85077072985,0,1,0,1
2-s2.0-85099885667,2,12,1,1
2-s2.0-85072767976,4,14,1,1
2-s2.0-85071934721,0,2,0,1
2-s2.0-85067430952,1,10,1,1
2-s2.0-85057550603,6,52,1,1
2-s2.0-85072577615,0,44,0,1
2-s2.0-85068177492,0,6,0,1
2-s2.0-85071285667,2,12,1,1
2-s2.0-85065547837,2,4,1,1
2-s2.0-85061184634,2,18,1,1
2-s2.0-85070209028,2,1,1,1
2-s2.0-85070935699,4,34,1,1
2-s2.0-85063495613,102,40,1,1
2-s2.0-85079112651,2,15,1,1
2-s2.0-85062283831,5,7,1,1
2-s2.0-85074903934,4,1,1,1
2-s2.0-85143565809,0,0,0,0
2-s2.0-85060986111,0,46,0,1
2-s2.0-85073747105,0,1,0,1
2-s2.0-85059805936,2,2,1,1
2-s2.0-85064214077,5,0,1,0
2-s2.0-85066461126,0,0,0,0
2-s2.0-85054188691,6,11,1,1
2-s2.0-85062712877,6,21,1,1
2-s2.0-85063763059,3,5,1,1
2-s2.0-85051862156,1,14,1,1
2-s2.0-85069905228,3,3,1,1
2-s2.0-85070550478,0,5,0,1
2-s2.0-85071360222,6,20,1,1
2-s2.0-85124835341,0,1,0,1
2-s2.0-85065192226,0,4,0,1
2-s2.0-85072700921,0,0,0,0
2-s2.0-85081970480,3,1,1,1
2-s2.0-85078704843,5,1,1,1
2-s2.0-85074227106,0,0,0,0
2-s2.0-85052708700,0,1,0,1
2-s2.0-85056613846,0,48,0,1
2-s2.0-85076318153,5,13,1,1
2-s2.0-85075897654,3,7,1,1
2-s2.0-85074558483,0,52,0,1
2-s2.0-85065924000,5,1,1,1
2-s2.0-85060299407,109,49,1,1
2-s2.0-85062776630,5,14,1,1
2-s2.0-85065437921,6,7,1,1
2-s2.0-85059501753,5,17,1,1
2-s2.0-85062244747,5,0,1,0
2-s2.0-85073065373,0,1,0,1
2-s2.0-85072221172,5,25,1,1
2-s2.0-85075813705,0,6,0,1
2-s2.0-85068752585,2,27,1,1
2-s2.0-85061045951,5,19,1,1
2-s2.0-85066627813,0,1,0,1
2-s2.0-85058384818,4,7,1,1
2-s2.0-85069648777,3,4,1,1
2-s2.0-85065484513,0,17,0,1
2-s2.0-85076921612,3,11,1,1
2-s2.0-85080036476,0,0,0,0
2-s2.0-85069893235,2,19,1,1
2-s2.0-85067364793,2,4,1,1
2-s2.0-85060097056,2,14,1,1
2-s2.0-85076257133,4,18,1,1
2-s2.0-85055752917,4,33,1,1
2-s2.0-85072533626,2,1,1,1
2-s2.0-85073089044,2,7,1,1
2-s2.0-85062215436,2,2,1,1
2-s2.0-85071713323,5,5,1,1
2-s2.0-85065247361,0,2,0,1
2-s2.0-85063261148,2,49,1,1
2-s2.0-85058175798,3,21,1,1
2-s2.0-85073772327,2,1,1,1
2-s2.0-85071784272,4,3,1,1
2-s2.0-85072914648,6,21,1,1
2-s2.0-85050649861,5,8,1,1
2-s2.0-85089342218,0,6,0,1
2-s2.0-85064489329,4,53,1,1
2-s2.0-85085722951,0,1,0,1
2-s2.0-85063088645,0,1,0,1
2-s2.0-85073696844,3,5,1,1
2-s2.0-85069891767,3,1,1,1
2-s2.0-85063012596,0,23,0,1
2-s2.0-85078119559,0,0,0,0
2-s2.0-85061480801,0,25,0,1
2-s2.0-85071437292,5,17,1,1
2-s2.0-85074712611,0,1,0,1
2-s2.0-85062345412,0,9,0,1
2-s2.0-85062430305,121,28,1,1
2-s2.0-85067017648,4,3,1,1
2-s2.0-85064818157,0,0,0,0
2-s2.0-85045426434,1,13,1,1
2-s2.0-85073716817,0,32,0,1
2-s2.0-85068390940,6,3,1,1
2-s2.0-85082973748,0,4,0,1
2-s2.0-85077174537,2,6,1,1
2-s2.0-85047273580,7,11,1,1
2-s2.0-85070300826,3,13,1,1
2-s2.0-85076627203,6,2,1,1
2-s2.0-85094843247,7,28,1,1
2-s2.0-85069891461,4,5,1,1
2-s2.0-85065510119,2,10,1,1
2-s2.0-85053145804,4,10,1,1
2-s2.0-85063263329,3,10,1,1
2-s2.0-85077846727,6,18,1,1
2-s2.0-85079102942,0,4,0,1
2-s2.0-85074305732,2,0,1,0
2-s2.0-85074402046,103,10,1,1
2-s2.0-85072999939,4,3,1,1
2-s2.0-85054599435,0,41,0,1
2-s2.0-85073876087,3,0,1,0
2-s2.0-85064531267,4,12,1,1
2-s2.0-85061432522,0,23,0,1
2-s2.0-85078411597,5,4,1,1
2-s2.0-85067048587,3,51,1,1
2-s2.0-85085448386,0,0,0,0
2-s2.0-85068110315,0,99,0,1
2-s2.0-85071395565,0,4,0,1
2-s2.0-85073707620,1,3,1,1
2-s2.0-85067897990,6,7,1,1
2-s2.0-85065861352,5,9,1,1
2-s2.0-85056085391,4,14,1,1
2-s2.0-85073480047,3,12,1,1
2-s2.0-85075036916,9,4,1,1
2-s2.0-85067179317,6,11,1,1
2-s2.0-85056194820,5,1,1,1
2-s2.0-85054445261,2,38,1,1
2-s2.0-85064478761,2,12,1,1
2-s2.0-85073221169,0,5,0,1
2-s2.0-85052102693,3,0,1,0
2-s2.0-85069742838,4,13,1,1
2-s2.0-85075031342,0,0,0,0
2-s2.0-85077813551,0,0,0,0
2-s2.0-85062982130,1,0,1,0
2-s2.0-85064206214,0,3,0,1
2-s2.0-85067195685,4,2,1,1
2-s2.0-85078153573,5,4,1,1
2-s2.0-85055533858,5,4,1,1
2-s2.0-85071703411,3,2,1,1
2-s2.0-85084226149,5,5,1,1
2-s2.0-85066247138,5,2,1,1
2-s2.0-85015243919,3,41,1,1
2-s2.0-85064982099,3,10,1,1
2-s2.0-85063431017,0,0,0,0
2-s2.0-85067407472,2,9,1,1
2-s2.0-85075062517,3,22,1,1
2-s2.0-85067363335,1,32,1,1
2-s2.0-85077050811,2,6,1,1
2-s2.0-85074097306,6,28,1,1
2-s2.0-85068482297,6,19,1,1
2-s2.0-85097671804,0,1,0,1
2-s2.0-85065676157,0,7,0,1
2-s2.0-85062346155,5,5,1,1
2-s2.0-85065162337,117,64,1,1
2-s2.0-85077453707,2,1,1,1
2-s2.0-85068188127,6,1,1,1
2-s2.0-85072300230,5,1,1,1
2-s2.0-85101912383,6,1,1,1
2-s2.0-85071105530,4,2,1,1
2-s2.0-85069913989,0,14,0,1
2-s2.0-85066024897,4,7,1,1
2-s2.0-85050766406,4,42,1,1
2-s2.0-85066106684,4,35,1,1
2-s2.0-85085520572,0,1,0,1
2-s2.0-85077298558,0,7,0,1
2-s2.0-85069462515,4,18,1,1
2-s2.0-85063037528,6,15,1,1
2-s2.0-85059339370,4,48,1,1
2-s2.0-85068956789,5,24,1,1
2-s2.0-85071660821,4,2,1,1
2-s2.0-85064902833,109,60,1,1
2-s2.0-85070886322,5,3,1,1
2-s2.0-85076266348,1,5,1,1
2-s2.0-85073703330,2,6,1,1
2-s2.0-85059137079,0,25,0,1
2-s2.0-85079842074,0,3,0,1
2-s2.0-85086025052,0,3,0,1
2-s2.0-85077555744,2,7,1,1
2-s2.0-85069440912,0,2,0,1
2-s2.0-85062910316,5,15,1,1
2-s2.0-85059016897,0,43,0,1
2-s2.0-85068898407,4,24,1,1
2-s2.0-85045511559,6,1,1,1
2-s2.0-85064956808,5,3,1,1
2-s2.0-85071065885,0,8,0,1
2-s2.0-85073543690,10,93,1,1
2-s2.0-85076266734,2,2,1,1
2-s2.0-85079841061,0,1,0,1
2-s2.0-85059554222,7,78,1,1
2-s2.0-85077441477,0,1,0,1
2-s2.0-85068108014,0,1,0,1
2-s2.0-85101929331,0,1,0,1
2-s2.0-85072295316,4,8,1,1
2-s2.0-85069935033,5,8,1,1
2-s2.0-85070782750,0,10,0,1
2-s2.0-85066111776,3,15,1,1
2-s2.0-85070097902,2,6,1,1
2-s2.0-85049356769,3,43,1,1
2-s2.0-85040863759,7,13,1,1
2-s2.0-85063862068,3,52,1,1
2-s2.0-85064968796,2,14,1,1
2-s2.0-85067455129,0,18,0,1
2-s2.0-85075060781,5,17,1,1
2-s2.0-85085726088,0,0,0,0
2-s2.0-85077085511,5,31,1,1
2-s2.0-85074140280,0,2,0,1
2-s2.0-85068986259,4,3,1,1
2-s2.0-85076695425,2,8,1,1
2-s2.0-85065494200,2,0,1,0
2-s2.0-85059681158,0,18,0,1
2-s2.0-85064612342,112,230,1,1
2-s2.0-85064193969,4,0,1,0
2-s2.0-85067200942,5,0,1,0
2-s2.0-85078155439,0,0,0,0
2-s2.0-85055554891,5,8,1,1
2-s2.0-85071687238,0,3,0,1
2-s2.0-85084206373,0,0,0,0
2-s2.0-85066095262,7,4,1,1
2-s2.0-85072023007,5,11,1,1
2-s2.0-85075030210,6,20,1,1
2-s2.0-85067196504,3,8,1,1
2-s2.0-85056760703,7,11,1,1
2-s2.0-85063979548,0,0,0,0
2-s2.0-85062336997,4,6,1,1
2-s2.0-85072104903,0,0,0,0
2-s2.0-85046645686,7,1,1,1
2-s2.0-85075028245,5,6,1,1
2-s2.0-85069749123,4,1,1,1
2-s2.0-85062921369,0,4,0,1
2-s2.0-85077816228,0,0,0,0
2-s2.0-85078414536,2,2,1,1
2-s2.0-85067086207,3,3,1,1
2-s2.0-85068148189,0,1,0,1
2-s2.0-85085418896,0,10,0,1
2-s2.0-85073752665,3,16,1,1
2-s2.0-85071385594,5,0,1,0
2-s2.0-85058144806,3,62,1,1
2-s2.0-85056121029,0,0,0,0
2-s2.0-85065734217,5,4,1,1
2-s2.0-85065523854,0,8,0,1
2-s2.0-85069876793,8,10,1,1
2-s2.0-85051667533,0,17,0,1
2-s2.0-85063137635,3,6,1,1
2-s2.0-85078065052,4,5,1,1
2-s2.0-85079103983,3,0,1,0
2-s2.0-85074305022,10,2,1,1
2-s2.0-85079901860,1,1,1,1
2-s2.0-85072854179,2,25,1,1
