Agency_Name,Country
Chulalongkorn University-ASEAN Scholarship 2020,Thailand
Chulalongkorn University-Dussadeepipat Scholarship,Thailand
Chulalongkorn University-Faculty of Veterinary Science Research Fund,Thailand
Chulalongkorn University-Veterinary Science Fund,Thailand
Chulalongkorn University-Veterinary Science Research Fund,Thailand
Chulalongkorn University.National Nanotechnology Center,Thailand
Chulalongkorn University/King Chulalongkorn Memorial Hospital,Thailand
Chulalongkorn University/Ratchadaphiseksomphot Endowment Fund,Thailand
Chulalongkorn University?s CUniverse,Thailand
Chulalongkorn UniversityGB-CU-61-12-30-02,Thailand
Chulalongkorn University_FRB640001_01_31_6,Thailand
Chulalongkorn Universitys Ratchadapiseksompot Endowment Fund,Thailand
Chulalongkorn UniversitythFund,Thailand
Chulalongkorn Universityʼs CUniverse,Thailand
Chulalongkorn University‐Veterinary Science Research Fund,Thailand
Chulalongkorn University’s CUniverse,Thailand
Chulalongkorn University’s Health Research Cluster,Thailand
Chulalongkorn University’s TSRI,Thailand
Chulalongkorn Univesity,Thailand
Chulalongkorn Uni‐ versity,Thailand
Chulalongkorn Vaccine Research Center,Thailand
Chulalongkorn academic advancement,Thailand
Chulalongkorn university,Thailand
Chulalongkorn university Grant for Development of New Faculty Staff and ratchadaphiseksomphot Endowment Fund and Science Engineering and research Board,Thailand
Chulalongkorn university dusadi phipat,Thailand
Chulalongkorn university fund,Thailand
ChulalongkornUniversity,Thailand
Chulalongkornik University,Thailand
Chulalongkron University,Thailand
Chulalongorn University,Thailand
Chulanlongkorn University,Thailand
Chulaongkorn Academic Advancement,Thailand
Chum Phae Hospital,Thailand
Chung Shan Medical University,Taiwan
Chung-Ang University,South Korea
Chung-Ang University Research,South Korea
Ci?ncia e Tecnologia,Brazil
Ci?ncia e a Tecnologia,Portugal
Cincinnati Children's Hospital Medical Center,United States
Cincinnati Children's Research Foundation,United States
Cirad Research Institute,France
Circles of Knowledge Club,Thailand
Citeq Inc.,United States
Citius Pharmaceuticals,United States
City,United Kingdom
City University of Hong Kong,Hong Kong
City University of Technology,Thailand
"City, University of London",The United Kingdom
Civitan Norges Forskningsfond for Alzheimers sykdom,Norway
Clean Energy Technologies Research Institute,United States
Clinica Veterinaria Roma Sud,Italy
Clinical Research Plan of SHDC,China
Clinixir Co. Ltd,Thailand
Clintrex LLC,United States
Clorox Company,United States
Clovis Oncology,United States
Cluster Ratchadapisek Sompotch Endowment Fund,Thailand
Cluster and Program Management Office,Thailand
Cluster and Programme Management Office,Thailand
Cluster of Excellence on Biodiversity based Economics and Society,Germany
Co. Ltd.,China
CoHASS,Singapore
Coastal Carolina University,The United States
Coastal Fisheries Research and Development Center,Thailand
Coax Group Corporation Co.,Thailand
Coax Group Corporation Co. LTD,Thailand
Coax Group Corporation Ltd,Thailand
"Cognitive Fitness Center, Chulalongkorn Hospital",Thailand
Cognitive Science and Innovation Research Unit,Thailand
Coimbra Institute for Biomedical Imaging and Translational Research,Portugal
Cole Eye Institute,United States
Colgate University’s Rakin Fund,United States
Colgate University’s Research Council,United States
Colgate-Palmolive Company,United States
Collaborating Center for Labor Research at Chulalongkorn University,Thailand
Collaborating Centre for Labor Research at Chulalongkorn University,Thailand
Collaborative Initiative for Paediatric HIV Education and Research,Thailand
Collaborative Innovation Center of Suzhou Nano Science and Technology,China
"Collaborative Innovation of Industry, University and Research Institute Major Program of Guangzhou",China
Collaborative Research Centre 956,Germany
Collaborative Research Fund,Hong Kong
Collaborative Research Survey on Marine Fisheries Resources and Marine Environment in the Gulf of Thailand,Thailand
"Collaborative Research in Engineering, Science and Technology",Malaysia
College and Graduate School of Arts and Sciences,The United States
College of Advanced Manufacturing Innovation,Thailand
College of Agriculture and Life Science,United States
"College of Arts and Sciences, University of Nebraska-Lincoln",The United States
College of Industrial Technology,Thailand
College of Industrial Technology,Philippines
"College of Medicine, Qassim University",Saudi Arabia
"College of Natural Resources and Sciences, Humboldt State University",United States
College of Polymer Science and Polymer Engineering National Polymer Innovation Center,United Kingdom
College of Public Health,The United States
College of Public Health Sciences,Thailand
College of Public Health Sciences,United States
College of Science SciRIS-II,United States
College of Science SciRIS‐II,United States
College of Tropical Agriculture and Human Resources,United States
College of Veterinary Medicine,United States
Collins Medical Trust,United States
Colorado Department of Public Health and Environment,The United States
Colorado State University,United States
Colorado State University,The United States
Colorado State University and BP Exploration Operating Company Ltd,United States
Columbia Physicians & Surgeons,United States
Columbia University,United States
Comisión Nacional de Investigación Científica y Tecnológica,Chile
Commissariat à l'Énergie Atomique et aux Énergies Alternatives,France
Commissariat à l’Énergie Atom-ique et aux Énergies Alternatives,France
Commissariat à l’Énergie Atomique et aux Énergies Alternatives,France
Commission for Higher Education,Thailand
"Commission for Higher Education, Thailand Ministry of Education",Thailand
Commission of Higher Education,Thailand
"Commission of Higher Education, Ministry of Higher Education, Science, Research and Innovation",Thailand
Commission on Higher Education,Thailand
Commission on Higher Education,Philippines
"Commission on Higher Education , Ministry of Education",Philippines
Commission on Higher Education and Thailand Research Fund,Thailand
"Commission on Higher Education, Ministry of Education",Philippines
"Commission on Higher Education, Ministry of Education of Thailand",Thailand
"Commission on Higher Education, Thailand",Thailand
"Commission on Higher Education, Thailand Research Fund",Thailand
Commission on Life Sciences,United States
Commissioned Health and Medical Research Fund,Australia
Commonwealth Scientific and Industrial Research Organisation,Australia
Community Support Board III,United States
Compagnia di San Paolo,Italy
Companion Animal Cancer Research Unit,Thailand
Complementary Medicines Australia,Australia
"Comprehensive Cancer Center, University of Michigan",The United States
Comprehensive International Program of Research on AIDS Network,United States
Comprehensive Local Research Network UK,United Kingdom
Compute Canada,Canada
Computer Science and Information Technology Department,Thailand
Comunidad de Madrid,Spain
Concept Foundation,United States
Concrete and Materials Testing Laboratory,Thailand
Conductive and Electroactive Polymer Research Unit,Thailand
Conquer Cancer Foundation,United States
Conseil Européen pour la Recherche Nucléaire,Switzerland
Conseil National de la Recherche Scientifique,Lebanon
Conseil Régional de Bretagne,France
"Consejería de Educación, Juventud y Deporte of Comunidad de Madrid",Spain
Consejo Nacional de Ciencia Tecnología,Mexico
Consejo Nacional de Ciencia y Tecnolo-gía,Mexico
Consejo Nacional de Ciencia y Tecnolog?a,Mexico
Consejo Nacional de Ciencia y Tecnología,Mexico
"Consejo Nacional de Innovación, Ciencia y Tecnología",Uruguay
Consejo Nacional de Investigaciones Científicas y Técnicas,Argentina
Conselho Nacional de Desenvolvimento Cient?fico e Tecnol?gico,Brazil
Conselho Nacional de Desenvolvimento Científico e Tecnològico in Brazil,Brazil
Conselho Nacional de Desenvolvimento Científico e Tecnológico,Brazil
Conselho Nacional de Pesquisa e Desenvolvimento,Brazil
Consortium des Equipements de Calcul Intensif en Fédération Wallonie Bruxelles,Belgium
Consorzio per la Fisica,Italy
"Construction Research Center, Universiti Teknologi Malaysia",Malaysia
Construction and Building Materials Research Center of King Mongkut's University of Technology North Bangkok,Thailand
Convocatoria Ciencia Básica SEP-CONACyT,Mexico
Cooley's Anemia Foundation,United States
Cooperation Research Program of Primate Research Institute,Japan
"Cooperation Research Program of the Wildlife Research Center, Kyoto University",Japan
Cooperation Research Programs of Wildlife Research Center,Japan
Cooperative Research Centre,Australia
Cooperative Research Centre for Mental Health,Australia
Cooperative Research Program of “Network Joint Research Center for Materials and Devices,Japan
Cooperative Research Programs of the Wildlife Research Center,United States
Cooperative Research Project of the Research Center for Biomedical Engineering,Japan
Coordenac¸ão de Aper-feic¸oamento de Pessoal de Nível Superior,Brazil
Coordenac¸ão de Aperfeic¸oamento de Pessoal de Ńıvel Superior,Brazil
Coordenação de Aperfei-çoamento de Pessoal de Nível Superior,Brazil
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,Brazil
Coordinaci?n General Acad?mica e Innovaci?n,Mexico
Coordinación General Académica e Innovación,Mexico
Coordinación General Académica of the Universidad de Guadalajara,Mexico
Coordinación General Académica y de Innovación,Mexico
Coordinación de la Investigación Científica de la Universidad Michoacana,Mexico
Coordinating Center for Thai Government Science and Technology,Thailand
Coordination for The Improvement of Higher Level of Education,Brazil
Coordination for the Improvement of Higher Education Personnel,Brazil
Coordination for the Improvement of Higher Level of Education Personnel,Brazil
Copenhagen Business School,Denmark
Copenhagen University,Denmark
Cordaid Netherlands,Netherlands
Core,United States
Core Research Cluster of Disaster Science in Tohoku University,Japan
Core Research for Evolutional Science and Technology,Japan
Cornell Society for the Humanities,United States
Cornell University,United States
"Cosmeceutical Research, Development and Testing Center",Thailand
"Cosmeceutical Research, Development and Testing Centre",Thailand
Cosmetic Surgery Foundation,The United States
Cosmetology Research Foundation,Japan
"Cosmos Technical Center Co., Ltd.",Thailand
Costa Rica Institute of Technology,Costa Rica
Council for International Organizations of Medical Sciences,Switzerland
Council for Science and Technology Policy,Japan
"Council for Science, Technology and Innovation",Japan
"Council for Science, Technology, and Innovation",Japan
Council for Scientific and Industrial Research,South Africa
Council of Higher Education 100/2000,Turkey
Council of Science and Industrial Research,India
Council of Science and Industrial Research,South Korea
Council of Scientific and Industrial Research,India
"Council of Scientific and Industrial Research, India",India
Council of Thailand,Thailand
Council of University,Thailand
Creative Commons Attribution License,United States
"Croatian Ministry of Science, Education and Sport",Croatia
"Croatian Ministry of Science, Education, and Sport",Croatia
"Croatian Ministry of Science, Education, and Sports",Croatia
Croatian Science Foundation,Croatia
Crohn’s and Colitis Foundation,United States
Cross-ministerial Strategic Innovation Promotion Program,Japan
Crown Property Bureau,Thailand
Crown Property Bureau Foundation,Thailand
Crown Property Bureau of Thailand,Thailand
CrystalLyte Co. Ltd.,Thailand
"CrystalLyte Co., Ltd.",Thailand
CuraSen,United States
Curasen Therapeutics,United States
Cure Parkinson's Trust,United Kingdom
Curtin University,Australia
Curtin University of Technology,Australia
Curtin University’s,Australia
Cystic Fibrosis Foundation,United States
CytomX,United States
Czech Academy of Sciences,Czechia
Czech Ministry of Education,Czechia
"Czech Ministry of Education, Youth, and Sports",Czech Republic
Czech Republic,Czech Republic
Czech Science Foundation,Czechia
Cátedra EMALCSA-UDC,Spain
D. Whitaker of Newcastle University,United Kingdom
DAAD,Germany
DAAD society,Germany
DAAD-Deutscher Akademischer Austauschdienst,Germany
DAE,India
DAIDS,United States
DBT,India
DBV Technologies,France
DCI,United States
DDBJ,Japan
DDPM,Thailand
DENFREE Thailand,Thailand
DFF,United States
DFG,Germany
DFG,United States
DFG priority program 1573,Germany
DFG‐SKLM,Germany
DGAKI,Germany
DGAPA,Mexico
DGAPA UNAM,Mexico
DGAPA-UNAM,Mexico
DGIS-UNESCO-IHE Programmatic Cooperation,Netherlands
DGIST R&D program,South Korea
DGTI,Germany
DHHS,United States
DHSC,United Kingdom
DIKBUDRISTEK,Indonesia
DISAT,Italy
DJCLS,Germany
DLR,Germany
DLR-PT,Germany
DLSHSI-AKMRC,Philippines
DMF Co. Ltd,Thailand
DMI,United States
DMR,Myanmar
DMSc,Thailand
DNDi,Switzerland
DNL Cooperation Fund,United States
DNP,Thailand
DNRF,Denmark
DOD,United States
DOE,United States
DOE Office of Science,United States
DOE Public Access Plan,United States
DOE-BES,United States
DOST,Philippines
DOST-ASTHRDP,Philippines
DOST-PCIEERD,Philippines
DOST-SEI,Philippines
DOST‐ASTHRDP,Philippines
DOST‐PCIEERD,Philippines
DOST‐PCIEERD) of the Philippines,Philippines
DOST‐SEI,Philippines
DPST,Thailand
DRC,United States
DRPM UI's,Indonesia
DRPM UI’s,Indonesia
DSF,Denmark
DSR,Australia
DSREC,United Arab Emirates
DSS,United States
DST,India
DST-FIST,India
DST-PURSE-II,India
DST-SERB,India
DTI,United Kingdom
DTRA BTRP,United States
DU-DST,India
DaVita Deutschland AG,Germany
Daiichi,Japan
"Daiichi Kigenso Kagaku Kogyo Co., Ltd.",Japan
Daiichi Sankyo,Japan
Daiichi Sankyo,Germany
Daiichi Sankyo and Sanofi,Japan
Daimler and Benz Foundation,Germany
Dairy Farming Promotion Organization of Thailand,Thailand
Dairy Herd Health and Food Safety Funds,United States
Dalian Medical University,China
Dalian National Laboratory For Clean Energy,China
Dalian Science and Technology Bureau,China
Dalian Women's Research Project,China
Dana-Farber/Harvard Cancer Center Support,United States
Danish Council for Independent Research,Denmark
Danish Medical Research Council,Denmark
Danish National Research Foundation,Denmark
Danish Society of Allergology,Denmark
Danish e-Infrastructure Cooperation,Denmark
Danmarks Frie Forskningsfond,Denmark
Danone - Nutricia Research,The Netherlands
Danone Nutricia Research,The Netherlands
"Danone Nutricia Research , Utrecht",Netherlands
Danone Nutricia Research employee,Netherlands
"Danone Nutricia Research, Utrecht",Netherlands
Danone/Nutricia,France
Danube Allergy Research Cluster,Austria
Data Management Center of King Chulalongkorn Memorial Hospital,Thailand
Data Safety Monitoring Committee,United States
Data Safety and Monitoring Board,United States
David Geffen School of Medicine at UCLA,United States
"David Geffen School of Medicine, UCLA",United States
David and Lucile Packard Foundation,United States
David and Lucille Packard Foundation,United States
Davis Phinney Foundation,United States
Deakin University,Australia
Deanship of Scientific Research at King Khalid University,Saudi Arabia
Deanship of scientific research at King Khalid University,Saudi Arabia
Deemed to be University,India
Deep Carbon Observatory,United States
Defense Science and Technology Department,Australia
Defense Technology Institute,Thailand
Defense Threat Reduction Agency,United States
Dehydration of Foods and Biomaterials Unit,Thailand
Dementia Drug Resources Development Center,Thailand
Denali Therapeutics,United States
Dengue Expert Advisory Group Pakistan,Pakistan
Denmark— Villum Fonden,Denmark
Dental Association of Thailand,Thailand
Dental Innovation Foundation,United States
Dental Innovation Foundation under Royal Patronage,United Kingdom
"Dental Material Research and Development Center, Faculty of Dentistry, Chulalongkorn University",Thailand
Dental Pulp and Bone Cells Research Unit,Thailand
Dental materials R&D center and Dental Stem Cell Biology Research Unit,Thailand
Dentistry Chulalongkorn University,Thailand
"Departamento Administrativo de Ciencia, Tecnología e Innovación",Colombia
"Departamento Administrativo de Ciencia, Tecnología e Innovación (COLCIENCIAS)",Colombia
"Departamento de Ingeniería Mecánica, Universidad de Chile",Chile
"Department for Clinical Epidemiology and Biostatistics, Faculty of Medicine Ramathibodi Hospital",Thailand
Department for International Development,United Kingdom
"Department for International Development, UK",United Kingdom
"Department for International Development, UK Government",The United Kingdom
Department of Agriculture and Rural Development,United Kingdom
"Department of Agriculture, Australian Government",Australia
Department of Anaesthesia and Intensive Care at Copenhagen University Hospital,Denmark
"Department of Anatomy, Faculty of Dentistry, Chulalongkorn University",Thailand
"Department of Anatomy, Faculty of Medicine, Chulalongkorn University",Thailand
"Department of Anti?Aging and Regenerative Science, School of Anti?Aging and Regenerative Medicine, Mae Fah Luang University",Thailand
"Department of Anti‐Aging and Regenerative Science, School of Anti‐Aging and Regenerative Medicine, Mae Fah Luang University",Thailand
"Department of Aquaculture, Faculty of Fisheries, Kasetsart University",Thailand
Department of Atomic Energy,India
"Department of Atomic Energy, Government of India",India
Department of Bioethics,United States
Department of Biomedical Sciences Neuroscience Research Institute Seoul National University College of Medicine Seoul 03080,South Korea
Department of Biotechnology,India
"Department of Biotechnology, Ministry of Science and Technology, Government of India",India
"Department of Biotechnology, Thiruvalluvar University",India
"Department of Botany, Faculty of Science, Chulalongkorn University",Thailand
"Department of Botany, University of Calcutta",India
Department of Chemical Engineering,Malaysia
Department of Chemical Engineering,Australia
Department of Chemical Engineering Khon Kaen University,Australia
"Department of Chemical Engineering, Chulalongkorn University",Thailand
"Department of Chemical Engineering, Department of Chemical Engineering, Faculty of Engineering, Prince of Songkla University",Thailand
"Department of Chemical Engineering, Faculty of Engineering Ubon Ratchathani University",Thailand
"Department of Chemical Engineering, Faculty of Engineering and Industrial Technology",Thailand
"Department of Chemical Engineering, Faculty of Engineering, Chulalongkorn University",Thailand
"Department of Chemical Engineering, Faculty of Engineering, Chulalongkorn University, Thailand",Thailand
"Department of Chemical Engineering, Faculty of Engineering, Prince of Songkla University",Thailand
"Department of Chemical Engineering, Kasetsart University",Thailand
"Department of Chemical Engineering, Kasetsart University",Australia
"Department of Chemical Science and Engineering , School of Materials and Chemical Technology",Japan
"Department of Chemical Science and Engineering, School of Materials and Chemical Technology",Japan
"Department of Chemical Technology, Chulalongkorn University",Thailand
"Department of Chemical Technology, Faculty of Science, Chulalongkorn University",Thailand
"Department of Chemical and Biochemical Engineering, Technical University of Denmark",Denmark
"Department of Chemical and Biomolecular Engineering, Faculty of Engineering",Australia
"Department of Chemical and Environmental Engineering, Universiti Putra Malaysia",Malaysia
"Department of Chemical and Process Engineering, University of Canterbury",New Zealand
Department of Chemistry,United Kingdom
Department of Chemistry Korea University Seoul 02841,South Korea
"Department of Chemistry and Scientific Equipment Center, Faculty of Science, Kasetsart University",Thailand
"Department of Chemistry, Faculty of Science, Chiang Mai University",Thailand
"Department of Chemistry, Faculty of Science, Chulalongkorn University",Thailand
"Department of Chemistry, Faculty of Science, Mahidol University",Thailand
"Department of Chemistry, Faculty of Science, Prince of Songkla University and Center of Excellence on Catalysis and Catalytic Reaction Engineering, Faculty of Engineering, Chulalongkorn University",Thailand
"Department of Chemistry, Faculty of Science, Srinakharinwirot University",Thailand
"Department of Chemistry, Faculty of Science, Thaksin University",Thailand
"Department of Chemistry, Kasetsart University",Thailand
Department of Civil Engineering at Curtin University,Australia
"Department of Civil Engineering, Chulalongkorn University",Thailand
"Department of Civil Engineering, Faculty of Engineering, Chulalongkorn University",Thailand
"Department of Civil and Environmental Engineering, Faculty of Engineering, Srinakharinwirot University",Thailand
"Department of Civil and Environmental Engineering, Universitas Gadjah Mada",Indonesia
"Department of Clinical Epidemiology and Biostatistics, Faculty of Medicine, Mahidol University",Thailand
"Department of Clinical Epidemiology and Biostatistics, Faculty of Medicine, Ramathibodi Hospital, Mahidol University",Thailand
"Department of Clinical Tropical Medicine, Faculty of Tropical Medicine, Mahidol University",Thailand
"Department of Computer Engineering, Chulalongkorn University",Thailand
Department of Computer Sciences,Germany
Department of Cultural Promotion,Thailand
Department of Defense,United States
Department of Defense Small Business Innovation Research,United States
"Department of Dermatology, Tohoku University Graduate School of Medicine, Japan",Japan
Department of Disease Control,Thailand
Department of Diseases Control,Thailand
Department of Drainage and Sewerage,Thailand
"Department of Drug Discovery, Kitasato University",Japan
Department of Earth and Environmental Sciences,United States
Department of Education and Learning,United States
"Department of Education and Learning, Northern Ireland",United Kingdom
Department of Education and Training,Australia
Department of Education of Liaoning Province,China
Department of Education of Liaoning Province's Basic Research Projects of Liaoning Colleges and Universities,China
Department of Education of Liaoning Province?s Basic Research Projects of Liaoning Colleges and Universities,China
Department of Education of Liaoning Province’s Basic Research Projects of Liaoning Colleges and Universities,China
Department of Educational Technology and Communications,Thailand
"Department of Electrical Engineering, Chulalongkorn University",Thailand
Department of Energy,United States
Department of Energy and Climate Change,The United Kingdom
"Department of Energy, Environment and Climate Change",Canada
Department of Entomology,United States
Department of Environment,Australia
"Department of Environment and Geography, University of York",United Kingdom
"Department of Environmental Engineering, Chiang Mai University",Thailand
"Department of Environmental Engineering, Chulalongkorn University",Thailand
"Department of Environmental Engineering, Faculty of Engineering, of Chiang Mai University",Thailand
Department of Environmental Science,Pakistan
"Department of Environmental Science, Faculty of Science, Chulalongkorn University",Thailand
"Department of Environmental Science, Faculty of Science, Chulalongkorn university",Thailand
"Department of Environmental Sciences, Karakoram International University",Pakistan
"Department of Families, Housing, Community Services and Indigenous Affairs",Australia
"Department of Food Science, University of Massachusetts, Amherst",United States
Department of Foreign Affairs and Trade,Australia
Department of Geomatics,Thailand
Department of Health,United Kingdom
Department of Health,The United Kingdom
Department of Health Government Development Fund,United Kingdom
Department of Health Research and Development,Indonesia
Department of Health Service Support,Thailand
"Department of Health and Ageing, Australian Government",Australia
Department of Health and Human Service,United States
Department of Health and Human Services,United States
Department of Health and Human Services,Australia
Department of Health and Social Care,United Kingdom
"Department of Health, Australian Government",Australia
"Department of Home Economics, Faculty of Agriculture, Kasetsart University",Thailand
Department of Internal Medicine,United States
"Department of Internal Medicine, Maharaj Nakhon Sri Thammarat Hospital",Thailand
"Department of Internal Medicine, Siriraj Hospital",Thailand
"Department of Internal Medicine, Taksin Hospital",Thailand
Department of Internal Medicines,United States
Department of Laboratory Medicine at the University of Washington,United States
"Department of Laboratory Medicine, Chulalongkorn University",Thailand
"Department of Laboratory Medicine, Clinical Center",United States
Department of Land Development of Thailand,Thailand
"Department of Landscape Architecture and Environmental Planning, University of California, Berkeley",United States
Department of Livestock Development,Thailand
Department of Livestock and Development,Thailand
Department of Livestock and Fisheries,Laos
"Department of Macromolecular Science and Engineering, Case Western Reserve University",United States
Department of Marine Science,New Zealand
"Department of Marine Science, Faculty of Fisheries, Kasetsart University",Thailand
"Department of Marine Science, Faculty of Science, Chulalongkorn University",Thailand
"Department of Marine Science, Faculty of Science, Chulalongkorn University, Bangkok, Thailand e School of Environment and Natural Resource Sciences",Thailand
Department of Marine and Coastal Resources,Thailand
Department of Marine and Coastal Resources and Eastern Marine and Coastal Resources Research and Development Center,Thailand
Department of Materials Engineering at Kasetsart University,Thailand
"Department of Materials Science and Engineering, Faculty of Engineering and Industrial Technology",United Kingdom
"Department of Materials Science and Engineering, Faculty of Engineering and Industrial Technology",Thailand
"Department of Materials Science and Petrochemical and Polymer Science, Faculty of Science, Chulalongkorn University",Thailand
"Department of Materials Science, Faculty of Science, Chulalongkorn University",Thailand
"Department of Materials Science, Faculty of Science, Kasetsart University",Thailand
"Department of Mathematics and Computer Science, Faculty of Science, Chulalongkorn University",Thailand
"Department of Mechanical Engineering, Chulalongkorn University",Thailand
"Department of Mechanical and Industrial Engineering, University of Toronto",Canada
Department of Medical Sciences,Thailand
Department of Medical Serv-ices,Thailand
Department of Medical Service,Thailand
Department of Medical Services Fund,Thailand
"Department of Medical Technology, Chiang Mai University",Thailand
Department of Medicine,United States
"Department of Medicine, Chaophraya Abhaibhubejhr Hospital",Thailand
"Department of Medicine, Chaophya Abhaibhubejhr Hospital",Thailand
"Department of Medicine, Chaophya Abhaiphubejhr Hospital",Thailand
"Department of Medicine, Faculty of Medicine, Chulalongkorn University",Thailand
"Department of Medicine, King Taksin Memorial Hospital",Thailand
"Department of Medicine, Phayao Hospital",Thailand
"Department of Medicine, Phramongkutklao Hospital",Thailand
"Department of Medicine, Sunpasitthiprasong Hospital",Thailand
"Department of Medicine, Trat Hospital",Canada
"Department of Medicine, University of Illinois",United States
"Department of Microbiology and Immunology, Faculty of Tropical Medicine, Mahidol University",Thailand
Department of Microbiology and Parasitology,Thailand
Department of Microbiology at King Chulalongkorn Memorial Hospital,Thailand
"Department of Microbiology, Chulalongkorn University",Thailand
"Department of Microbiology, Faculty of Medicine, Chulalongkorn University",Thailand
"Department of Microbiology, Faculty of Science , Chulalongkorn University",Thailand
"Department of Microbiology, Faculty of Science, Chulalongkorn University",Thailand
"Department of Microbiology, Faculty of Science, Kasetsart University",Thailand
Department of Mineral Resources,United States
Department of Mining and Petroleum Engineering,Thailand
Department of Molecular Tropical Medicine and Genetics,Thailand
Department of National Park,Thailand
Department of National Park and Wildlife Conservation and Nepal Biodiversity Research Society,Nepal
Department of National Parks,Thailand
Department of National Parks Wildlife and Plant Conservation,Thailand
Department of Obstetrics and Gynecology,United States
"Department of Obstetrics and Gynecology, Faculty of Medicine, Chulalongkorn University",Thailand
"Department of Obstetrics, Gynaecology and Reproduction, Faculty of Veterinary Science, Chulalongkorn University",Thailand
"Department of Packaging and Materials Technology, Faculty of Agro-Industry",Thailand
Department of Pediatrics,United States
"Department of Pediatrics and Center of Excellence for Pediatric Infectious Diseases and Vaccines, Faculty of Medicine, Chulalongkorn University",Thailand
"Department of Periodontology, Chulalongkorn University",Thailand
"Department of Periodontology, Faculty of Dentistry, Chulalongkorn University",Thailand
"Department of Pharmacognosy and Pharmaceutical Botany, Faculty of Pharmaceutical Sciences",Thailand
"Department of Pharmacology and Physiology, Faculty of Pharmaceutical Sciences",Thailand
Department of Physics,United States
"Department of Physiology, Faculty of Dentistry, Chulalongkorn University",Thailand
Department of Psychiatry and Behavioral Sciences,United States
"Department of Psychiatry, Faculty of Medicine, Chulalongkorn University",Thailand
Department of Psychology at Aberystwyth University,United Kingdom
"Department of Psychology, University of Gothenburg",Sweden
Department of Radiology,United States
"Department of Research, Faculty of Medicine Siriraj Hospital, Mahidol University",Thailand
Department of Retrovirology,Thailand
Department of Science,Italy
Department of Science & Technology,India
Department of Science Service,Thailand
Department of Science and Technology,India
Department of Science and Technology,Philippines
Department of Science and Technology - Fund for Improvement of S&T Infrastructure in Universities and Higher Educational Institutions,India
"Department of Science and Technology Philippine Council for Industry, Energy, and Emerging Technology Research and Development",Philippines
Department of Science and Technology Promotion of University Research & Scientific Excellence,Philippines
"Department of Science and Technology, Government of Rajasthan",India
"Department of Science and Technology, Government of West Bengal",India
"Department of Science and Technology, Ministry of Science and Technology",India
"Department of Science and Technology, Ministry of Science and Technology, India",India
Department of Science and Technology-National Research Foundation,Philippines
Department of Science and Technology-Philippine Council for Health Research and Development,Philippines
"Department of Science and Technology-Philippine Council for Industry, Energy, and Emerging Technology Research and Development",Philippines
"Department of Social and Environmental Medicine, Faculty of Tropical Medicine, Mahidol University",Thailand
Department of Surgery,United States
"Department of Textile Engineering, Faculty of Engineering",Thailand
Department of Thai Traditional Medicine,Thailand
"Department of Thai Traditional and Alternative Medicine, Ministry of Public Health",Thailand
"Department of Traditional Medicine, Ministry of Health and Sports",Myanmar
Department of Veterans Affairs,United States
Department of Veterans Affairs Office of Research and Development,United States
Department of Veterinary Medicine of AFRIMS,Thailand
"Department of Veterinary Medicine, Faculty of Veterinary Science, Chulalongkorn University",Thailand
"Department of Veterinary Medicine, Faculty of Veterinary Science, Chulalongkorn University",Egypt
"Department of Veterinary Microbiology, Faculty of Veterinary Science",Thailand
"Department of Veterinary Microbiology, Faculty of Veterinary Science, Chulalongkorn University",Thailand
"Department of Veterinary Science, Faculty of Agriculture",Thailand
"Department of Virology, Faculty of Veterinary Medicine Chulalongkorn University",Thailand
Department of Water Resources,United States
Department of Water Resources Engineering and Water Resources System Unit,United States
"Department of Zoology, Faculty of Science, Kasetsart University",Thailand
Department of the National Parks,Thailand
"Departments of Microbiology, Faculty of Science, Prince of Songkla University",Thailand
Departments of Veterans Affairs,Australia
Departments of Veterans Affairs,United States
Departments of Veterans' Affairs,Australia
Dermatological Society of Thailand,Thailand
Desarrollo e Innovación and Programa Consolider-Ingenio 2010,Spain
Detudom Royal Crown Prince Hospital,Thailand
Deutsche Forschungs-gemeinschaft,Germany
Deutsche Forschungsgemein-schaft,Germany
Deutsche Forschungsgemeinschaft,Germany
Deutsche Forschungsgesellschaft DFG,Germany
Deutsche Jose Carreras Leukämie Stiftung,Germany
Deutsche Parkinson Vereinigung,Germany
Deutscher Allergie‐ und Asthmabund eV,Germany
Development and Promotion of Science Technology Talents,Thailand
Development and Promotion of Science and Technology,Thailand
Development and Promotion of Science and Technology Talent Project,Thailand
Development and Promotion of Science and Technology Talent Projects,Thailand
Development and Promotion of Science and Technology Talented Project,Thailand
Development and Promotion of Science and Technology Talents,Thailand
Development and Promotion of Science and Technology Talents Project,Thailand
Development and Promotion of Science and Technology Talents Scholarship,Thailand
Development and Promotion of Science and Technology Talents project,Thailand
Development and Promotion of Science and technology Talents project,Thailand
Development of Chula New Faculty Staff,Thailand
Development of Higher Education Institutions Research and Innovation Creation,Thailand
Development of New Faculty Staff fund and Ratchadapiseksomphot Endowment Fund,Thailand
Dhaka Medical College Hospital,Bangladesh
Diabetes Association of Thailand,Thailand
Digital Business Development of Jiangsu Province,China
Digital Economy Promotion Agency,Thailand
Digital Economy Promotion Agency Thailand,Thailand
Digital Economy and Society Development Fund,Thailand
Dirección General de Cómputo y de Tecnologías de Información y Comunicación,Mexico
"Directorate General of Higher Education, Ministry of Education, Culture, Research, and Technology of the Republic of Indonesia",Indonesia
