Agency_Name,Mapped_Name,Country
"Centre of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University","Centre of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University",Thailand
Centre of Excellence in Mathematics,Thailand National Organization,Thailand
"Centre of Excellence in Mathematics , Ministry of Higher Education, Science, Research and Innovation",Thailand National Organization,Thailand
"Centre of Excellence in Mathematics, Ministry of Higher Education , Science, Research and Innovation",Thailand National Organization,Thailand
"Centre of Excellence in Mathematics, Ministry of Higher Education, Science, Research and Innovation",Thailand National Organization,Thailand
"Centre of Excellence in Plant Energy Biology, Australian Research Council","Centre of Excellence in Plant Energy Biology, Australian Research Council",Australia
Centre of Excellence on Biodiversity,Thailand National Organization,Thailand
"Centre of Excellence on Biodiversity, Thailand",Thailand National Organization,Thailand
Centre of Excellence on Hazardous Substance Management,Center,Thailand
Centre of Excellent in Clinical Virology,Thailand National Organization,Thailand
Centro de Excelencia Severo Ochoa Program,Centro de Excelencia Severo Ochoa Program,Spain
Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional,Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional,Mexico
Centus Biotherapeutics,Centus Biotherapeutics,United Kingdom
Cerntek Co. Ltd,Thailand National Organization,Thailand
"Cerntek Co., Ltd",Thailand National Organization,Thailand
Certara UK Limited,Certara UK Limited,United Kingdom
Ceteau (Thailand) Ltd.,Thailand National Organization,Thailand
Ch-ulalongkorn University,Ch-ulalongkorn University,Thailand
Chacheongsao Province,Thailand National Organization,Thailand
Chadarat Kleebchaiyaphum,Thailand National Organization,Thailand
Chaing Mai University,Chaing Mai University,Thailand
Chaipattana Foundation,Chaipattana Foundation,Thailand
Chaipattana Foundation's Bengal Goat Domestication Project,Chaipattana Foundation,Thailand
"Chaipattana Foundation, Chiang Rai province",Chaipattana Foundation,Thailand
Chaipattana Foundation’s Bengal Goat Domestication Project,Chaipattana Foundation,Thailand
Chaiyaphum Hospital,Thailand National Organization,Thailand
Chaiyaphum Rajabhat University,Chaiyaphum Rajabhat University,Thailand
Chakorn Viriyakul and Chuvich Chaovarin,Thailand National Organization,Thailand
Chakri Naruebodindra Medical Institute,Chakri Naruebodindra Medical Institute,Thailand
"Chalermphrakiat Grant, Faculty of Medicine Siriraj Hospital, Mahidol University","Chalermphrakiat Grant, Faculty of Medicine Siriraj Hospital, Mahidol University",Thailand
Chalmers University of Technology,Chalmers University,Sweden
Chalong Latex Industry Co. Ltd,Thailand National Organization,Thailand
"Chalong Latex Industry Co., Ltd.",Thailand National Organization,Thailand
Chaminade University,Chaminade University,United States
Chang Gung Memorial Hospital,Chang Gung Memorial Hospital,Taiwan
"Chang Gung Memorial Hospital, Taiwan",Chang Gung Memorial Hospital,Taiwan
Changhua Christian Hospital,Changhua Christian Hospital,Taiwan
Changsha Science and Technology Plan,Changsha Science and Technology Plan,China
Chaophaya Abhaiphubejhr Hospital,Thailand National Organization,Thailand
Chaophraya Abhaibhubejhr Hospital,Thailand National Organization,Thailand
Chaophraya Yommarat Hospital,Thailand National Organization,Thailand
Chaoprayayomraj Hospital,Thailand National Organization,Thailand
Charles Darwin University,Charles Darwin University,Australia
Charles University,Charles University,Czechia
Charles University Research Centre,Charles University,Czechia
Charles University Research Centre UNCE,Charles University,Czech Republic
Charoen Pokphand Food Public Co. Ltd.,Thailand National Organization,Thailand
Charoen Pokphand Foods,Thailand National Organization,Thailand
Charoen Pokphand Foods PCL,Thailand National Organization,Thailand
Charoen Pokphand Foods Public Co. Ltd.,Thailand National Organization,Thailand
Charoen Pokphand Group,Thailand National Organization,Thailand
Charoenkrung Pracharak Hospital,Thailand National Organization,Thailand
Chememan Public Company Limited,Thailand National Organization,Thailand
"Chemical Approaches for Food Applications Research Group , Chulalongkorn University","Chemical Approaches for Food Applications Research Group , Chulalongkorn University",Thailand
"Chemical Approaches for Food Applications Research Group, Chulalongkorn University","Chemical Approaches for Food Applications Research Group , Chulalongkorn University",Thailand
"Chemical Approaches for Food Applications Research Group, Faculty of Science, Chulalongkorn University","Chemical Approaches for Food Applications Research Group , Chulalongkorn University",Thailand
Cheng Hsin General Hospital,Cheng Hsin General Hospital,Taiwan
"Chengdu Institute of Biology, Chinese Academy of Sciences",Chengdu Institute,China
Chengdu Science and Technology,Chengdu Science and Technology,China
"Cherlermphrakiat Grant, Faculty of Medicine Siriraj Hospital",Thailand National Organization,Thailand
Chevron,Chevron,United States
Chevron Australia,Chevron Australia,Australia
"Chevron Energy Technology, Pty Ltd","Chevron Energy Technology, Pty Ltd",Australia
Chevron Inc.,Chevron Inc.,United States
Chiang Dao District Public Health Office,Thailand National Organization,Thailand
Chiang Mai Clinical Trial Unit,Chiang Mai University,Thailand
Chiang Mai Rajabhat University,Chiang Mai Rajabhat University,Thailand
Chiang Mai University,Chiang Mai University,Thailand
Chiang Mai University HIV Treatment,Chiang Mai University,Thailand
Chiang Mai University in Thailand,Chiang Mai University,Thailand
Chiang Mai university,Chiang Mai University,Thailand
Chiangmai University,Chiangmai University,Thailand
Chiba Institute of Technology International Academic Fellowship Program for Cooperative Universities,Chiba Institute,Japan
Chiba University,Chiba University,Japan
Chief Scientist’s Office,Chief Scientist’s Office,United Kingdom
Chiesi Pharmaceuticals,Chiesi Pharmaceuticals,Italy
Childhood Cancer Canada Foundation,Childhood Cancer Canada Foundation,Canada
Childhood Eye Cancer Trust,Childhood Eye Cancer Trust,United Kingdom
Children Cancer Fund,Children Cancer Fund,United States
Children with Cancer UK,Children with Cancer UK,United Kingdom
Children's Hospital Foundation,Children's Hospital Foundation,Australia
Children's Hospital of Philadelphia,Children's Hospital of Philadelphia,United States
"Children's Hospital, Singapore","Children's Hospital, Singapore",Singapore
Children's Specialists Foundation,Children's Specialists Foundation,The United States
Children's Specialists Foundation,Children's Specialists Foundation,United States
Children's Thalassaemia Foundation of Hong Kong,Children's Thalassaemia Foundation,Hong Kong
Children’s Hospital,Children's Hospital Foundation,United States
Children’s Thalassaemia Foundation of Hong Kong,Children's Thalassaemia Foundation,Hong Kong
Chilean Centro de Excelencia en Astrofísica y Tecnologías Afines,Chilean Centro de Excelencia en Astrofísica y Tecnologías Afines,Chile
Chilean Ministry of Education,Chilean Ministry of Education,Chile
Chimerix,Chimerix,United States
China Association for Science and Technology,China Association for Science and Technology,China
China Earthquake Administration,China Earthquake Administration,China
China Electric Power Research Institute,China Electric Power Research Institute,United States
China Electric Power Research Institute,China Electric Power Research Institute,China
China General Nuclear Power Group,China General Nuclear Power Group,China
China Higher Education Society,China Higher Education Society,China
China Higher Education Society of Medical Education,China Higher Education Society,China
China Light and Power Company,China Light and Power Company,China
China Medical Board,China Medical Board,United States
China Medical Board,China Medical Board,The United States
China Medical University,China Medical University,China
China Medical University,China Medical University,Taiwan
China Medical University Hospital,China Medical University,Taiwan
China Medical University and Hospital,China Medical University,Taiwan
"China Medical University, Taichung, Taiwan",China Medical University,Taiwan
China Mega-Project for Infectious Disease,China Mega-Project for Infectious Disease,China
China Natural Science Foundation,China Natural Science Foundation,China
China Natural Science Foundation Grant,China Natural Science Foundation,China
China Ophthalmology Society,China Ophthalmology Society,China
China Outstanding Engineer Training Plan for Students of Chemical Engineering & Technology in Hunan University,China Outstanding Engineer Training Plan for Students of Chemical Engineering & Technology in Hunan University,China
China Outstanding Engineer Training Plan for Students of Chemical Engineering and Technology in Hunan University,China Outstanding Engineer Training Plan for Students of Chemical Engineering & Technology in Hunan University,China
China Postdoctoral Science Foundation,China Postdoctoral Science Foundation,China
China Scholarship Council,China Scholarship Council,China
China University of Geosciences,China University,China
China's 1000 Young Talents Program,China's 1000 Young Talents Program,China
China-ASEAN Maritime Collaboration Fund,China-ASEAN Maritime Collaboration Fund,China
China-ASEAN Maritime Cooperation Fund,China-ASEAN Maritime Cooperation Fund,China
"China-Africa Center for Research and Education, Chinese Academy of Sciences",China-Africa Center,China
China-Indonesia Maritime Cooperation Fund,China-Indonesia Maritime Cooperation Fund,China
China-Pakistan Joint Research Center on Earth Sciences,China-Pakistan Joint Research Center,China
China‐EU Institute for Clean and Renewable Energy,China‐EU Institute,China
China’s 1000 Young Talents Program,China's 1000 Young Talents Program,China
Chinese Academy of Preventive Medicine,Chinese Academy,China
Chinese Academy of Sceitnces,Chinese Academy,China
Chinese Academy of Science,Chinese Academy,China
Chinese Academy of Sciences,Chinese Academy,China
Chinese Academy of Sciences Key Project,Chinese Academy,China
Chinese Academy of Sciences and Local Innovative and Research Teams Project of Guangdong Pearl River Talents Program,Chinese Academy,China
Chinese American Association of Ophthalmology,Chinese American Association of Ophthalmology,United States
Chinese Arctic and Antarctic Administration,Chinese Arctic and Antarctic Administration,China
Chinese Medical Association Medical Education Branch,Chinese Medical Association Medical Education Branch,China
Chinese Physical Society,Chinese Physical Society,China
Chinese Scholarship Council,Chinese Scholarship Council,China
Chinese University of Hong Kong,Chinese University,Hong Kong
Chintana Chirathaworn,Thailand National Organization,Thailand
Cholangiocarcinoma Foundation,Cholangiocarcinoma Foundation,United States
Chonburi Cancer Hospital,Thailand National Organization,Thailand
Chonburi Hospital,Thailand National Organization,Thailand
Chonburi Provincial Public Health Office,Thailand National Organization,Thailand
Chongqing Medical University,Chongqing Medical University,China
Chongqing Postdoctoral Special Foundation,Chongqing Postdoctoral Special Foundation,China
Chongqing Science and Technology Commission,Chongqing Science and Technology Commission,China
Christian Blind Mission International,Christian Blind Mission International,Germany
Christine Kühne-Center for Allergy Research and Education,Christine Kühne-Center,Switzerland
"Christy Gem Co., Ltd.",Thailand National Organization,Thailand
Chu- lalongkorn University,Chu- lalongkorn University,Thailand
Chu-lalongkorn University,Chu- lalongkorn University,Thailand
Chuan Ratanarak Foundation,Chuan Ratanarak Foundation,Thailand
Chubu University,Chubu University,Japan
Chuchat Choklap,Thailand National Organization,Thailand
Chugai Pharmaceutical,Chugai Pharmaceutical,Japan
Chugai Pharmaceutical Co.,Chugai Pharmaceutical,Japan
Chukkapong Comsup,Thailand National Organization,Thailand
Chul-alongkorn University,Chul-alongkorn University,Thailand
Chula Clinical Research Center,Chula Clinical Research Center,Thailand
"Chula Clinical Research Center, Faculty of Medicine, Chulalongkorn University","Chula Clinical Research Center, Faculty of Medicine, Chulalongkorn University",Thailand
Chula Clinical Research Laboratory,Thailand National Organization,Thailand
Chula Engineering,Thailand National Organization,Thailand
"Chula Medical Innovation Center, Faculty of Medicine, Chulalongkorn University, Thailand Research Fund","Chula Medical Innovation Center, Faculty of Medicine, Chulalongkorn University",Thailand
Chula Research Scholar,Thailand National Organization,Thailand
Chula Soft Cadaver Surgical Training Center,Chula Soft Cadaver Surgical Training Center,Thailand
Chula Unisearch/Chulalongkorn University,Chula Unisearch/Chulalongkorn University,Thailand
Chula VRC,Thailand National Organization,Thailand
Chula-longkorn Academic Advancement,Thailand National Organization,Thailand
Chula-longkorn University,Chula-longkorn University,Thailand
Chula-longkorn University Thailand,Chula-longkorn University,Thailand
Chula-longkorn University and Health Systems Research Institute,Chula-longkorn University,Thailand
ChulaMRC,Thailand National Organization,Thailand
ChulaPD,Thailand National Organization,Thailand
Chulabhorn Hospital,Thailand National Organization,Thailand
Chulabhorn International College of Medicine,Thailand National Organization,Thailand
Chulabhorn Research Institute,Chulabhorn Research Institute,Thailand
Chulabhorn Royal Academy,Chulabhorn Royal Academy,Thailand
Chulalogkorn University,Chulalogkorn University,Thailand
Chulalong-korn Academic Advancement,Thailand National Organization,Thailand
Chulalong-korn University,Chulalong-korn University,Thailand
Chulalong-korn University Fund,Chulalong-korn University,Thailand
Chulalong-korn University Scholarship,Chulalong-korn University,Thailand
Chulalongkon University,Chulalongkon University,Thailand
Chulalongkorn Academic,Chulalongkorn University,Thailand
Chulalongkorn Academic Advancement,Chulalongkorn University,Thailand
Chulalongkorn Academic Advancement Fund,Chulalongkorn University,Thailand
Chulalongkorn Academic Advancement Fund into Its 2nd Century Project of Chulalongkorn University,Chulalongkorn Academic Advancement Fund into Its 2nd Century Project of Chulalongkorn University,Thailand
Chulalongkorn Academic Advancement Into Its 2nd Century Project,Chulalongkorn Academic Advancement Fund into Its 2nd Century Project of Chulalongkorn University,Thailand
Chulalongkorn Academic Advancement Into It’s 2nd Century Project,Chulalongkorn University,Thailand
Chulalongkorn Academic Advancement into Its 2nd Century,Chulalongkorn Academic Advancement Fund into Its 2nd Century Project of Chulalongkorn University,Thailand
Chulalongkorn Academic Advancement into Its 2nd Century Project and Thailand Research Fund,Chulalongkorn Academic Advancement Fund into Its 2nd Century Project of Chulalongkorn University,Thailand
Chulalongkorn Academic Advancement into Its second Century Project,Chulalongkorn University,Thailand
Chulalongkorn Academic into,Chulalongkorn University,Thailand
Chulalongkorn Business School,Chulalongkorn University,Thailand
Chulalongkorn Center of Excellence for Parkinson’s disease and Related Disorders,Chulalongkorn Center,Thailand
Chulalongkorn Comprehensive Epilepsy Program,Chulalongkorn University,Thailand
Chulalongkorn Dusadi Phiphat fund,Chulalongkorn University,Thailand
Chulalongkorn Economic Research Center,Chulalongkorn Economic Research Center,Thailand
Chulalongkorn Economics Research Center,Chulalongkorn Economics Research Center,Thailand
Chulalongkorn Fund,Chulalongkorn University,Thailand
Chulalongkorn Graduate School,Chulalongkorn University,Thailand
Chulalongkorn Graduate School Thesis,Chulalongkorn University,Thailand
Chulalongkorn Graduate School Thesis Grant and King Mongkut’s University of Technology Thonburi,Chulalongkorn Graduate School Thesis Grant and King Mongkut’s University,Thailand
Chulalongkorn Hospital,Chulalongkorn University,Thailand
Chulalongkorn Medical Oncology Research Fund,Chulalongkorn University,Thailand
Chulalongkorn Medical Research Center,Chulalongkorn Medical Research Center,Thailand
Chulalongkorn Research,Chulalongkorn University,Thailand
Chulalongkorn Uni-vesity,Chulalongkorn University,Thailand
Chulalongkorn Unidersity,Chulalongkorn University,Thailand
Chulalongkorn Univer,Chulalongkorn University,Thailand
Chulalongkorn Univer-sity,Chulalongkorn University,Thailand
Chulalongkorn Univeristy,Chulalongkorn University,Thailand
Chulalongkorn Universit,Chulalongkorn University,Thailand
Chulalongkorn University,Chulalongkorn University,Thailand
"Chulalongkorn University , Sport Center of Chulalongkorn University",Chulalongkorn University,Thailand
"Chulalongkorn University , Thailand",Chulalongkorn University,Thailand
"Chulalongkorn University , Thailand Research Fund",Chulalongkorn University,Thailand
Chulalongkorn University 2561,Chulalongkorn University,Thailand
Chulalongkorn University Bangkok,Chulalongkorn University,Thailand
Chulalongkorn University Bangkok 10330,Chulalongkorn University,Thailand
"Chulalongkorn University Bangkok, Thailand",Chulalongkorn University,Thailand
Chulalongkorn University C2F Fund,C2F Chulalongkorn University,Thailand
Chulalongkorn University CU,Chulalongkorn University,Thailand
Chulalongkorn University CUniverse,Chulalongkorn University,Thailand
Chulalongkorn University Centenary,Chulalongkorn University,Thailand
Chulalongkorn University Centenary Academic Development Project,Chulalongkorn University,Thailand
Chulalongkorn University Center for Artificial Intelligence in Medicine,Chulalongkorn University,Thailand
"Chulalongkorn University Center of Excellence in Swine Reproduction, and Qualified Diagnostic Development",Chulalongkorn University,Thailand
Chulalongkorn University Center of Excellence in Systems Biology,Chulalongkorn University,Thailand
Chulalongkorn University Center of Excellence in Systems Biology and Chulalongkorn Academic Advancement,Chulalongkorn University,Thailand
Chulalongkorn University Centernary Academic Development Project,Chulalongkorn University,Thailand
Chulalongkorn University Chulalongkorn Academic Advancement,Chulalongkorn University,Thailand
Chulalongkorn University Dental School,Chulalongkorn University,Thailand
Chulalongkorn University Drug and Health Products Innovation & Promotion Center,Chulalongkorn University,Thailand
Chulalongkorn University Drug and Health Products Innovation Promotion Center,Chulalongkorn University,Thailand
Chulalongkorn University Dussadeepipat Scholarship,Chulalongkorn University,Thailand
Chulalongkorn University Dutsadi Phiphat Scholarship,Chulalongkorn University,Thailand
Chulalongkorn University Faculty of Dentistry,Chulalongkorn University,Thailand
Chulalongkorn University Faculty of Dentistry Special Funding,Chulalongkorn University,Thailand
Chulalongkorn University Faculty of Medicine,Chulalongkorn University,Thailand
"Chulalongkorn University Faculty of Medicine, Bangkok, Thailand",Chulalongkorn University,Thailand
Chulalongkorn University Faculty of Veterinary Science Research Fund,Chulalongkorn University,Thailand
Chulalongkorn University Fund,Chulalongkorn University,Thailand
Chulalongkorn University Fund and Grant for International Research Integration,Chulalongkorn University,Thailand
Chulalongkorn University Fund and Science Achievement Scholarship of Thailand,Chulalongkorn University,Thailand
Chulalongkorn University Fund for,Chulalongkorn University,Thailand
Chulalongkorn University Fund for Doctoral,Chulalongkorn University,Thailand
Chulalongkorn University Fund for Doctoral Scholarship,Chulalongkorn University,Thailand
Chulalongkorn University Funds,Chulalongkorn University,Thailand
Chulalongkorn University Graduate Scholarship,Chulalongkorn University,Thailand
Chulalongkorn University Health Service Center,Chulalongkorn University,Thailand
Chulalongkorn University Health Systems Research Institute,Chulalongkorn University,Thailand
Chulalongkorn University Hospital,Chulalongkorn University,Thailand
Chulalongkorn University King Chulalongkorn Memorial Hospital,Chulalongkorn University,Thailand
Chulalongkorn University Laboratory Animal Center,Chulalongkorn University,Thailand
"Chulalongkorn University Laboratory Animal Center, Scientific and Technological Research Equipment Centre",Chulalongkorn University,Thailand
Chulalongkorn University Laboratory Animal Centre,Chulalongkorn University,Thailand
Chulalongkorn University Medical Faculty,Chulalongkorn University,Thailand
Chulalongkorn University Museum of Natural History,Chulalongkorn University,Thailand
Chulalongkorn University National Research Council of Thailand,Chulalongkorn University,Thailand
Chulalongkorn University Office of Academic Affairs,Chulalongkorn University,Thailand
Chulalongkorn University Office of International Affairs Scholarship for Short-term Research,Chulalongkorn University,Thailand
Chulalongkorn University Omics Sciences and Bioinformatics Center,Chulalongkorn University,Thailand
Chulalongkorn University Ratchadaphiseksomphot Endowment,Chulalongkorn University,Thailand
Chulalongkorn University Ratchadaphiseksomphot Endowment Fund,Chulalongkorn University,Thailand
Chulalongkorn University Ratchadaphiseksomphot Endowment Fund for,Chulalongkorn University,Thailand
Chulalongkorn University Ratchadaphiseksomphot Endownment Fund,Chulalongkorn University,Thailand
Chulalongkorn University Ratchadaphiseksomphot Fund,Chulalongkorn University,Thailand
Chulalongkorn University Ratchadapisek Sompoch Endowment Fund,Chulalongkorn University,Thailand
Chulalongkorn University Ratchadapisek Sompot Fund,Chulalongkorn University,Thailand
Chulalongkorn University Ratchadapisek Sompotch Fund,Chulalongkorn University,Thailand
Chulalongkorn University Ratchadapiseksomphot Endowment Fund,Chulalongkorn University,Thailand
Chulalongkorn University Ratchadapiseksompotch Fund,Chulalongkorn University,Thailand
Chulalongkorn University Scholarship,Chulalongkorn University,Thailand
Chulalongkorn University School of Agricultural Resources Research Unit,Chulalongkorn University,Thailand
Chulalongkorn University Second Century Fund,Chulalongkorn University,Thailand
Chulalongkorn University Social Research Institute,Chulalongkorn University,Thailand
Chulalongkorn University Special Task Force for Activating Research,Chulalongkorn University,Thailand
Chulalongkorn University Special Task Force for Activation Research,Chulalongkorn University,Thailand
Chulalongkorn University Technology Center,Chulalongkorn University,Thailand
Chulalongkorn University Thailand,Chulalongkorn University,Thailand
Chulalongkorn University Veterinary Clinic,Chulalongkorn University,Thailand
Chulalongkorn University Wangmai,Chulalongkorn University,Thailand
Chulalongkorn University and Center of Excellence on Petrochemical and Material Technology,Center,Thailand
Chulalongkorn University and Chulalongkorn Academic Advancement,Chulalongkorn University,Thailand
Chulalongkorn University and Energy Conservation Promotion Fund,Chulalongkorn University,Thailand
Chulalongkorn University and Faculty of Science of Chulalongkorn University,Chulalongkorn University,Thailand
Chulalongkorn University and Health Systems Research Institute,Chulalongkorn University,Thailand
Chulalongkorn University and Hospital,Chulalongkorn University,Thailand
Chulalongkorn University and Placental Related Diseases Research Unit,Chulalongkorn University,Thailand
Chulalongkorn University and Science Achievement Scholarship of Thailand,Chulalongkorn University,Thailand
Chulalongkorn University and the Center of Excellence for Innovation in Chemistry,Chulalongkorn University,United States
Chulalongkorn University and the Thailand Research Fund,Chulalongkorn University,Thailand
Chulalongkorn University for,Chulalongkorn University,Thailand
Chulalongkorn University for Doctoral Scholarship,Chulalongkorn University,Thailand
Chulalongkorn University for Plant Biomass Utilization Research Unit,Chulalongkorn University,Thailand
Chulalongkorn University for Research Unit,Chulalongkorn University,Thailand
Chulalongkorn University for Special Task Force for Activating Research,Chulalongkorn University,Thailand
Chulalongkorn University for Vu Thi Thanh Huong,Chulalongkorn University,Thailand
Chulalongkorn University for the Center of Excellence in Natural Products for Ageing and Chronic Diseases,Center,Thailand
Chulalongkorn University for the Research Unit of Green Mining Management,Chulalongkorn University,Thailand
Chulalongkorn University fund,Chulalongkorn University,Thailand
Chulalongkorn University fund Ratchadaphiseksomphot Endowment Fund,Chulalongkorn University,Thailand
Chulalongkorn University in Bangkok,Chulalongkorn University,Thailand
Chulalongkorn University in Thailand,Chulalongkorn University,Thailand
Chulalongkorn University on Center of Excellence in Natural Products for Ageing and Chronic Diseases,Center,Thailand
Chulalongkorn University on the Frontier Research Energy Cluster,Chulalongkorn University,Thailand
Chulalongkorn University supporting fund for thesis,Chulalongkorn University,Thailand
Chulalongkorn University via Ratchadapisek Somphot Fund,Chulalongkorn University,Thailand
Chulalongkorn University's CUniverse,Chulalongkorn University,Thailand
Chulalongkorn University's Department of Chemical Engineering in Bangkok,Chulalongkorn University,Thailand
Chulalongkorn University's Faculty of Medicine in Bangkok,Chulalongkorn University,Thailand
"Chulalongkorn University's Faculty of Medicine, King Chulalongkorn Memorial Hospital's Department of Pediatrics",Chulalongkorn University,Thailand
Chulalongkorn University's Health Research Cluster,Chulalongkorn University,Thailand
Chulalongkorn University's Ratchadapisek Sompot Fund,Chulalongkorn University,Thailand
"Chulalongkorn University, Bangkok, Thailand to AB",Chulalongkorn University,Thailand
"Chulalongkorn University, Centre for Agriculture",Chulalongkorn University,Thailand
"Chulalongkorn University, Thailand",Chulalongkorn University,Thailand
"Chulalongkorn University, Thailand Research Fund",Chulalongkorn University,Thailand
Chulalongkorn University-ASEAN,Chulalongkorn University,Thailand
Chulalongkorn University-ASEAN Scholarship 2020,Chulalongkorn University,Thailand
Chulalongkorn University-Dussadeepipat Scholarship,Chulalongkorn University,Thailand
Chulalongkorn University-Faculty of Veterinary Science Research Fund,Chulalongkorn University,Thailand
Chulalongkorn University-Veterinary Science Fund,Chulalongkorn University,Thailand
Chulalongkorn University-Veterinary Science Research Fund,Chulalongkorn University,Thailand
Chulalongkorn University.National Nanotechnology Center,Chulalongkorn University,Thailand
Chulalongkorn University/King Chulalongkorn Memorial Hospital,Chulalongkorn University,Thailand
Chulalongkorn University/Ratchadaphiseksomphot Endowment Fund,Chulalongkorn University,Thailand
Chulalongkorn University?s CUniverse,Chulalongkorn University,Thailand
Chulalongkorn UniversityGB-CU-61-12-30-02,Chulalongkorn University,Thailand
Chulalongkorn University_FRB640001_01_31_6,Chulalongkorn University,Thailand
Chulalongkorn Universitys Ratchadapiseksompot Endowment Fund,Chulalongkorn University,Thailand
Chulalongkorn UniversitythFund,Chulalongkorn University,Thailand
Chulalongkorn Universityʼs CUniverse,Chulalongkorn University,Thailand
Chulalongkorn University‐Veterinary Science Research Fund,Chulalongkorn University,Thailand
Chulalongkorn University’s CUniverse,Chulalongkorn University,Thailand
Chulalongkorn University’s Health Research Cluster,Chulalongkorn University,Thailand
Chulalongkorn University’s TSRI,Chulalongkorn University,Thailand
Chulalongkorn Univesity,Chulalongkorn University,Thailand
Chulalongkorn Uni‐ versity,Chulalongkorn University,Thailand
Chulalongkorn Vaccine Research Center,Chulalongkorn Vaccine Research Center,Thailand
Chulalongkorn academic advancement,Chulalongkorn University,Thailand
Chulalongkorn university,Chulalongkorn University,Thailand
Chulalongkorn university Grant for Development of New Faculty Staff and ratchadaphiseksomphot Endowment Fund and Science Engineering and research Board,Chulalongkorn University,Thailand
Chulalongkorn university dusadi phipat,Chulalongkorn University,Thailand
Chulalongkorn university fund,Chulalongkorn University,Thailand
ChulalongkornUniversity,ChulalongkornUniversity,Thailand
Chulalongkornik University,Chulalongkornik University,Thailand
Chulalongkron University,Chulalongkron University,Thailand
Chulalongorn University,Chulalongorn University,Thailand
Chulanlongkorn University,Chulanlongkorn University,Thailand
Chulaongkorn Academic Advancement,Thailand National Organization,Thailand
Chum Phae Hospital,Thailand National Organization,Thailand
Chung Shan Medical University,Chung Shan Medical University,Taiwan
Chung-Ang University,Chung-Ang University,South Korea
Chung-Ang University Research,Chung-Ang University,South Korea
Ci?ncia e Tecnologia,Ci?ncia e Tecnologia,Brazil
Ci?ncia e a Tecnologia,Ci?ncia e Tecnologia,Portugal
Cincinnati Children's Hospital Medical Center,Cincinnati Children's Hospital Medical Center,United States
Cincinnati Children's Research Foundation,Cincinnati Children's Research Foundation,United States
Cirad Research Institute,Cirad Research Institute,France
Circles of Knowledge Club,Thailand National Organization,Thailand
Citeq Inc.,Citeq Inc.,United States
Citius Pharmaceuticals,Citius Pharmaceuticals,United States
City,City,United Kingdom
City University of Hong Kong,City University,Hong Kong
City University of Technology,City University,Thailand
"City, University of London","City, University",The United Kingdom
Civitan Norges Forskningsfond for Alzheimers sykdom,Civitan Norges Forskningsfond for Alzheimers sykdom,Norway
Clean Energy Technologies Research Institute,Clean Energy Technologies Research Institute,United States
Clinica Veterinaria Roma Sud,Clinica Veterinaria Roma Sud,Italy
Clinical Research Plan of SHDC,Clinical Research Plan of SHDC,China
Clinixir Co. Ltd,Thailand National Organization,Thailand
Clintrex LLC,Clintrex LLC,United States
Clorox Company,Clorox Company,United States
Clovis Oncology,Clovis Oncology,United States
Cluster Ratchadapisek Sompotch Endowment Fund,Thailand National Organization,Thailand
Cluster and Program Management Office,Thailand National Organization,Thailand
Cluster and Programme Management Office,Thailand National Organization,Thailand
Cluster of Excellence on Biodiversity based Economics and Society,Cluster of Excellence on Biodiversity based Economics and Society,Germany
Co. Ltd.,Co. Ltd.,China
CoHASS,CoHASS,Singapore
Coastal Carolina University,Coastal Carolina University,The United States
Coastal Fisheries Research and Development Center,Coastal Fisheries Research and Development Center,Thailand
Coax Group Corporation Co.,Thailand National Organization,Thailand
Coax Group Corporation Co. LTD,Thailand National Organization,Thailand
Coax Group Corporation Ltd,Thailand National Organization,Thailand
"Cognitive Fitness Center, Chulalongkorn Hospital",Cognitive Fitness Center,Thailand
Cognitive Science and Innovation Research Unit,Thailand National Organization,Thailand
Coimbra Institute for Biomedical Imaging and Translational Research,Coimbra Institute,Portugal
Cole Eye Institute,Cole Eye Institute,United States
Colgate University’s Rakin Fund,Colgate University,United States
Colgate University’s Research Council,Colgate University,United States
Colgate-Palmolive Company,Colgate-Palmolive Company,United States
Collaborating Center for Labor Research at Chulalongkorn University,Collaborating Center for Labor Research at Chulalongkorn University,Thailand
Collaborating Centre for Labor Research at Chulalongkorn University,Collaborating Center for Labor Research at Chulalongkorn University,Thailand
Collaborative Initiative for Paediatric HIV Education and Research,Thailand National Organization,Thailand
Collaborative Innovation Center of Suzhou Nano Science and Technology,Collaborative Innovation Center,China
"Collaborative Innovation of Industry, University and Research Institute Major Program of Guangzhou","Collaborative Innovation of Industry, University",China
Collaborative Research Centre 956,Collaborative Research Centre 956,Germany
Collaborative Research Fund,Collaborative Research Fund,Hong Kong
Collaborative Research Survey on Marine Fisheries Resources and Marine Environment in the Gulf of Thailand,Thailand National Organization,Thailand
"Collaborative Research in Engineering, Science and Technology","Collaborative Research in Engineering, Science and Technology",Malaysia
College and Graduate School of Arts and Sciences,College and Graduate School of Arts and Sciences,The United States
College of Advanced Manufacturing Innovation,Thailand National Organization,Thailand
College of Agriculture and Life Science,College of Agriculture and Life Science,United States
"College of Arts and Sciences, University of Nebraska-Lincoln","College of Arts and Sciences, University",The United States
College of Industrial Technology,Thailand National Organization,Thailand
College of Industrial Technology,College of Industrial Technology,Philippines
