,funding_agency_name,Country
1246,Chulalongkorn University Centernary Academic Development Project,Thailand
1247,Special Task Force for Activating Research Ratchadaphiseksomphot Endowment Fund,Thailand
1248,Complementary Medicines Australia,Australia
1249,HealthEd,United States
1250,RND Diagnostics and Thailand Convention and Exhibition Bureau,Thailand
1251,TCEB,Thailand
1252,Concept Foundation,United States
1253,Montreal Children's Hospital,Canada
1254,Natural Science and Engineering Research Council of Canada,Canada
1255,International Network for Lupus Research,United States
1256,Monash University Institute of Graduate Research,Australia
1257,"School of Chemistry and Faculty of Science, Monash University",Australia
1258,provision of Monash,Australia
1259,Chu lalong-korn University,Thailand
1260,Rachadapisek Sompote Fund of Chulalongkorn University,Thailand
1261,ENCON Fund,India
1262,Thailand's Energy Conservation Fund,Thailand
1263,Chulalongkorn Academic Advancement Into Its 2nd Century Project,Thailand
1264,Chulalongkorn University's Ratchadapisek Sompot Fund,Thailand
1265,Rachadaphisek Somphot Endowment Fund,Thailand
1266,Rachaphiseksomphot Endowment Fund,Thailand
1267,Division of Behavioral and Social Research,United States
1268,Banphaeo Hospital,Thailand
1269,Buddhasothorn Hospital,Thailand
1270,Chaophraya Yommarat Hospital,Thailand
1271,Charoenkrung Pracharak Hospital,Thailand
1272,Phayao Hospital,Thailand
1273,Taksin Hospital,Thailand
1274,Rat- chadaphiseksomphot Endowment Fund,Thailand
1275,Pontificia Universi-dad Católica de Valparáıso and Universidad Adolfo Ibáñez,Chile
1276,Merck & Co,United States
1277,NRCT-NSFC,Thailand
1278,"Thammasat University , Thailand",Thailand
1279,Cirad Research Institute,France
1280,KhonKaen University,Thailand
1281,Japan Society for the Promotion of Sciences,Japan
1282,ASGC (Taiwan),Taiwan
1283,BSF-NSF,United States
1284,CEA-DRF,France
1285,Cantons of Bern and Geneva,Switzerland
1286,Czech Republic,Czech Republic
1287,GridKA,Germany
1288,INFN-CNAF,Italy
1289,IRFU,Ireland
1290,MES of Russia,Russia
1291,MIZŠ,Slovakia
1292,King Mongkut's Institute of Technology Ladkrabang,Thailand
1293,"Graduate School and Faculty of Medicine, Chulalongkorn University",Thailand
1294,Phramongkutklao Hospital Foundation,Thailand
1295,Rachadaphiseksomphot Fund,Thailand
1296,Nakhon Ratchasima Rajabhat University,Thailand
1297,Aperfei?oamento de Pessoal de N?vel Superior,Brazil
1298,Fundação Safra,Brazil
1299,Thailand Research Fund RTA 5880002,Thailand
1300,FIOCRUZ-PE,Brazil
1301,Oswaldo Cruz Foundation of Pernambuco,Brazil
1302,European Commission/European Respiratory Society,Belgium
1303,Korean Government,South Korea
1304,Postgraduate Innovation Project in Hebei Province,China
1305,Nation Nanotechnology Center,Thailand
1306,"Immunology Laboratory, Faculty of Dentistry, Chulalongkorn University",Thailand
1307,National Nanotechnology Center at National Science and Technology Development Agency,Thailand
1308,Gastroenterology Association of Thailand,Thailand
1309,Ratchadaphiseksomphot EndowmentFund,Thailand
1310,Boston Scientific Corporation consultant for Auris Robotics,United States
1311,"Thailand’s Office of the Higher Education Commission, Faculty of Science, Prince of Songkla University",Thailand
1312,Graduate study of faculty of Science Burapha University,Thailand
1313,"Talaythong farm Chon Buri, department of fisheries, faculty of agriculture and technology",Thailand
1314,Trad Coastal Fisheries Research and Development Center,Philippines
1315,"Tissue Culture and Transformation, Center for Agricultural Biotechnology, Kasetsart University",Thailand
1316,"Materials Science Research Center, Faculty of Science, Chiang Mai University",Thailand
1317,"Ministry of Higher Education, Science , Research and Innovation",Thailand
1318,Shale Gas Plays in Western Canada,Canada
1319,Rajamangala University of Technology Srivijaya,Thailand
1320,"Centre of Excellence on Biodiversity, Thailand",Thailand
1321,Priority Academic Program Development of Jiangsu High Education Institutions and High-tech Research Key laboratory of Zhenjiang,China
1322,Pacific Foundation and That Man May See Foundation,United States
1323,"Faculty of Liberal Arts and Science, Kasetsart University",Thailand
1324,"Department of Periodontology, Faculty of Dentistry, Chulalongkorn University",Thailand
1325,Science of the Russian Federation,Russia
1326,"Her Royal Highness Princess Maha Chakri Sirindhorn, Polar Research Project",Thailand
1327,Initiatives of Her Royal Highness Princess Maha Chakri Sirindhorn,Thailand
1328,Thailand Institute of Nuclear Technology,Thailand
1329,"Faculty of Veterinary Science , Chulalongkorn University",Thailand
1330,NIAID Division of Clinical Research,United States
1331,NIAID Intramural Research Program,United States
1332,US Department of Health and Human Services,United States
1333,US Government,United States
1334,KEMENRISTEKDIKTI,Indonesia
1335,RUDN University Program 5-100,Russia
1336,Chulalongkorn University via Ratchadapisek Somphot Fund,Thailand
1337,Energy Storage Cluster of Chulalongkorn University and National Science and Technology Development,Thailand
1338,National Science and Technology Development,Thailand
1339,Biofilms ‐ Research Center for Biointerfaces at Malmö University,Sweden
1340,Sasol North America,United States
1341,Rutgers University,United States
1342,Chulalongkorn University Fund and Ratchadapiseksomphot Endowment Fund,Thailand
1343,Royal Thai Government 2014,Thailand
1344,Chulalongkorn University and Medical Research Council,Thailand
1345,Sekiguchi of Tokyo Institute of Technology,Japan
1346,Mayo Foundation for Medical Education & Research and the Rochester Epidemiology Project,United States
1347,Swiss Confederation,Switzerland
1348,Thailand Research Funding,Thailand
1349,"Skin and Allergy Research Unit, Chulalongkorn University",Thailand
1350,"Betagro Public Co., Ltd.",Thailand
1351,HRH Princess Sirindhorn Herb Garden,Thailand
1352,Ratchadaphisek-somphot Endowment Fund 2014 of Chulalongkorn University,Thailand
1353,Queen Sirikit Botanic garden,Thailand
1354,"Department of Gastroenterology and Hepatology, Singapore General Hospital",Singapore
1355,Samsung Medical Centre,South Korea
1356,"Faculty of Medicine and Graduate School, Chulalongkorn University",Thailand
1357,University of Western Australia for Cross,Australia
1358,Prince Mahidol Award Foundation,Thailand
1359,JSPS Grant-in-Aid for Scientific Research,Japan
1360,Payap University,Thailand
1361,Ratchadapiseksompotch Funds,Thailand
1362,Department of Science and Technology-Philippine Council for Health Research and Development,Philippines
1363,Marine Science Institute in the University of the Philippines Diliman,Philippines
1364,St. Luke’s College of Medicine,Philippines
1365,Scientific Grant Agency VEGA,Slovakia
1366,Thai Government Fund,Thailand
1367,Freeman Hospital Microbiology Department,United Kingdom
1368,Center of Excellence in Clinical Virology of Chulalongkorn University,Thailand
1369,Ratchadaphiseksomphot Endowment Fund of hepatic fibrosis,Thailand
1370,"Center of Excellence for Pediatric Infectious Diseases and Vaccines, Faculty of Medicine, Chulalongkorn University",Thailand
1371,"Ratchadapiseksomphot Fund , Faculty of Medicine, Chulalongkorn University, Thailand",Thailand
1372,Helmholtz-Gemeinschaft Deutscher Forschungszen-tren,Germany
1373,"Jain University, Bangalore, India",India
1374,"Thailand Research Fund , Thailand",Thailand
1375,"Center of Excellence in Clinical Virol ogy, Chulalongkorn University",Thailand
1376,government of France,France
1377,Environmental Research and Technology Development Fund,Japan
1378,"Ministry of the Environment , Japan",Japan
1379,Boehringer-Ingelheim,Germany
1380,ViiV Health Care/GlaxoSmithKline,United Kingdom
1381,Asia Pacific International University,Thailand
1382,Royal Thai,Thailand
1383,"Chemical Approaches for Food Applications Research Group, Chulalongkorn University",Thailand
1384,Ratchadaphiseksomphot Endowment Fun,Thailand
1385,Thai Traditional Medical Knowledge Fund,Thailand
1386,Spanish National HIV Paediatric Network,Spain
1387,US NIAID,United States
1388,North Dakota Water Resources Research Institute,United States
1389,"Chulalongkorn University Office of International Affairs Scholarship for Short-term Research , Thailand",Thailand
1390,"Chulalongkorn University Office of International Affairs Scholarship for Short-term Research, Thailand",Thailand
1391,Novartis Biosciences S.A,Switzerland
1392,CECI,Canada
1393,CISM/UCL,Belgium
1394,Consortium des Equipements de Calcul Intensif en Fédération Wallonie Bruxelles,Belgium
1395,DTRA BTRP,United States
1396,University of Texas South-western Medical Center,United States
1397,GITAM,India
1398,Gandhi Institute of Technology,India
1399,Japanese Government,Japan
1400,MON-BUKAGAKUSHO,Japan
1401,MONBUKAGAKUSHO,Japan
1402,"National Medical Research Council, Singapore",Singapore
1403,University of Malaya Parkinson's Disease and Movement Disorders Research Program Fund,Malaysia
1404,"University of Toronto, ON, Canada)",Canada
1405,Phranakhon Rajabhat University Development Fund,Thailand
1406,90thAnniversary Chulalongkorn University Fund,Thailand
1407,Chulalongkorn University and Thai Traditional Medical Service Centre,Thailand
1408,Department for Thai Traditional and Alternative Medicine of the Ministry of Public Health,Thailand
1409,"Department of Thai Traditional and Alternative Medicine, Ministry of Public Health",Thailand
1410,Ratchada-phiseksomphot Endowment Fund,Thailand
1411,SukhothaiThammatirat Open University,Thailand
1412,Office of Research Services,United States
1413,Queen Saovabha Memorial Institute,Thailand
1414,Center for Intercultural and Indigenous Research,Chile
1415,Centre for Social Conflict and Cohesion Studies,Chile
1416,NU-PPC Plasma Chemical Technology Laboratory at Chulalongkorn University,Thailand
1417,Surapon Foods Public Co. Ltd.,Thailand
1418,"Surapon Foods Public Co., Ltd.",Thailand
1419,Jongkolneenithi Foundation,Thailand
1420,Commission on Higher Education and Thailand Research Fund,Thailand
1421,"Commission on Higher Education, Thailand Research Fund",Thailand
1422,California Academy of Science,United States
1423,Chulalongkorn University Museum of Natural History,Thailand
1424,DU-DST,India
1425,Ministry of Environment and Forestry,Indonesia
1426,State Forest Departments in India,India
1427,University Grant Commission,India
1428,University of Delhi Research and Development,India
1429,Thailand Research Science and Innovation,Thailand
1430,Atlanta Botanical Garden,United States
1431,Project of Platform Construction for Plant Resources of Sichuan Province,China
1432,Chulalongkorn University Ratchadaphiseksomphot Endowment Fund for,Thailand
1433,"American Society of Clinical Oncology, Society for Immunotherapy of Cancer",United States
1434,Fate Therapeutics,United States
1435,National Institutes of Health National Cancer Institute,United States
1436,"Shaanxi Innovation Capability Support Plan, China",China
1437,"Shaanxi Key Research and Development Plan, China",China
1438,North Dakota Water Research Institute,United States
1439,Energy Regulatory Commission,Philippines
1440,K aohsiung Medical University Research Center,Taiwan
1441,Kaohsiung Medical University Research Center,Taiwan
1442,Knight Cancer Institute,United States
1443,Oregon Health & Science University Medical Research Foundation,United States
1444,Stupski Foundation,United States
1445,University of Washington Institute of Translational Health Sciences,United States
1446,Kanchanapisek Research Fund,Thailand
1447,"International Network for Lupus Research, Thailand",Thailand
1448,"TRF, Thailand",Thailand
1449,90thAnniversary Chulalongkorn University,Thailand
1450,ICOS-Sweden,Sweden
1451,Knute and Alice Wallenberg Foundation,Sweden
1452,Swedish Infrastructure for Ecosystem Science,Sweden
1453,Swedish Integrated Carbon Observation System,Sweden
1454,"National Metal and Materials Technology Center, Thailand",Thailand
1455,"Chulalongkorn University , Thailand",Thailand
1456,Bumrungrad Hospital,Thailand
1457,CVON,Netherlands
1458,Canadian Heart Rhythm Society,Canada
1459,Chulalongkorn Small Animal Teaching Hospital,Thailand
1460,Mahanakorn Animal Teaching Hospital,Thailand
1461,CEA-DSM,France
1462,Munich Institute for Astro,Germany
1463,"UM, Malaysia",Malaysia
1464,CDC Thailand Office,Thailand
1465,Department of Medical Sciences,Thailand
1466,"Department of Medical Technology, Chiang Mai University",Thailand
1467,"Hatyai Hospital, Songkla province",Thailand
1468,Thailand Science Research and Innovation Fund,Thailand
1469,Bureau of Waterworks Tokyo Metropolitan Government,Japan
1470,Chulalongkorn University-ASEAN,Thailand
1471,Kasikorn Business Technology Group,Thailand
1472,Key Research Platforms and Research Projects of Universities in Guangdong Province,China
1473,Shenzhen Development & Reform Commission Foundation for Novel Nano-Material Sciences,China
1474,Thailand Science Research and Innovation,Thailand
1475,Shanghai International Collaboration Research Project,China
1476,Shanghai Key Basic Research Project,China
1477,College of Agriculture and Life Science,United States
1478,"American Institute for Indonesian Studies, Wenner Gren Foundation",United States
1479,Forest Department of Himachal Pradesh,India
1480,Forestry Department of Peninsular Malaysia,Malaysia
1481,Indonesian Ministry of Research and Technology,Indonesia
1482,Malaysian Primatological Society,Malaysia
1483,National Parks of Peninsular Malaysia,Malaysia
1484,PERHILITAN,Malaysia
1485,RISTEK,Indonesia
1486,Mubadala Petroleum (Thailand) Limited,Thailand
1487,Royal Initiative of Her Royal Highness Princess Maha Chakri Sirindhorn and the Naval Special Warfare Command,Thailand
1488,Royal Thai Navy for,Thailand
1489,Tianjin Municipal Science and Technology Foundation,China
1490,Joint Graduate School of Energy and Environment and Pisanu Toochinda,Thailand
1491,Sub-Department of Animal Health of Dong Thap Province,Vietnam
1492,British Council-Newton Fund,United Kingdom
1493,"Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University",Thailand
1494,"Siam Refractory Industry Co., Ltd.",Thailand
1495,Research and Development Institute Pibulsongkram Rajabhat University,Thailand
1496,Royal Initiation of Her Royal Highness Princess Maha Chakri Sirindhorn,Thailand
1497,CU Ratchadaphiseksomphot Endowment Fund,Thailand
1498,Bayer Pharma,Germany
1499,Blood Cancer UK,United Kingdom
1500,Bristol-Myers-Squibb,United States
1501,Böehringer-Ingelheim,Germany
1502,GRAIL,United States
1503,Gabrielle’s Angels Foundation,United States
1504,Janssen Pharmaceutical,Belgium
1505,MIUR-PRIN,Italy
1506,NeoGenomics,United States
1507,Nippon Shinyaku,Japan
1508,Novartis Pharmaceutical,Switzerland
1509,Onconova,United States
1510,Sanofi K.K. and Celltrion,Japan
1511,Sanofi KK,Japan
1512,SymBio Pharmaceutical,Japan
1513,University of Toronto Department of Psychiatry,Canada
1514,"Thailand Research Fund, Bangkok, Thailand",Thailand
1515,"Center of Excellence for Innovation and Endoscopy in Gastrointestinal Oncology, Faculty of Medicine, Chu-lalongkorn University",Thailand
1516,Faculty of Engineering and Center of Laboratory Equipment of Mahasarakham University,Thailand
1517,NIHR Clinical Research Network Portfolio,United Kingdom
1518,National Institute for Health Research University College London Hospitals Biomedical Research Centre,United Kingdom
1519,IMCAS,France
1520,"Institute of Microbiology, Chinese Academy of Science",China
1521,Ban Sop Li School in Lampang Province,Thailand
1522,Forest Industry Organization of Thailand,Thailand
1523,SCG Chemicals Co. Ltd.,Thailand
1524,Canadian Foundation for Innovation,Canada
1525,Bansomdejchaopraya Rajabhat University,Thailand
1526,Thailand Government,Thailand
1527,Vietnam Ministry of Education and Training,Vietnam
1528,Foundation of Korea Logistics Industry Promotion,South Korea
1529,Ban Ton Rieng Sub-District Hospital,Thailand
1530,"Department of Electrical Engineering, Faculty of Engineering, Universitas Sumatera Utara",Indonesia
1531,CEEPUS network,Austria
1532,Crown Property Bureau of Thailand,Thailand
1533,"Department of Chemical Engineering, Faculty of Engineering, Chulalongkorn University",Thailand
1534,Office of the National Metal and Materials Technology Center,Thailand
1535,Naturhistorisches Museum Basel,Switzerland
1536,Swedish Taxonomy Initiative,Sweden
1537,CIOMS,Switzerland
1538,Council for International Organizations of Medical Sciences,Switzerland
1539,University of Kufa,Iraq
1540,"Ministry of Higher Education, Science, Research and Innovation and Mekong Health Science Research Institute Khon Kaen University",Thailand
1541,The Science achievement scholarship of Thailand,Thailand
1542,Qingjiang Excellent Young Talents of JXUST,China
1543,NIH/ORIP,United States
1544,"Ministry of Higher Education, Science, Research, and Innovation, Thailand",Thailand
1545,ThaiSC,Thailand
1546,Thailand Development and Promotion of Science and Technology Talents,Thailand
1547,"Institute of Molecular Biosciences, Mahidol University",Thailand
1548,Cross-Ministerial Strategic Innovation Promotion Program,Japan
1549,Pfizer (Thailand) Ltd,Thailand
1550,Pfizer (Thailand) Ltd.,Thailand
1551,Shanghai Electric Group Co. Ltd.,China
1552,"Shanghai Electric Group Co. Ltd., Shanghai, China",China
1553,Veterinary Pathogen Bank,United Kingdom
1554,"Sirindhorn College of Public Health, Trang and Praboromarajchanok Institute",Thailand
1555,Chulalongkorn Academic Ad-vancement Fund,Thailand
1556,Thailand Science Research and In-novation,Thailand
1557,SCG Chemical Co. Ltd.,Thailand
1558,"SCG Chemical Co., Ltd.",Thailand
1559,Digital Economy Promotion Agency,Thailand
1560,Center for Protein Research,Denmark
1561,Aditya Birla Chemicals (Thailand) Ltd.,Thailand
1562,"Thailand) Co., Ltd.",Thailand
1563,Open Research Fund Program of Shaanxi Key Laboratory of Non-Traditional Machining,China
1564,Shaanxi Key Research and development Plan,China
1565,Beijing Outstanding Young Scientist Program,China
1566,Thai Super Computer Center,Thailand
1567,KU Research and Development Institute,South Korea
1568,Amano Enzyme Inc,Japan
1569,MDPI,Switzerland
1570,"Ratchadapisek sompotch endowment fund, Faculty of Medicine, Chulalongkorn University",Thailand
1571,Military Health Outcomes Program,United States
1572,US National Science Foundation,United States
1573,S?o Paulo Research Foundation,Brazil
1574,National Research Council for Thammasat University,Thailand
1575,Nakhonratchasima Meteorological Station,Thailand
1576,Environment Research and Technology Development Fund,Japan
1577,Daiichi Sankyo Pharma,Japan
1578,"Emalex Biosciences, Inc",United States
1579,Intec Pharma Ltd,Israel
1580,"Kura Oncology, Incyte",United States
1581,"IXOM Watercare, Inc.",United States
1582,Korean government,South Korea
1583,Cooperative Research Programs of the Wildlife Research Center,United States
1584,Japan Science and Technology Agency Core Research for Evolutional Science and Technology,Japan
1585,National Geographic Foundation for Science and Exploration,United States
1586,Faculty of Medicine Vajira Hospital Facilitating Research Fund,Thailand
1587,"dental research fund of Faculty of Dentistry, Chulalongkorn University",Thailand
1588,Bangkok Biomaterial Center,Thailand
1589,"Bangkok Biomaterial Center, Siriraj hospital",Thailand
1590,"Department of Anatomy, Faculty of Medicine, Chulalongkorn University",Thailand
1591,"Mubadala Petroleum (Thailand) Limited, and Conservation Diver",Thailand
1592,UN-ESCO Japanese Funds-in-Trust,Japan
1593,UNESCO Japanese Funds-in-Trust,Japan
1594,Ramathibodi Hospital Cancer Center,Thailand
1595,Ministry of Natural Resources and Environmental Conservation Forest Department,Myanmar
1596,ChulaMRC,Thailand
1597,Thailand's Education Hub,Thailand
1598,Thailand's Education Hub for ASEAN Countries,Thailand
1599,Petrus and Augusta Hedlund Foundation,Sweden
1600,Ratchadaphiseksomphot Endowment Fund 2017,Thailand
1601,Michigan State University High Performance Computing Center,United States
1602,Ratchadapisak Sompot Fund,Thailand
1603,Huawei technology,China
1604,"Fogarty International Center, as part of the International Epidemiology Databases to Evaluate AIDS",United States
1605,Dental Innovation Foundation,United States
1606,Maharat Nakhon Ratchasima Hospital,Thailand
1607,"Center of Excellence for Marine Biotechnology, Chulalongkorn University",Thailand
1608,"Department of Research, Faculty of Medicine Siriraj Hospital, Mahidol University",Thailand
1609,Alzheimer’s Association,United States
1610,Brain and Behaviour Foundation,Australia
1611,CNPQ-1B,Brazil
1612,Canadian Institute of Health Research,Canada
1613,Medical Research Futures Fund,Australia
1614,Pakistan Institute of Living and Learning,Pakistan
1615,University of São Paulo Medical School,Brazil
1616,of?Universiti Sains Malaysia,Malaysia
1617,Nephrology Society of Thailand,Thailand
1618,Pathumthani Thailand,Thailand
1619,Thailand Research Fund to National Metal and Materials Technology Center,Thailand
1620,Ministry of Public Health and Ratchadapiseksompotch Fund,Thailand
1621,Charoen Pokphand Foods PCL,Thailand
1622,Chulalongkorn Research Laboratory,Thailand
1623,Chaminade University,United States
1624,Centre interdisciplinaire de nanoscience de Marseille,France
1625,JST SICORP,Japan
1626,Forestry Department of Indonesia,Indonesia
1627,MIPA-UB,Indonesia
1628,Ministry of Research and Technology of the Republic of Indonesia,Indonesia
1629,Britannia Pharmaceuticals Limited,United Kingdom
1630,Stada Thailand Pharmaceuticals Limited,Thailand
1631,Thailand Science,Thailand
1632,Chaiyaphum Hospital,Thailand
1633,Chaophaya Abhaiphubejhr Hospital,Thailand
1634,Mukdahan Hospital,Thailand
1635,Nakhon Pathom Hospital,Thailand
1636,Rachadaphiseksompot Endorsement Fund,Thailand
1637,Sunpasitthiprasong Hospital,Thailand
1638,Sathyabama Institute of Science and Technology,India
1639,Plastic Institute of Thailand,Thailand
1640,Ratchadapisek Sompoch Endowment Fund Chulalongkorn University,Thailand
1641,Ratchadapisek Sompoch Endowment Fund RA,Thailand
1642,FAO-ROK National Project Coordinator,South Korea
1643,Chulalongkornik University,Thailand
1644,University of Malaya-University of Liverpool,Malaysia
1645,Ratchadapisek Sompoch Endow,Thailand
1646,Chilean Centro de Excelencia en Astrofísica y Tecnologías Afines,Chile
1648,Institute of Bioinformatics and System Biology,India
1649,Austrian Foundation for Advancement of Science,Austria
1650,Phuket Provincial Health Office,Thailand
1651,NIMHANS,India
1652,100th Anniversary Chulalongkorn University for Doctoral Scholarship,Thailand
1653,Centro de Excelencia Severo Ochoa Program,Spain
1654,MINECO-FEDER,Spain
1655,Princess Alexandra Hospital,Australia
1656,University of Queensland Faculty of Medicine and Translational Research Institute,Australia
1657,GIST Research Institute,South Korea
1658,Nakhon Ratchasima province,Thailand
1659,Chulalongkorn Academic Advancement into Its 2nd Century Project and Thailand Research Fund,Thailand
1660,"Mahidol University, Thailand Research Fund",Thailand
1661,International Research Network-The Thailand Research Fund,Thailand
1662,International Research Network‐The Thailand Research Fund,Thailand
1663,Sirnindhorn International Institute of Technology,Thailand
1664,"Thammasat University, Thailand and Asian Institute of Technology",Thailand
1665,Beuth University of Applied Sciences and Brawijaya University,Germany
1666,MIMS Philippines,Philippines
1667,Collaborative Research Centre 956,Germany
1668,90th Year Chulalongkorn University,Thailand
1669,"Department of Microbiology, Chulalongkorn University",Thailand
1670,PTT Polymer Marketing Co. Ltd.,Thailand
1671,Department of Entomology and Plant Pathology,United States
1672,"Faculty of Agriculture, Chiang Mai University",Thailand
1673,Chulalongkorn University Laboratory Animal Center,Thailand
1674,Ratchadapisek-sompotch Fund,Thailand
1675,"Children's Hospital, Singapore",Singapore
1676,Juntendo University Urayasu Hospital,Japan
1677,Showa University Hospital,Japan
1678,Tomoyuki Ichida at Shonan Kamakura General Hospital,Japan
1679,Yan Zhang and Yan Xu at Nanjing Drum Tower Hospital,China
1680,Yasuyuki Fujita at Kyushu University Hospital,Japan
1681,BBraun,Germany
1682,ATCC Manassas Virginia,United States
1683,"Special Program in Tropical Diseases , Medicines for Malaria Venture",Switzerland
1684,"UNICEF/World Bank/World Health Organization/Special Program in Tropical Diseases, Medicines for Malaria Venture",United States
1685,University of the Thai Chamber of Commerce,Thailand
1686,Graduate School of Thaksin University,Thailand
1687,Thaksin University Research Fund,Thailand
1688,Xi'an Technological University,China
1689,Inland Fisheries Research and Development Institute,Cambodia
1690,"Department of Botany, Faculty of Science, Chulalongkorn University",Thailand
1691,"National Research Institute of Aquaculture, Fisheries Research Agency",Japan
1692,CHE-TRF,Switzerland
1693,Ban Pao Pattana Health Promoting Hospital,Thailand
1694,National key technologies Research & Development program,China
1695,Merck Animal Health Co. Ltd,United States
1696,Feed the Future Bangladesh Aquaculture and Nutrition Activity,Bangladesh
1697,Cole Eye Institute,United States
1698,Institute for Families,United States
1699,National Eye Institute’s National Advisory Eye Council,United States
1700,Scheie Eye Institute,United States
1701,Wright Foundation,United States
1702,British Association of Critical Care Nurses,United Kingdom
1703,Italian Society of Nephrology,Italy
1704,Cobram Estate Pty. Ltd,Australia
1705,European Commission Horizon 2020,Belgium
1706,First Bank of Toyama Scholarship Foundation,Japan
1707,Inflammation Research Foundation,United States
1708,Lundbeck Merck,Denmark
1709,Meat and Livestock Board,Australia
1710,Niigata Medical Association,Japan
1711,Nutrition Research Australia,Australia
1712,Ortho-McNeil Janssen,United States
1713,Otsuka Pharmaceutical Factory,Japan
1714,"Royal DSM Nutritional Products, LLC",Netherlands
1715,SanofiAventis,France
1716,Simons Autism Foundation,United States
1717,Toyama Occupational Health Promotion Center,Japan
1718,100th Chulalongkorn University,Thailand
1719,CPM-NSTDA,Thailand
1720,Charoen Pokphand Foods Public Co. Ltd.,Thailand
1721,Chulalongkorn University on the Frontier Research Energy Cluster,Thailand
1722,Ratchadaphiseksomphote Endowment Fund,Thailand
1723,Berlin Pharmaceutical Co.Ltd,Germany
1724,Chulalongkorn University Ratchadapisek Sompotch Fund,Thailand
1725,"National Research University, Kasetsart University",Thailand
1726,Ratchdapisek Sompoch Endowment Fund,Thailand
1727,"Shaanxi Natural Science Basic Research, China Project",China
1728,Dunaway Family Fund,United States
1729,King Bhumibol Adulyadej,Thailand
1730,Thailand and Thailand Research Fund,Thailand
1731,"Commission on Higher Education, Thailand",Thailand
1732,National Center of Excellence for Environmental and Hazardous Waste Management,United States
1733,"Pollution Control Department, Thailand, and Bangkok Metropolitan Administration",Thailand
1734,Department of Laboratory Medicine at the University of Washington,United States
1735,GSK Biologicals SA,Belgium
1736,GSK Biologicals and Sanoﬁ Pasteur,Belgium
1737,Novartis Vaccines,Switzerland
1738,Division of Research Administration,United States
1739,Naresuan University of Thailand,Thailand
1740,"National Research Council of Thailand and Health Systems Research Institute, Thailand",Thailand
1741,Guiyang University,China
1742,Graduate School Khon Kaen University,Thailand
1743,Department of Land Development of Thailand,Thailand
1744,Australian Embassy Bangkok,Thailand
1745,Chulalongkorn University Special Task Force for Activation Research,Thailand
1746,"Faculty of Environmental Management, Prince of Songkla University",Thailand
1747,PSU Scientific Equipment Center,Philippines
1748,Government of Thailand,Thailand
1749,CINECA,Italy
1750,Dracula Technologies,France
1751,French Fond Unique Interministériel,France
1752,PROVING-IL,Israel
1753,"Graduate School of Energy Systems, Prince of Songkla University",Thailand
1754,Anandamahidol Foundation,Thailand
1755,Ministry of Health in Thailand,Thailand
1756,Royal Society of Chemistry Research Fund,United Kingdom
1757,Defense Science and Technology Department,Australia
1758,Medical University-Plovdiv,Bulgaria
1759,"Medical Genomics Cluster, Chulalongkorn Academic Advancement",Thailand
1760,Faculty of Science and Ratchadaphiseksomphot Endowment Fund of Chulalongkorn University,Thailand
1761,NSF EAR-1763287,United States
1762,Research Grant for New Scholar Ratchadaphiseksomphot Endowment Fund Chulalongkorn University,Thailand
1763,"Faculty of Environment and Resource Studies, Mahidol University",Thailand
1764,Chulalongkorn University?s Ratchadaphiseksomphot Endowment Fund,Thailand
1765,Chulalongkorn Medical Oncology Research Fund,Thailand
1766,Chulalongkorn University supporting fund for thesis,Thailand
1767,The Kidney Foundation of Thailand,Thailand
1768,Thailand National Research Fund and Center of Excellence in Applied Thai Traditional Research,Thailand
1769,Buengkan District Health Office,Thailand
1770,Buengkan Hospital,Thailand
1771,Biodiversity-Based Economy Development Office,Philippines
1772,"European Union, and Abbott",Belgium
1773,GSK Biologicals,Belgium
1774,National Vaccine Institute Thailand,Thailand
1775,Thrasher Fund,United States
1776,UGC BSR,India
1777,"National University of Laos, University of Brawijaya",Laos
1778,"Faculty of Economics, Chulalongkorn University",Thailand
1779,"Thailand Center of Excellence, Thailand",Thailand
1780,"Ministry of Higher Education, Science Research and Innovation",Thailand
1781,"Western Human Nutrition Research Center, Agricultural Research Service",United States
1782,Xinjiang Uygur Autonomous Region Key Laboratory,China
1783,"Faculty of Engineering, Prince of Songkla University",Thailand
1784,SCG Chemical Co. Ltd,Thailand
1785,"Faculty of Science, Kasetsart University",Thailand
1786,"National Center for Genetic Engineering and Biotechnology, Department of Zoology, Faculty of Science, Kasetsart University",Thailand
1787,"Omics Center for Agriculture, Bioresources, Food, and Health, Kasetsart University",Thailand
1788,Ratchadapisek Research Funds,Thailand
1789,Iceland GeoSurvey,Iceland
1790,Icelandic Center of Research,Iceland
1791,Secondary Century Fund,United States
1792,Anandamahidol foundation,Thailand
1793,"University of Malaya, Malaysia",Malaysia
1794,Flemish Scientific Research Board,Belgium
1795,Interuniversity Attraction Poles program,Belgium
1796,JASRI,Japan
1797,Japan Petroleum Institute,Japan
1798,Associazione Italiana contro le Leucemie-linfomi e mieloma Milano e Provincia Organizzazione Non Lucrativa di Utilità Sociale,Italy
1799,Copenhagen University,Denmark
1800,SIIT,Thailand
1801,Ratchadapisek Somphot Endowment Fund,Thailand
1802,90th Year Chulalongkorn Fund,Thailand
1803,SASIN School of Management,Thailand
1804,Ratchadapiseksomphot Endowment Funds,Thailand
1805,Ratchadaphisek Sompoch Endowment Fund,Thailand
