,Eid,Funding_Count,Has_Funding,Has_Cite-By,Subtype,Publish_year,Publish_month,Cite-By_Count
4948,2-s2.0-85069699539,0,0,1,Article,2019.0,12.0,58.0
4949,2-s2.0-85067212514,5,1,1,Article,2019.0,8.0,13.0
4950,2-s2.0-85147473439,0,0,1,Article,2019.0,5.0,7.0
4951,2-s2.0-85066432223,7,1,1,Article,2019.0,6.0,8.0
4952,2-s2.0-85060943807,2,1,1,Article,2019.0,3.0,7.0
4953,2-s2.0-85067540847,5,1,1,Article,2019.0,10.0,35.0
4954,2-s2.0-85074667265,5,1,1,Article,2019.0,12.0,11.0
4955,2-s2.0-85073948478,52,1,1,Article,2019.0,12.0,34.0
4956,2-s2.0-85069974967,5,1,1,Article,2019.0,11.0,20.0
4957,2-s2.0-85065507001,0,0,1,Article,2019.0,6.0,10.0
4958,2-s2.0-85067859084,2,1,1,Article,2019.0,8.0,3.0
4959,2-s2.0-85060336452,5,1,1,Article,2019.0,4.0,8.0
4960,2-s2.0-85063615771,5,1,1,Article,2019.0,3.0,13.0
4961,2-s2.0-85056163899,5,1,1,Article,2019.0,1.0,5.0
4962,2-s2.0-85079452584,0,0,0,Article,2019.0,12.0,0.0
4963,2-s2.0-85069908392,4,1,1,Article,2019.0,9.0,4.0
4964,2-s2.0-85055912001,3,1,1,Article,2019.0,4.0,78.0
4965,2-s2.0-85069942029,0,0,1,Article,2019.0,8.0,17.0
4966,2-s2.0-85064000888,3,1,1,Article,2019.0,6.0,20.0
4967,2-s2.0-85072010649,5,1,0,Article,2019.0,8.0,0.0
4968,2-s2.0-85064522654,3,1,0,Article,2019.0,4.0,0.0
4969,2-s2.0-85061275882,8,1,1,Article,2019.0,7.0,20.0
4970,2-s2.0-85057310610,4,1,1,Article,2019.0,2.0,6.0
4971,2-s2.0-85070208414,7,1,1,Article,2019.0,10.0,28.0
4972,2-s2.0-85073117460,0,0,1,Article,2019.0,12.0,131.0
4973,2-s2.0-85070831943,2,1,1,Article,2019.0,7.0,2.0
4974,2-s2.0-85045765941,5,1,1,Article,2019.0,1.0,63.0
4975,2-s2.0-85021627517,8,1,1,Article,2019.0,5.0,9.0
4976,2-s2.0-85061485252,5,1,1,Article,2019.0,2.0,27.0
4977,2-s2.0-85057610599,0,0,1,Article,2019.0,1.0,9.0
4978,2-s2.0-85060779863,75,1,1,Article,2019.0,1.0,63.0
4979,2-s2.0-85065043359,4,1,1,Article,2019.0,9.0,24.0
4980,2-s2.0-85064569340,0,0,0,Article,2019.0,1.0,0.0
4981,2-s2.0-85055029499,5,1,1,Article,2019.0,3.0,31.0
4982,2-s2.0-85073259336,6,1,1,Article,2019.0,9.0,2.0
4983,2-s2.0-85065924078,1,1,1,Article,2019.0,12.0,28.0
4984,2-s2.0-85063280998,4,1,1,Article,2019.0,8.0,58.0
4985,2-s2.0-85067202102,0,0,1,Article,2019.0,7.0,7.0
4986,2-s2.0-85069293544,5,1,1,Article,2019.0,7.0,13.0
4987,2-s2.0-85062528852,2,1,1,Article,2019.0,5.0,44.0
4988,2-s2.0-85165214033,0,0,0,Article,2019.0,9.0,0.0
4989,2-s2.0-85062904772,0,0,1,Article,2019.0,3.0,12.0
4990,2-s2.0-85073008960,98,1,1,Article,2019.0,11.0,36.0
4991,2-s2.0-85070887862,6,1,1,Article,2019.0,12.0,103.0
4992,2-s2.0-85055718889,0,0,1,Article,2019.0,2.0,17.0
4993,2-s2.0-85059905088,5,1,1,Article,2019.0,1.0,9.0
4994,2-s2.0-85065074990,0,0,1,Article,2019.0,4.0,10.0
4995,2-s2.0-85052368654,3,1,1,Article,2019.0,1.0,16.0
4996,2-s2.0-85072048011,18,1,1,Article,2019.0,12.0,2.0
4997,2-s2.0-85068498995,2,1,1,Article,2019.0,10.0,2.0
4998,2-s2.0-85057539983,4,1,1,Article,2019.0,2.0,42.0
4999,2-s2.0-85060235820,5,1,1,Article,2019.0,2.0,39.0
5000,2-s2.0-85068002153,5,1,0,Article,2019.0,3.0,0.0
5001,2-s2.0-85105802358,0,0,1,Article,2019.0,4.0,5.0
5002,2-s2.0-85060516034,6,1,1,Article,2019.0,1.0,15.0
5003,2-s2.0-85056879182,4,1,1,Article,2019.0,2.0,10.0
5004,2-s2.0-85070715450,3,1,1,Article,2019.0,9.0,22.0
5005,2-s2.0-85075066218,2,1,1,Article,2019.0,11.0,22.0
5006,2-s2.0-85054500998,0,0,1,Article,2019.0,2.0,12.0
5007,2-s2.0-85069907304,6,1,1,Article,2019.0,10.0,52.0
5008,2-s2.0-85071390008,5,1,1,Article,2019.0,12.0,3.0
5009,2-s2.0-85064521348,2,1,1,Article,2019.0,4.0,5.0
5010,2-s2.0-85065657338,5,1,1,Article,2019.0,7.0,9.0
5011,2-s2.0-85061010158,6,1,1,Article,2019.0,5.0,44.0
5012,2-s2.0-85065826961,6,1,1,Article,2019.0,4.0,4.0
5013,2-s2.0-85065189084,5,1,1,Article,2019.0,3.0,8.0
5014,2-s2.0-85073471813,5,1,1,Article,2019.0,9.0,11.0
5015,2-s2.0-85070218368,3,1,1,Article,2019.0,11.0,17.0
5016,2-s2.0-85060865748,103,1,1,Article,2019.0,2.0,26.0
5017,2-s2.0-85076538010,6,1,1,Article,2019.0,12.0,10.0
5018,2-s2.0-85062897997,2,1,1,Article,2019.0,6.0,10.0
5019,2-s2.0-85063483153,5,1,1,Article,2019.0,4.0,5.0
5020,2-s2.0-85070330801,3,1,1,Article,2019.0,5.0,2.0
5021,2-s2.0-85056386047,4,1,1,Article,2019.0,1.0,85.0
5022,2-s2.0-85065157949,4,1,1,Article,2019.0,8.0,4.0
5023,2-s2.0-85067253509,3,1,1,Article,2019.0,12.0,153.0
5024,2-s2.0-85056243477,4,1,1,Article,2019.0,3.0,44.0
5025,2-s2.0-85072365396,2,1,1,Article,2019.0,10.0,13.0
5026,2-s2.0-85063529604,103,1,1,Article,2019.0,3.0,39.0
5027,2-s2.0-85107208968,2,1,1,Article,2019.0,9.0,2.0
5028,2-s2.0-85070819712,0,0,0,Article,2019.0,7.0,0.0
5029,2-s2.0-85078201825,0,0,1,Article,2019.0,12.0,3.0
5030,2-s2.0-85029707412,2,1,1,Article,2019.0,1.0,26.0
5031,2-s2.0-85071252374,3,1,0,Article,2019.0,11.0,1.0
5032,2-s2.0-85064588155,5,1,1,Article,2019.0,4.0,32.0
5033,2-s2.0-85063476749,0,0,1,Article,2019.0,1.0,1.0
5034,2-s2.0-85068441398,2,1,1,Article,2019.0,6.0,3.0
5035,2-s2.0-85058838636,5,1,1,Article,2019.0,3.0,2.0
5036,2-s2.0-85066952889,4,1,1,Article,2019.0,9.0,13.0
5037,2-s2.0-85069219917,2,1,0,Article,2019.0,6.0,0.0
5038,2-s2.0-85068693256,5,1,1,Article,2019.0,7.0,148.0
5039,2-s2.0-85062186210,6,1,1,Article,2019.0,3.0,4.0
5040,2-s2.0-85072108992,12,1,1,Article,2019.0,9.0,129.0
5041,2-s2.0-85063755952,2,1,1,Article,2019.0,12.0,56.0
5042,2-s2.0-85066485305,3,1,1,Article,2019.0,5.0,41.0
5043,2-s2.0-85063761458,2,1,1,Article,2019.0,7.0,50.0
5044,2-s2.0-85066081928,3,1,1,Article,2019.0,4.0,3.0
5045,2-s2.0-85074850336,2,1,1,Article,2019.0,11.0,3.0
5046,2-s2.0-85056002139,4,1,1,Article,2019.0,2.0,24.0
5047,2-s2.0-85053770402,2,1,1,Article,2019.0,2.0,6.0
5048,2-s2.0-85085127487,0,0,0,Article,2019.0,12.0,0.0
5049,2-s2.0-85061995213,3,1,1,Article,2019.0,4.0,5.0
5050,2-s2.0-85071495576,0,0,1,Article,2019.0,9.0,8.0
5051,2-s2.0-85071029353,2,1,1,Article,2019.0,12.0,31.0
5052,2-s2.0-85075520597,5,1,1,Article,2019.0,11.0,16.0
5053,2-s2.0-85069618021,0,0,1,Article,2019.0,10.0,48.0
5054,2-s2.0-85061741555,2,1,1,Article,2019.0,5.0,29.0
5055,2-s2.0-85064843344,2,1,1,Article,2019.0,4.0,27.0
5056,2-s2.0-85067022720,6,1,1,Article,2019.0,10.0,84.0
5057,2-s2.0-85074277455,95,1,1,Article,2019.0,11.0,18.0
5058,2-s2.0-85072628048,0,0,1,Article,2019.0,8.0,33.0
5059,2-s2.0-85065745297,4,1,1,Article,2019.0,4.0,18.0
5060,2-s2.0-85066091299,4,1,1,Article,2019.0,7.0,9.0
5061,2-s2.0-85065160658,4,1,1,Article,2019.0,1.0,29.0
5062,2-s2.0-85071748726,5,1,1,Article,2019.0,9.0,23.0
5063,2-s2.0-85060188313,0,0,1,Article,2019.0,4.0,17.0
5064,2-s2.0-85065660177,4,1,1,Article,2019.0,6.0,2.0
5065,2-s2.0-85059342964,2,1,1,Article,2019.0,1.0,9.0
5066,2-s2.0-85085663916,0,0,1,Article,2019.0,12.0,2.0
5067,2-s2.0-85052470702,0,0,1,Article,2019.0,2.0,25.0
5068,2-s2.0-85053770847,2,1,1,Article,2019.0,1.0,8.0
5069,2-s2.0-85061527393,8,1,1,Article,2019.0,4.0,2.0
5070,2-s2.0-85075880033,0,0,1,Article,2019.0,11.0,8.0
5071,2-s2.0-85066852583,0,0,1,Article,2019.0,3.0,5.0
5072,2-s2.0-85066020607,2,1,1,Article,2019.0,10.0,8.0
5073,2-s2.0-85064179770,2,1,1,Article,2019.0,7.0,145.0
5074,2-s2.0-85042087917,5,1,1,Article,2019.0,6.0,2.0
5075,2-s2.0-85067566195,2,1,1,Article,2019.0,8.0,31.0
5076,2-s2.0-85071773911,3,1,1,Article,2019.0,11.0,23.0
5077,2-s2.0-85058552080,5,1,1,Article,2019.0,1.0,15.0
5078,2-s2.0-85061297966,0,0,1,Article,2019.0,2.0,13.0
5079,2-s2.0-85076952339,5,1,1,Article,2019.0,12.0,41.0
5080,2-s2.0-85074724262,1,1,1,Article,2019.0,10.0,1.0
5081,2-s2.0-85068666866,0,0,1,Article,2019.0,6.0,5.0
5082,2-s2.0-85066068438,4,1,1,Article,2019.0,9.0,10.0
5083,2-s2.0-85034986184,2,1,1,Article,2019.0,4.0,21.0
5084,2-s2.0-85075278106,3,1,1,Article,2019.0,9.0,8.0
5085,2-s2.0-85061831704,3,1,1,Article,2019.0,3.0,13.0
5086,2-s2.0-85063760803,6,1,1,Article,2019.0,12.0,1.0
5087,2-s2.0-85072755936,6,1,1,Article,2019.0,10.0,40.0
5088,2-s2.0-85067633409,0,0,1,Article,2019.0,7.0,26.0
5089,2-s2.0-85061343622,2,1,1,Article,2019.0,8.0,63.0
5090,2-s2.0-85067133708,3,1,1,Article,2019.0,5.0,4.0
5091,2-s2.0-85075950590,3,1,1,Article,2019.0,11.0,5.0
5092,2-s2.0-85069751432,7,1,1,Article,2019.0,12.0,8.0
5093,2-s2.0-85052095885,3,1,1,Article,2019.0,1.0,12.0
5094,2-s2.0-85070697589,7,1,1,Article,2019.0,8.0,15.0
5095,2-s2.0-85063199992,6,1,1,Article,2019.0,4.0,13.0
5096,2-s2.0-85069680020,4,1,1,Article,2019.0,9.0,36.0
5097,2-s2.0-85060913403,100,1,1,Article,2019.0,1.0,26.0
5098,2-s2.0-85058816224,4,1,1,Article,2019.0,2.0,2.0
5099,2-s2.0-85074868738,2,1,1,Article,2019.0,10.0,127.0
5100,2-s2.0-85056569852,0,0,1,Article,2019.0,5.0,26.0
5101,2-s2.0-85101932207,0,0,0,Article,2019.0,7.0,0.0
5102,2-s2.0-85074625387,2,1,1,Article,2019.0,11.0,35.0
5103,2-s2.0-85069855226,0,0,1,Article,2019.0,1.0,2.0
5104,2-s2.0-85108181403,0,0,1,Article,2019.0,3.0,4.0
5105,2-s2.0-85073744951,5,1,1,Article,2019.0,12.0,38.0
5106,2-s2.0-85070745231,5,1,1,Article,2019.0,10.0,2.0
5107,2-s2.0-85064211362,0,0,1,Article,2019.0,5.0,233.0
5108,2-s2.0-85039710300,10,1,1,Article,2019.0,8.0,16.0
5109,2-s2.0-85064241865,0,0,1,Article,2019.0,11.0,6.0
5110,2-s2.0-85067127006,2,1,1,Article,2019.0,2.0,2.0
5111,2-s2.0-85076699514,2,1,1,Article,2019.0,12.0,8.0
5112,2-s2.0-85073987456,7,1,1,Article,2019.0,12.0,11.0
5113,2-s2.0-85069555093,14,1,1,Article,2019.0,11.0,12.0
5114,2-s2.0-85063008614,2,1,0,Article,2019.0,1.0,0.0
5115,2-s2.0-85064123792,80,1,1,Article,2019.0,4.0,104.0
5116,2-s2.0-85064079494,5,1,1,Article,2019.0,3.0,9.0
5117,2-s2.0-85041115195,3,1,1,Article,2019.0,6.0,9.0
5118,2-s2.0-85068443822,9,1,1,Article,2019.0,9.0,23.0
5119,2-s2.0-85064047467,3,1,1,Article,2019.0,3.0,2.0
5120,2-s2.0-85071675895,2,1,1,Article,2019.0,7.0,4.0
5121,2-s2.0-85065845041,9,1,1,Article,2019.0,5.0,16.0
5122,2-s2.0-85055680825,2,1,1,Article,2019.0,1.0,7.0
5123,2-s2.0-85066434744,3,1,1,Article,2019.0,8.0,54.0
5124,2-s2.0-85073831223,2,1,1,Article,2019.0,10.0,2.0
5125,2-s2.0-85058414354,5,1,1,Article,2019.0,3.0,43.0
5126,2-s2.0-85068862375,2,1,1,Article,2019.0,12.0,36.0
5127,2-s2.0-85054364012,0,0,1,Article,2019.0,11.0,43.0
5128,2-s2.0-85053782938,2,1,1,Article,2019.0,1.0,30.0
5129,2-s2.0-85107424871,0,0,1,Article,2019.0,6.0,1.0
5130,2-s2.0-85062688767,3,1,1,Article,2019.0,9.0,2.0
5131,2-s2.0-85077219094,6,1,0,Article,2019.0,3.0,2.0
5132,2-s2.0-85071615855,0,0,0,Article,2019.0,8.0,0.0
5133,2-s2.0-85062961040,5,1,0,Article,2019.0,1.0,0.0
5134,2-s2.0-85074346751,5,1,1,Article,2019.0,12.0,19.0
5135,2-s2.0-85062823804,5,1,0,Article,2019.0,2.0,0.0
5136,2-s2.0-85064175216,4,1,1,Article,2019.0,5.0,22.0
5137,2-s2.0-85072059100,4,1,1,Article,2019.0,7.0,5.0
5138,2-s2.0-85064216236,10,1,1,Article,2019.0,3.0,2.0
5139,2-s2.0-85070745081,2,1,1,Article,2019.0,12.0,8.0
5140,2-s2.0-85060946893,5,1,1,Article,2019.0,3.0,99.0
5141,2-s2.0-85073526056,4,1,1,Article,2019.0,10.0,3.0
5142,2-s2.0-85026756142,0,0,0,Article,2019.0,5.0,0.0
5143,2-s2.0-85068256407,2,1,1,Article,2019.0,8.0,141.0
5144,2-s2.0-85063612049,3,1,1,Article,2019.0,4.0,40.0
5145,2-s2.0-85069716719,0,0,1,Article,2019.0,8.0,8.0
5146,2-s2.0-85054552972,4,1,1,Article,2019.0,1.0,13.0
5147,2-s2.0-85100019910,0,0,1,Article,2019.0,12.0,1.0
5148,2-s2.0-85059909055,2,1,1,Article,2019.0,2.0,2.0
5149,2-s2.0-85073182781,8,1,1,Article,2019.0,11.0,18.0
5150,2-s2.0-85044369798,5,1,0,Article,2019.0,6.0,0.0
5151,2-s2.0-85061085232,103,1,1,Article,2019.0,1.0,129.0
5152,2-s2.0-85069663308,78,1,1,Article,2019.0,6.0,14.0
5153,2-s2.0-85044754724,5,1,1,Article,2019.0,10.0,6.0
5154,2-s2.0-85074195658,2,1,1,Article,2019.0,11.0,11.0
5155,2-s2.0-85060008388,5,1,1,Article,2019.0,5.0,72.0
5156,2-s2.0-85073253569,5,1,0,Article,2019.0,7.0,0.0
5157,2-s2.0-85048935205,4,1,1,Article,2019.0,1.0,35.0
5158,2-s2.0-85071702622,0,0,1,Article,2019.0,10.0,25.0
5159,2-s2.0-85099885667,2,1,1,Article,2019.0,1.0,14.0
5160,2-s2.0-85072767976,4,1,1,Article,2019.0,12.0,20.0
5161,2-s2.0-85071934721,0,0,1,Article,2019.0,9.0,3.0
5162,2-s2.0-85067430952,1,1,1,Article,2019.0,12.0,12.0
5163,2-s2.0-85057550603,6,1,1,Article,2019.0,3.0,67.0
5164,2-s2.0-85068177492,0,0,1,Article,2019.0,7.0,9.0
5165,2-s2.0-85071285667,2,1,1,Article,2019.0,5.0,14.0
5166,2-s2.0-85065547837,2,1,1,Article,2019.0,8.0,4.0
5167,2-s2.0-85061184634,2,1,1,Article,2019.0,5.0,21.0
5168,2-s2.0-85070935699,4,1,1,Article,2019.0,11.0,50.0
5169,2-s2.0-85063495613,102,1,1,Article,2019.0,3.0,49.0
5170,2-s2.0-85079112651,2,1,1,Article,2019.0,9.0,24.0
5171,2-s2.0-85062283831,5,1,1,Article,2019.0,1.0,13.0
5172,2-s2.0-85059805936,2,1,1,Article,2019.0,1.0,2.0
5173,2-s2.0-85054188691,6,1,1,Article,2019.0,1.0,13.0
5174,2-s2.0-85063763059,3,1,1,Article,2019.0,5.0,9.0
5175,2-s2.0-85051862156,1,1,1,Article,2019.0,2.0,14.0
5176,2-s2.0-85069905228,3,1,1,Article,2019.0,10.0,5.0
5177,2-s2.0-85071360222,6,1,1,Article,2019.0,12.0,27.0
5178,2-s2.0-85065192226,0,0,1,Article,2019.0,3.0,5.0
5179,2-s2.0-85081970480,3,1,1,Article,2019.0,2.0,1.0
5180,2-s2.0-85052708700,0,0,1,Article,2019.0,5.0,2.0
5181,2-s2.0-85056613846,0,0,1,Article,2019.0,2.0,56.0
5182,2-s2.0-85076318153,5,1,1,Article,2019.0,12.0,19.0
5183,2-s2.0-85074558483,0,0,1,Article,2019.0,11.0,70.0
5184,2-s2.0-85065924000,5,1,1,Article,2019.0,4.0,1.0
5185,2-s2.0-85060299407,109,1,1,Article,2019.0,1.0,64.0
5186,2-s2.0-85072221172,5,1,1,Article,2019.0,12.0,36.0
5187,2-s2.0-85075813705,0,0,1,Article,2019.0,11.0,11.0
5188,2-s2.0-85061045951,5,1,1,Article,2019.0,2.0,23.0
5189,2-s2.0-85058384818,4,1,1,Article,2019.0,4.0,10.0
5190,2-s2.0-85069648777,3,1,1,Article,2019.0,7.0,6.0
5191,2-s2.0-85076921612,3,1,1,Article,2019.0,7.0,14.0
5192,2-s2.0-85069893235,2,1,1,Article,2019.0,9.0,23.0
5193,2-s2.0-85067364793,2,1,1,Article,2019.0,3.0,7.0
5194,2-s2.0-85055752917,4,1,1,Article,2019.0,2.0,45.0
5195,2-s2.0-85071713323,5,1,1,Article,2019.0,9.0,7.0
5196,2-s2.0-85065247361,0,0,1,Article,2019.0,1.0,4.0
5197,2-s2.0-85063261148,2,1,1,Article,2019.0,8.0,67.0
5198,2-s2.0-85058175798,3,1,1,Article,2019.0,1.0,24.0
5199,2-s2.0-85073772327,2,1,1,Article,2019.0,5.0,1.0
5200,2-s2.0-85072914648,6,1,1,Article,2019.0,10.0,29.0
5201,2-s2.0-85064489329,4,1,1,Article,2019.0,12.0,85.0
5202,2-s2.0-85073696844,3,1,1,Article,2019.0,11.0,6.0
5203,2-s2.0-85069891767,3,1,1,Article,2019.0,7.0,3.0
5204,2-s2.0-85078119559,0,0,0,Article,2019.0,12.0,0.0
5205,2-s2.0-85071437292,5,1,1,Article,2019.0,11.0,20.0
5206,2-s2.0-85062430305,121,1,1,Article,2019.0,4.0,37.0
5207,2-s2.0-85067017648,4,1,1,Article,2019.0,6.0,4.0
5208,2-s2.0-85045426434,1,1,1,Article,2019.0,1.0,18.0
5209,2-s2.0-85047273580,7,1,1,Article,2019.0,1.0,12.0
5210,2-s2.0-85069891461,4,1,1,Article,2019.0,9.0,7.0
5211,2-s2.0-85053145804,4,1,1,Article,2019.0,4.0,12.0
5212,2-s2.0-85063263329,3,1,1,Article,2019.0,6.0,12.0
5213,2-s2.0-85077846727,6,1,1,Article,2019.0,12.0,27.0
5214,2-s2.0-85074305732,2,1,0,Article,2019.0,10.0,2.0
5215,2-s2.0-85074402046,103,1,1,Article,2019.0,12.0,13.0
5216,2-s2.0-85072999939,4,1,1,Article,2019.0,11.0,3.0
5217,2-s2.0-85054599435,0,0,1,Article,2019.0,6.0,44.0
5218,2-s2.0-85064531267,4,1,1,Article,2019.0,4.0,12.0
5219,2-s2.0-85068110315,0,0,1,Article,2019.0,12.0,127.0
5220,2-s2.0-85073707620,1,1,1,Article,2019.0,10.0,6.0
5221,2-s2.0-85067897990,6,1,1,Article,2019.0,5.0,7.0
5222,2-s2.0-85065861352,5,1,1,Article,2019.0,8.0,10.0
5223,2-s2.0-85056085391,4,1,1,Article,2019.0,1.0,18.0
5224,2-s2.0-85073480047,3,1,1,Article,2019.0,10.0,13.0
5225,2-s2.0-85075036916,9,1,1,Article,2019.0,12.0,4.0
5226,2-s2.0-85067179317,6,1,1,Article,2019.0,6.0,14.0
5227,2-s2.0-85056194820,5,1,1,Article,2019.0,9.0,2.0
5228,2-s2.0-85054445261,2,1,1,Article,2019.0,3.0,46.0
5229,2-s2.0-85064478761,2,1,1,Article,2019.0,6.0,18.0
5230,2-s2.0-85073221169,0,0,1,Article,2019.0,8.0,10.0
5231,2-s2.0-85052102693,3,1,0,Article,2019.0,4.0,0.0
5232,2-s2.0-85069742838,4,1,1,Article,2019.0,11.0,19.0
5233,2-s2.0-85062982130,1,1,0,Article,2019.0,2.0,0.0
5234,2-s2.0-85064206214,0,0,1,Article,2019.0,3.0,3.0
5235,2-s2.0-85015243919,3,1,1,Article,2019.0,3.0,47.0
5236,2-s2.0-85067407472,2,1,1,Article,2019.0,6.0,9.0
5237,2-s2.0-85075062517,3,1,1,Article,2019.0,12.0,32.0
5238,2-s2.0-85067363335,1,1,1,Article,2019.0,10.0,50.0
5239,2-s2.0-85077050811,2,1,1,Article,2019.0,12.0,9.0
5240,2-s2.0-85074097306,6,1,1,Article,2019.0,12.0,37.0
5241,2-s2.0-85068482297,6,1,1,Article,2019.0,11.0,21.0
5242,2-s2.0-85065676157,0,0,1,Article,2019.0,8.0,10.0
5243,2-s2.0-85062346155,5,1,1,Article,2019.0,3.0,8.0
5244,2-s2.0-85065162337,117,1,1,Article,2019.0,6.0,102.0
5245,2-s2.0-85072300230,5,1,1,Article,2019.0,12.0,4.0
5246,2-s2.0-85101912383,6,1,1,Article,2019.0,1.0,1.0
5247,2-s2.0-85071105530,4,1,1,Article,2019.0,10.0,3.0
5248,2-s2.0-85066024897,4,1,1,Article,2019.0,5.0,8.0
5249,2-s2.0-85050766406,4,1,1,Article,2019.0,1.0,52.0
5250,2-s2.0-85066106684,4,1,1,Article,2019.0,7.0,48.0
5251,2-s2.0-85077298558,0,0,1,Article,2019.0,12.0,11.0
5252,2-s2.0-85069462515,4,1,1,Article,2019.0,8.0,23.0
5253,2-s2.0-85063037528,6,1,1,Article,2019.0,6.0,19.0
5254,2-s2.0-85059339370,4,1,1,Article,2019.0,4.0,55.0
5255,2-s2.0-85068956789,5,1,1,Article,2019.0,9.0,40.0
5256,2-s2.0-85064902833,109,1,1,Article,2019.0,4.0,72.0
5257,2-s2.0-85073703330,2,1,1,Article,2019.0,11.0,8.0
5258,2-s2.0-85059137079,0,0,1,Article,2019.0,2.0,26.0
5259,2-s2.0-85086025052,0,0,1,Article,2019.0,10.0,3.0
5260,2-s2.0-85077555744,2,1,1,Article,2019.0,12.0,7.0
5261,2-s2.0-85069440912,0,0,1,Article,2019.0,8.0,2.0
5262,2-s2.0-85062910316,5,1,1,Article,2019.0,6.0,15.0
5263,2-s2.0-85068898407,4,1,1,Article,2019.0,9.0,29.0
5264,2-s2.0-85045511559,6,1,1,Article,2019.0,7.0,1.0
5265,2-s2.0-85064956808,5,1,1,Article,2019.0,4.0,7.0
5266,2-s2.0-85071065885,0,0,1,Article,2019.0,8.0,11.0
5267,2-s2.0-85073543690,10,1,1,Article,2019.0,11.0,103.0
5268,2-s2.0-85059554222,7,1,1,Article,2019.0,2.0,98.0
5269,2-s2.0-85077441477,0,0,1,Article,2019.0,1.0,1.0
5270,2-s2.0-85101929331,0,0,1,Article,2019.0,1.0,1.0
5271,2-s2.0-85072295316,4,1,1,Article,2019.0,12.0,11.0
5272,2-s2.0-85066111776,3,1,1,Article,2019.0,5.0,18.0
5273,2-s2.0-85070097902,2,1,1,Article,2019.0,7.0,7.0
5274,2-s2.0-85049356769,3,1,1,Article,2019.0,1.0,54.0
5275,2-s2.0-85040863759,7,1,1,Article,2019.0,3.0,23.0
5276,2-s2.0-85063862068,3,1,1,Article,2019.0,9.0,76.0
5277,2-s2.0-85064968796,2,1,1,Article,2019.0,1.0,17.0
5278,2-s2.0-85067455129,0,0,1,Article,2019.0,6.0,25.0
5279,2-s2.0-85075060781,5,1,1,Article,2019.0,12.0,22.0
5280,2-s2.0-85077085511,5,1,1,Article,2019.0,12.0,35.0
5281,2-s2.0-85074140280,0,0,1,Article,2019.0,12.0,3.0
5282,2-s2.0-85068986259,4,1,1,Article,2019.0,11.0,4.0
5283,2-s2.0-85065494200,2,1,0,Article,2019.0,8.0,0.0
5284,2-s2.0-85059681158,0,0,1,Article,2019.0,3.0,23.0
5285,2-s2.0-85064612342,112,1,1,Article,2019.0,6.0,255.0
5286,2-s2.0-85064193969,4,1,0,Article,2019.0,3.0,0.0
5287,2-s2.0-85055554891,5,1,1,Article,2019.0,1.0,10.0
5288,2-s2.0-85075030210,6,1,1,Article,2019.0,12.0,26.0
5289,2-s2.0-85067196504,3,1,1,Article,2019.0,6.0,14.0
5290,2-s2.0-85056760703,7,1,1,Article,2019.0,9.0,12.0
5291,2-s2.0-85062336997,4,1,1,Article,2019.0,6.0,10.0
5292,2-s2.0-85046645686,7,1,1,Article,2019.0,4.0,2.0
5293,2-s2.0-85062921369,0,0,1,Article,2019.0,2.0,7.0
5294,2-s2.0-85068148189,0,0,1,Article,2019.0,12.0,1.0
5295,2-s2.0-85073752665,3,1,1,Article,2019.0,10.0,22.0
5296,2-s2.0-85058144806,3,1,1,Article,2019.0,5.0,89.0
5297,2-s2.0-85056121029,0,0,0,Article,2019.0,1.0,0.0
5298,2-s2.0-85065734217,5,1,1,Article,2019.0,8.0,5.0
5299,2-s2.0-85069876793,8,1,1,Article,2019.0,9.0,11.0
5300,2-s2.0-85051667533,0,0,1,Article,2019.0,4.0,30.0
5301,2-s2.0-85063137635,3,1,1,Article,2019.0,6.0,6.0
5302,2-s2.0-85074305022,10,1,1,Article,2019.0,10.0,3.0
5303,2-s2.0-85072854179,2,1,1,Article,2019.0,11.0,30.0
5304,2-s2.0-85054828004,3,1,1,Article,2019.0,6.0,5.0
5305,2-s2.0-85074626002,5,1,1,Article,2019.0,8.0,13.0
5306,2-s2.0-85064570085,104,1,1,Article,2019.0,4.0,30.0
5307,2-s2.0-85061701704,6,1,1,Article,2019.0,7.0,17.0
5308,2-s2.0-85107180652,3,1,0,Article,2019.0,3.0,0.0
5309,2-s2.0-85046171472,5,1,1,Article,2019.0,1.0,36.0
5310,2-s2.0-85061338683,3,1,1,Article,2019.0,2.0,8.0
5311,2-s2.0-85078139162,3,1,1,Article,2019.0,12.0,7.0
5312,2-s2.0-85071540817,13,1,1,Article,2019.0,11.0,26.0
5313,2-s2.0-85062147975,120,1,1,Article,2019.0,4.0,134.0
5314,2-s2.0-85066779511,7,1,1,Article,2019.0,6.0,54.0
5315,2-s2.0-85051368334,3,1,1,Article,2019.0,1.0,23.0
5316,2-s2.0-85058708803,1,1,1,Article,2019.0,1.0,18.0
5317,2-s2.0-85062726346,2,1,1,Article,2019.0,8.0,12.0
5318,2-s2.0-85073737515,0,0,1,Article,2019.0,5.0,7.0
5319,2-s2.0-85072921156,2,1,1,Article,2019.0,10.0,11.0
5320,2-s2.0-85051025631,0,0,1,Article,2019.0,3.0,323.0
5321,2-s2.0-85064563938,5,1,1,Article,2019.0,12.0,29.0
5322,2-s2.0-85062964364,5,1,1,Article,2019.0,3.0,3.0
5323,2-s2.0-85069924131,5,1,1,Article,2019.0,7.0,2.0
